,year,GS_mean,moving_avg,team
0,1960,,,atl
1,1961,,,atl
2,1962,,,atl
3,1963,,,atl
4,1964,,,atl
5,1965,,,atl
6,1966,12.909090909090908,12.909090909090908,atl
7,1967,11.181818181818182,12.045454545454543,atl
8,1968,10.727272727272728,11.606060606060604,atl
9,1969,11.772727272727272,11.647727272727272,atl
10,1970,12.090909090909092,11.443181818181818,atl
11,1971,12.772727272727272,11.840909090909092,atl
12,1972,13.454545454545457,12.522727272727272,atl
13,1973,12.863636363636363,12.795454545454543,atl
14,1974,12.863636363636363,12.988636363636363,atl
15,1975,13.090909090909092,13.068181818181818,atl
16,1976,12.095238095238097,12.728354978354975,atl
17,1977,12.909090909090908,12.739718614718615,atl
18,1978,15.136363636363637,13.307900432900434,atl
19,1979,15.0,13.78517316017316,atl
20,1980,14.818181818181818,14.465909090909092,atl
21,1981,15.0,14.988636363636363,atl
22,1982,8.863636363636363,13.420454545454543,atl
23,1983,13.636363636363637,13.079545454545457,atl
24,1984,14.409090909090908,12.977272727272728,atl
25,1985,13.363636363636363,12.568181818181817,atl
26,1986,13.954545454545457,13.840909090909092,atl
27,1987,9.818181818181818,12.886363636363637,atl
28,1988,13.318181818181818,12.613636363636363,atl
29,1989,13.590909090909092,12.670454545454549,atl
30,1990,13.409090909090908,12.534090909090908,atl
31,1991,13.681818181818182,13.5,atl
32,1992,13.818181818181818,13.625,atl
33,1993,13.545454545454543,13.613636363636363,atl
34,1994,13.909090909090908,13.738636363636363,atl
35,1995,13.909090909090908,13.795454545454543,atl
36,1996,13.045454545454543,13.602272727272728,atl
37,1997,14.590909090909092,13.863636363636363,atl
38,1998,14.954545454545457,14.125,atl
39,1999,13.818181818181818,14.102272727272728,atl
40,2000,13.818181818181818,14.295454545454549,atl
41,2001,13.636363636363637,14.056818181818182,atl
42,2002,14.136363636363637,13.852272727272728,atl
43,2003,12.272727272727272,13.465909090909092,atl
44,2004,14.272727272727272,13.579545454545457,atl
45,2005,14.136363636363637,13.704545454545457,atl
46,2006,13.636363636363637,13.579545454545457,atl
47,2007,12.863636363636363,13.727272727272728,atl
48,2008,14.5,13.784090909090908,atl
49,2009,13.363636363636363,13.590909090909092,atl
50,2010,14.5,13.806818181818182,atl
51,2011,13.681818181818182,14.011363636363637,atl
52,2012,13.727272727272728,13.818181818181818,atl
53,2013,13.090909090909092,13.75,atl
54,2014,13.545454545454543,13.511363636363637,atl
55,2015,13.863636363636363,13.556818181818182,atl
56,2016,12.909090909090908,13.352272727272728,atl
57,2017,14.409090909090908,13.68181818181818,atl
58,2018,12.636363636363637,13.454545454545451,atl
59,2019,13.363636363636363,13.329545454545451,atl
60,2020,13.181818181818182,13.397727272727272,atl
61,2021,13.863636363636363,13.261363636363637,atl
62,2022,13.409090909090908,13.454545454545451,atl
63,2023,13.38095238095238,13.45887445887446,atl
64,2024,15.0,13.913419913419911,atl
65,1960,12.181818181818182,12.181818181818182,buf
66,1961,11.727272727272728,11.954545454545451,buf
67,1962,12.0,11.969696969696969,buf
68,1963,12.5,12.102272727272728,buf
69,1964,12.727272727272728,12.238636363636363,buf
70,1965,12.545454545454543,12.443181818181818,buf
71,1966,13.5,12.818181818181818,buf
72,1967,11.318181818181818,12.522727272727272,buf
73,1968,12.272727272727272,12.40909090909091,buf
74,1969,12.5,12.397727272727272,buf
75,1970,12.409090909090908,12.125,buf
76,1971,11.727272727272728,12.227272727272728,buf
77,1972,11.478260869565217,12.028656126482211,buf
78,1973,12.318181818181818,11.983201581027668,buf
79,1974,12.454545454545457,11.994565217391305,buf
80,1975,12.136363636363637,12.096837944664031,buf
81,1976,12.363636363636363,12.318181818181818,buf
82,1977,13.090909090909092,12.511363636363637,buf
83,1978,14.318181818181818,12.977272727272728,buf
84,1979,15.0,13.693181818181818,buf
85,1980,15.227272727272728,14.409090909090908,buf
86,1981,14.818181818181818,14.840909090909092,buf
87,1982,8.5,13.386363636363637,buf
88,1983,14.045454545454543,13.147727272727272,buf
89,1984,14.136363636363637,12.875,buf
90,1985,13.5,12.545454545454543,buf
