year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,12.909090909090908,12.909090909090908
1967,11.181818181818182,12.045454545454545
1968,10.727272727272727,11.606060606060604
1969,11.772727272727273,11.647727272727273
1970,12.090909090909092,11.443181818181818
1971,12.772727272727273,11.840909090909092
1972,13.454545454545455,12.522727272727273
1973,12.863636363636363,12.795454545454545
1974,12.863636363636363,12.988636363636363
1975,13.090909090909092,13.068181818181818
1976,12.095238095238095,12.728354978354977
1977,12.909090909090908,12.739718614718615
1978,15.136363636363637,13.307900432900434
1979,15.0,13.78517316017316
1980,14.818181818181818,14.465909090909092
1981,15.0,14.988636363636363
1982,8.863636363636363,13.420454545454545
1983,13.636363636363637,13.079545454545455
1984,14.409090909090908,12.977272727272727
1985,13.363636363636363,12.568181818181817
1986,13.954545454545455,13.840909090909092
1987,9.818181818181818,12.886363636363637
1988,13.318181818181818,12.613636363636363
1989,13.590909090909092,12.670454545454547
1990,13.409090909090908,12.534090909090908
1991,13.681818181818182,13.5
1992,13.818181818181818,13.625
1993,13.545454545454545,13.613636363636363
1994,13.909090909090908,13.738636363636363
1995,13.909090909090908,13.795454545454543
1996,13.045454545454545,13.602272727272727
1997,14.590909090909092,13.863636363636363
1998,14.954545454545455,14.125
1999,13.818181818181818,14.102272727272728
2000,13.818181818181818,14.295454545454547
2001,13.636363636363637,14.056818181818182
2002,14.136363636363637,13.852272727272728
2003,12.272727272727273,13.465909090909092
2004,14.272727272727273,13.579545454545455
2005,14.136363636363637,13.704545454545455
2006,13.636363636363637,13.579545454545455
2007,12.863636363636363,13.727272727272727
2008,14.5,13.784090909090908
2009,13.363636363636363,13.590909090909092
2010,14.5,13.806818181818182
2011,13.681818181818182,14.011363636363637
2012,13.727272727272727,13.818181818181818
2013,13.090909090909092,13.75
2014,13.545454545454545,13.511363636363637
2015,13.863636363636363,13.556818181818182
2016,12.909090909090908,13.352272727272727
2017,14.409090909090908,13.68181818181818
2018,12.636363636363637,13.454545454545453
2019,13.363636363636363,13.329545454545453
2020,13.181818181818182,13.397727272727273
2021,13.863636363636363,13.261363636363637
2022,13.409090909090908,13.454545454545453
2023,13.380952380952381,13.45887445887446
2024,15.0,13.913419913419913
