year,GS_mean,moving_avg
1960,12.181818181818182,12.181818181818182
1961,11.727272727272727,11.954545454545453
1962,12.0,11.969696969696969
1963,12.5,12.102272727272727
1964,12.727272727272727,12.238636363636363
1965,12.545454545454545,12.443181818181818
1966,13.5,12.818181818181818
1967,11.318181818181818,12.522727272727273
1968,12.272727272727273,12.40909090909091
1969,12.5,12.397727272727273
1970,12.409090909090908,12.125
1971,11.727272727272727,12.227272727272727
1972,11.478260869565217,12.028656126482213
1973,12.318181818181818,11.983201581027668
1974,12.454545454545455,11.994565217391305
1975,12.136363636363637,12.096837944664031
1976,12.363636363636363,12.318181818181818
1977,13.090909090909092,12.511363636363637
1978,14.318181818181818,12.977272727272727
1979,15.0,13.693181818181818
1980,15.227272727272727,14.409090909090908
1981,14.818181818181818,14.840909090909092
1982,8.5,13.386363636363637
1983,14.045454545454545,13.147727272727273
1984,14.136363636363637,12.875
1985,13.5,12.545454545454545
1986,13.636363636363637,13.829545454545455
1987,10.954545454545455,13.056818181818182
1988,14.545454545454545,13.15909090909091
1989,14.590909090909092,13.431818181818183
1990,14.454545454545455,13.636363636363637
1991,14.318181818181818,14.477272727272727
1992,14.272727272727273,14.40909090909091
1993,14.227272727272727,14.318181818181817
1994,14.5,14.329545454545453
1995,13.545454545454545,14.136363636363637
1996,14.227272727272727,14.124999999999998
1997,14.227272727272727,14.124999999999998
1998,14.318181818181818,14.079545454545455
1999,14.227272727272727,14.25
2000,13.318181818181818,14.022727272727273
2001,13.227272727272727,13.772727272727273
2002,14.772727272727273,13.886363636363637
2003,14.227272727272727,13.886363636363637
2004,13.636363636363637,13.96590909090909
2005,13.818181818181818,14.113636363636363
2006,13.954545454545455,13.909090909090908
2007,14.0,13.852272727272727
2008,13.5,13.818181818181818
2009,11.818181818181818,13.318181818181818
2010,12.772727272727273,13.022727272727273
2011,12.136363636363637,12.556818181818183
2012,13.318181818181818,12.511363636363637
2013,13.136363636363637,12.840909090909092
2014,13.227272727272727,12.954545454545455
2015,13.045454545454545,13.181818181818183
2016,12.954545454545455,13.090909090909092
2017,12.818181818181818,13.011363636363637
2018,12.727272727272727,12.886363636363637
2019,13.863636363636363,13.09090909090909
2020,12.545454545454545,12.988636363636363
2021,14.5,13.40909090909091
2022,13.636363636363637,13.636363636363635
2023,14.681818181818182,13.84090909090909
2024,14.181818181818182,14.25
