year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,13.909090909090908,13.909090909090908
1996,13.454545454545455,13.681818181818182
1997,13.363636363636363,13.575757575757576
1998,13.045454545454545,13.443181818181818
1999,14.545454545454545,13.602272727272727
2000,14.227272727272727,13.795454545454547
2001,12.772727272727273,13.647727272727273
2002,13.454545454545455,13.75
2003,14.227272727272727,13.670454545454545
2004,13.545454545454545,13.5
2005,14.636363636363637,13.965909090909092
2006,13.772727272727273,14.045454545454545
2007,13.772727272727273,13.931818181818182
2008,14.863636363636363,14.261363636363637
2009,13.318181818181818,13.931818181818182
2010,13.136363636363637,13.772727272727273
2011,13.818181818181818,13.78409090909091
2012,12.909090909090908,13.295454545454547
2013,13.818181818181818,13.420454545454547
2014,12.545454545454545,13.272727272727272
2015,13.863636363636363,13.284090909090908
2016,12.727272727272727,13.238636363636363
2017,13.818181818181818,13.238636363636363
2018,13.5,13.477272727272727
2019,13.409090909090908,13.363636363636363
2020,12.681818181818182,13.352272727272727
2021,12.590909090909092,13.045454545454547
2022,13.227272727272727,12.977272727272728
2023,12.772727272727273,12.818181818181818
2024,12.636363636363637,12.806818181818182
