year,GS_mean,moving_avg
1960,11.136363636363637,11.136363636363637
1961,12.318181818181818,11.727272727272727
1962,12.454545454545455,11.969696969696969
1963,12.5,12.102272727272727
1964,12.0,12.318181818181817
1965,12.954545454545455,12.477272727272728
1966,13.363636363636363,12.704545454545453
1967,12.272727272727273,12.647727272727272
1968,12.5,12.772727272727273
1969,11.954545454545455,12.522727272727273
1970,11.818181818181818,12.136363636363637
1971,12.681818181818182,12.238636363636363
1972,13.227272727272727,12.420454545454547
1973,12.363636363636363,12.522727272727273
1974,11.909090909090908,12.545454545454545
1975,11.818181818181818,12.329545454545455
1976,12.727272727272727,12.204545454545455
1977,12.5,12.238636363636363
1978,14.590909090909092,12.90909090909091
1979,14.590909090909092,13.602272727272727
1980,14.954545454545455,14.15909090909091
1981,14.181818181818182,14.579545454545455
1982,8.363636363636363,13.022727272727273
1983,12.909090909090908,12.602272727272727
1984,14.272727272727273,12.431818181818182
1985,14.818181818181818,12.59090909090909
1986,14.636363636363637,14.15909090909091
1987,10.681818181818182,13.602272727272727
1988,14.181818181818182,13.579545454545453
1989,13.727272727272727,13.306818181818183
1990,14.590909090909092,13.295454545454545
1991,13.909090909090908,14.102272727272727
1992,14.181818181818182,14.102272727272727
1993,13.909090909090908,14.147727272727273
1994,13.5,13.875
1995,14.136363636363637,13.931818181818183
1996,13.363636363636363,13.727272727272727
1997,13.454545454545455,13.613636363636363
1998,14.181818181818182,13.78409090909091
1999,13.318181818181818,13.579545454545453
2000,13.045454545454545,13.5
2001,14.363636363636363,13.727272727272727
2002,12.590909090909092,13.329545454545453
2003,13.454545454545455,13.363636363636363
2004,12.363636363636363,13.193181818181818
2005,14.0,13.102272727272727
2006,14.181818181818182,13.5
2007,13.181818181818182,13.431818181818183
2008,14.0,13.84090909090909
2009,13.772727272727273,13.78409090909091
2010,14.363636363636363,13.829545454545455
2011,13.181818181818182,13.829545454545455
2012,13.545454545454545,13.71590909090909
2013,13.590909090909092,13.670454545454547
2014,12.909090909090908,13.306818181818182
2015,11.954545454545455,13.0
2016,11.5,12.488636363636363
2017,12.136363636363637,12.125
2018,13.772727272727273,12.340909090909092
2019,12.727272727272727,12.53409090909091
2020,13.136363636363637,12.943181818181818
2021,13.181818181818182,13.204545454545453
2022,12.818181818181818,12.96590909090909
2023,13.454545454545455,13.147727272727273
2024,14.818181818181818,13.568181818181818
