year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,11.681818181818182,11.681818181818182
1969,12.318181818181818,12.0
1970,12.136363636363637,12.045454545454547
1971,11.909090909090908,12.011363636363637
1972,12.318181818181818,12.170454545454547
1973,12.772727272727273,12.28409090909091
1974,12.090909090909092,12.272727272727272
1975,12.681818181818182,12.46590909090909
1976,12.681818181818182,12.556818181818183
1977,11.909090909090908,12.34090909090909
1978,13.5,12.693181818181818
1979,14.0,13.022727272727273
1980,14.045454545454545,13.363636363636363
1981,14.636363636363637,14.045454545454545
1982,8.681818181818182,12.84090909090909
1983,14.045454545454545,12.852272727272727
1984,13.818181818181818,12.795454545454545
1985,14.954545454545455,12.875
1986,14.181818181818182,14.25
1987,10.636363636363637,13.397727272727273
1988,15.590909090909092,13.840909090909092
1989,14.772727272727273,13.795454545454547
1990,13.590909090909092,13.647727272727273
1991,12.909090909090908,14.215909090909092
1992,12.772727272727273,13.511363636363637
1993,13.409090909090908,13.170454545454545
1994,14.090909090909092,13.295454545454547
1995,14.318181818181818,13.647727272727273
1996,14.090909090909092,13.977272727272727
1997,13.227272727272727,13.931818181818182
1998,14.545454545454545,14.045454545454545
1999,13.954545454545455,13.954545454545453
2000,12.727272727272727,13.613636363636363
2001,13.545454545454545,13.693181818181818
2002,13.090909090909092,13.329545454545455
2003,13.909090909090908,13.318181818181818
2004,13.80952380952381,13.58874458874459
2005,14.409090909090908,13.80465367965368
2006,13.863636363636363,13.997835497835498
2007,13.363636363636363,13.86147186147186
2008,12.045454545454545,13.420454545454545
2009,13.5,13.193181818181818
2010,13.5,13.102272727272727
2011,14.0,13.261363636363637
2012,13.636363636363637,13.65909090909091
2013,14.090909090909092,13.806818181818182
2014,14.0,13.931818181818182
2015,14.272727272727273,14.0
2016,13.772727272727273,14.034090909090908
2017,12.454545454545455,13.625
2018,13.0,13.375
2019,12.772727272727273,13.0
2020,12.045454545454545,12.568181818181818
2021,14.227272727272727,13.011363636363635
2022,14.045454545454545,13.272727272727273
2023,14.681818181818182,13.749999999999998
2024,13.045454545454545,14.0
