year,GS_mean,moving_avg
1960,11.681818181818182,11.681818181818182
1961,11.409090909090908,11.545454545454545
1962,11.681818181818182,11.590909090909092
1963,11.0,11.443181818181818
1964,11.818181818181818,11.477272727272727
1965,11.454545454545455,11.488636363636365
1966,10.772727272727273,11.261363636363637
1967,10.818181818181818,11.21590909090909
1968,11.227272727272727,11.06818181818182
1969,12.0,11.204545454545453
1970,12.636363636363637,11.670454545454545
1971,12.272727272727273,12.034090909090908
1972,11.318181818181818,12.056818181818182
1973,13.045454545454545,12.31818181818182
1974,12.318181818181818,12.238636363636363
1975,11.863636363636363,12.136363636363637
1976,12.391304347826088,12.404644268774703
1977,13.136363636363637,12.427371541501977
1978,14.681818181818182,13.018280632411068
1979,14.318181818181818,13.63191699604743
1980,14.0,14.03409090909091
1981,14.636363636363637,14.409090909090908
1982,7.954545454545454,12.727272727272727
1983,13.772727272727273,12.590909090909092
1984,14.636363636363637,12.75
1985,13.818181818181818,12.545454545454545
1986,14.545454545454545,14.193181818181818
1987,10.772727272727273,13.443181818181818
1988,13.727272727272727,13.215909090909092
1989,14.227272727272727,13.318181818181818
1990,13.681818181818182,13.102272727272727
1991,14.0,13.909090909090908
1992,14.090909090909092,14.0
1993,14.0,13.943181818181818
1994,13.636363636363637,13.931818181818183
1995,14.045454545454545,13.943181818181818
1996,15.318181818181818,14.25
1997,14.772727272727273,14.443181818181818
1998,15.045454545454545,14.795454545454547
1999,14.045454545454545,14.795454545454547
2000,14.636363636363637,14.625
2001,14.409090909090908,14.534090909090908
2002,14.545454545454545,14.409090909090908
2003,13.0,14.147727272727273
2004,14.863636363636363,14.204545454545453
2005,14.954545454545455,14.340909090909092
2006,14.136363636363637,14.238636363636363
2007,13.318181818181818,14.318181818181818
2008,13.272727272727273,13.920454545454545
2009,13.772727272727273,13.625
2010,13.318181818181818,13.420454545454547
2011,13.136363636363637,13.375
2012,14.227272727272727,13.613636363636363
2013,13.818181818181818,13.625
2014,13.863636363636363,13.761363636363637
2015,13.590909090909092,13.875
2016,13.590909090909092,13.715909090909092
2017,13.272727272727273,13.579545454545455
2018,12.818181818181818,13.318181818181818
2019,12.545454545454545,13.056818181818183
2020,12.863636363636363,12.875
2021,12.590909090909092,12.704545454545455
2022,12.454545454545455,12.613636363636363
2023,13.954545454545455,12.96590909090909
2024,14.181818181818182,13.295454545454547
