year,GS_mean,moving_avg
1960,11.0,11.0
1961,12.727272727272727,11.863636363636363
1962,12.772727272727273,12.166666666666666
1963,11.772727272727273,12.068181818181818
1964,11.73913043478261,12.25296442687747
1965,11.318181818181818,11.900691699604744
1966,12.954545454545455,11.946146245059289
1967,11.954545454545455,11.991600790513834
1968,12.863636363636363,12.272727272727273
1969,12.318181818181818,12.522727272727273
1970,12.545454545454545,12.420454545454545
1971,12.681818181818182,12.602272727272727
1972,12.181818181818182,12.431818181818182
1973,12.045454545454545,12.363636363636363
1974,12.5,12.352272727272727
1975,12.318181818181818,12.261363636363635
1976,11.909090909090908,12.193181818181817
1977,11.545454545454545,12.068181818181817
1978,14.090909090909092,12.46590909090909
1979,12.954545454545455,12.625
1980,13.954545454545455,13.136363636363637
1981,14.909090909090908,13.977272727272728
1982,7.318181818181818,12.28409090909091
1983,13.681818181818182,12.465909090909092
1984,13.727272727272727,12.409090909090908
1985,12.954545454545455,11.920454545454545
1986,14.227272727272727,13.647727272727272
1987,10.454545454545455,12.84090909090909
1988,14.272727272727273,12.977272727272727
1989,13.363636363636363,13.079545454545455
1990,13.318181818181818,12.852272727272727
1991,14.636363636363637,13.897727272727273
1992,13.636363636363637,13.738636363636363
1993,13.636363636363637,13.806818181818182
1994,14.090909090909092,14.0
1995,14.954545454545455,14.079545454545455
1996,14.0,14.170454545454547
1997,14.227272727272727,14.318181818181818
1998,14.0,14.295454545454545
1999,13.136363636363637,13.84090909090909
2000,13.409090909090908,13.693181818181818
2001,13.318181818181818,13.46590909090909
2002,12.909090909090908,13.193181818181818
2003,14.318181818181818,13.488636363636363
2004,14.590909090909092,13.784090909090908
2005,13.0,13.704545454545453
2006,12.045454545454545,13.488636363636363
2007,13.590909090909092,13.306818181818183
2008,12.0,12.65909090909091
2009,12.272727272727273,12.477272727272728
2010,12.954545454545455,12.704545454545455
2011,14.227272727272727,12.863636363636363
2012,12.954545454545455,13.102272727272727
2013,13.954545454545455,13.522727272727273
2014,13.545454545454545,13.670454545454545
2015,12.636363636363637,13.272727272727273
2016,13.181818181818182,13.329545454545455
2017,13.136363636363637,13.125
2018,12.863636363636363,12.954545454545455
2019,12.409090909090908,12.897727272727272
2020,11.545454545454545,12.488636363636363
2021,12.238095238095237,12.264069264069263
2022,13.409090909090908,12.4004329004329
2023,13.391304347826088,12.645986260116695
2024,13.727272727272727,13.19144080557124
