year,GS_mean,moving_avg
1960,11.318181818181818,11.318181818181818
1961,12.5,11.90909090909091
1962,13.363636363636363,12.393939393939393
1963,13.090909090909092,12.568181818181818
1964,12.818181818181818,12.943181818181818
1965,12.863636363636363,13.034090909090908
1966,13.363636363636363,13.03409090909091
1967,12.954545454545455,13.0
1968,13.363636363636363,13.136363636363637
1969,12.590909090909092,13.068181818181818
1970,12.409090909090908,12.829545454545453
1971,12.727272727272727,12.772727272727273
1972,13.454545454545455,12.795454545454547
1973,12.272727272727273,12.715909090909092
1974,12.136363636363637,12.647727272727272
1975,12.045454545454545,12.477272727272727
1976,12.818181818181818,12.318181818181818
1977,12.227272727272727,12.306818181818182
1978,15.818181818181818,13.227272727272727
1979,13.818181818181818,13.670454545454545
1980,14.863636363636363,14.181818181818182
1981,14.863636363636363,14.84090909090909
1982,8.454545454545455,13.0
1983,13.590909090909092,12.943181818181818
1984,14.681818181818182,12.897727272727273
1985,14.090909090909092,12.704545454545455
1986,13.045454545454545,13.852272727272727
1987,10.909090909090908,13.181818181818182
1988,13.227272727272727,12.818181818181818
1989,14.909090909090908,13.022727272727273
1990,14.454545454545455,13.375
1991,14.363636363636363,14.238636363636363
1992,13.136363636363637,14.215909090909092
1993,13.909090909090908,13.96590909090909
1994,14.818181818181818,14.056818181818182
1995,14.5,14.090909090909092
1996,14.545454545454545,14.443181818181817
1997,14.636363636363637,14.625
1998,14.272727272727273,14.488636363636363
1999,14.409090909090908,14.46590909090909
2000,13.681818181818182,14.25
2001,14.272727272727273,14.15909090909091
2002,13.5,13.96590909090909
2003,14.727272727272727,14.045454545454547
2004,13.863636363636363,14.09090909090909
2005,13.227272727272727,13.829545454545455
2006,14.227272727272727,14.011363636363635
2007,13.681818181818182,13.749999999999998
2008,13.545454545454545,13.670454545454545
2009,13.318181818181818,13.693181818181818
2010,13.272727272727273,13.454545454545455
2011,13.727272727272727,13.465909090909092
2012,12.409090909090908,13.181818181818182
2013,13.545454545454545,13.238636363636363
2014,14.363636363636363,13.511363636363635
2015,13.590909090909092,13.477272727272727
2016,12.636363636363637,13.53409090909091
2017,12.545454545454545,13.284090909090908
2018,11.772727272727273,12.636363636363637
2019,14.181818181818182,12.78409090909091
2020,13.363636363636363,12.96590909090909
2021,14.045454545454545,13.340909090909092
2022,14.090909090909092,13.920454545454547
2023,13.454545454545455,13.738636363636363
2024,14.409090909090908,14.0
