year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,,
2001,,
2002,13.863636363636363,13.863636363636363
2003,13.045454545454545,13.454545454545453
2004,14.045454545454545,13.65151515151515
2005,12.909090909090908,13.46590909090909
2006,12.772727272727273,13.193181818181818
2007,13.045454545454545,13.193181818181818
2008,13.590909090909092,13.079545454545455
2009,13.545454545454545,13.238636363636363
2010,13.545454545454545,13.431818181818182
2011,14.227272727272727,13.727272727272727
2012,14.090909090909092,13.852272727272727
2013,13.272727272727273,13.784090909090908
2014,13.545454545454545,13.78409090909091
2015,12.681818181818182,13.397727272727273
2016,12.681818181818182,13.045454545454545
2017,11.5,12.602272727272727
2018,13.545454545454545,12.602272727272727
2019,13.136363636363637,12.71590909090909
2020,12.727272727272727,12.727272727272727
2021,12.045454545454545,12.863636363636363
2022,13.5,12.852272727272727
2023,12.181818181818182,12.613636363636363
2024,13.181818181818182,12.727272727272728
