year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,12.363636363636363,12.363636363636363
1996,12.863636363636363,12.613636363636363
1997,13.272727272727273,12.833333333333334
1998,13.727272727272727,13.056818181818182
1999,14.227272727272727,13.522727272727272
2000,13.272727272727273,13.625
2001,13.181818181818182,13.602272727272727
2002,13.954545454545455,13.65909090909091
2003,14.636363636363637,13.761363636363637
2004,14.0,13.943181818181818
2005,13.954545454545455,14.136363636363637
2006,13.772727272727273,14.090909090909092
2007,12.863636363636363,13.647727272727273
2008,13.0,13.397727272727273
2009,13.545454545454545,13.295454545454547
2010,13.0,13.102272727272727
2011,13.0,13.136363636363637
2012,11.863636363636363,12.852272727272727
2013,12.909090909090908,12.693181818181817
2014,12.409090909090908,12.545454545454543
2015,13.863636363636363,12.761363636363635
2016,13.272727272727273,13.113636363636363
2017,14.272727272727273,13.454545454545455
2018,12.181818181818182,13.397727272727272
2019,13.045454545454545,13.193181818181818
2020,11.181818181818182,12.670454545454545
2021,13.238095238095237,12.411796536796537
2022,15.045454545454545,13.127705627705627
2023,14.409090909090908,13.468614718614718
2024,13.0,13.923160173160174
