year,GS_mean,moving_avg
1960,11.636363636363637,11.636363636363637
1961,12.045454545454545,11.84090909090909
1962,12.318181818181818,12.0
1963,11.909090909090908,11.977272727272727
1964,12.409090909090908,12.170454545454543
1965,13.5,12.53409090909091
1966,13.0,12.704545454545453
1967,11.863636363636363,12.693181818181818
1968,12.954545454545455,12.829545454545453
1969,13.227272727272727,12.761363636363635
1970,12.5,12.636363636363637
1971,13.363636363636363,13.011363636363637
1972,12.318181818181818,12.852272727272727
1973,12.363636363636363,12.636363636363637
1974,11.545454545454545,12.397727272727273
1975,11.090909090909092,11.829545454545453
1976,12.090909090909092,11.772727272727273
1977,11.363636363636363,11.522727272727273
1978,14.5,12.261363636363637
1979,13.636363636363637,12.897727272727272
1980,13.909090909090908,13.352272727272727
1981,13.636363636363637,13.920454545454545
1982,7.863636363636363,12.261363636363637
1983,13.363636363636363,12.193181818181818
1984,13.181818181818182,12.011363636363635
1985,13.0,11.852272727272727
1986,13.772727272727273,13.329545454545455
1987,9.636363636363637,12.397727272727273
1988,11.772727272727273,12.045454545454547
1989,13.727272727272727,12.227272727272728
1990,13.545454545454545,12.170454545454547
1991,13.818181818181818,13.21590909090909
1992,13.454545454545455,13.636363636363637
1993,14.045454545454545,13.71590909090909
1994,13.636363636363637,13.738636363636363
1995,14.409090909090908,13.886363636363637
1996,14.045454545454545,14.03409090909091
1997,14.090909090909092,14.045454545454547
1998,13.545454545454545,14.022727272727272
1999,14.636363636363637,14.079545454545455
2000,14.318181818181818,14.147727272727273
2001,13.954545454545455,14.113636363636363
2002,14.363636363636363,14.318181818181818
2003,15.409090909090908,14.511363636363637
2004,13.181818181818182,14.227272727272728
2005,13.954545454545455,14.227272727272727
2006,14.272727272727273,14.204545454545455
2007,14.0,13.852272727272727
2008,13.272727272727273,13.875
2009,12.772727272727273,13.579545454545455
2010,14.045454545454545,13.522727272727273
2011,13.681818181818182,13.443181818181818
2012,12.772727272727273,13.318181818181818
2013,12.954545454545455,13.363636363636363
2014,13.636363636363637,13.261363636363637
2015,12.818181818181818,13.045454545454547
2016,13.409090909090908,13.204545454545455
2017,12.454545454545455,13.079545454545455
2018,13.363636363636363,13.011363636363637
2019,12.954545454545455,13.045454545454547
2020,12.590909090909092,12.84090909090909
2021,13.5,13.102272727272727
2022,15.095238095238095,13.535173160173162
2023,14.090909090909092,13.819264069264069
2024,13.5,14.046536796536795
