year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,11.363636363636363,11.363636363636363
1967,10.681818181818182,11.022727272727273
1968,11.409090909090908,11.15151515151515
1969,11.954545454545455,11.352272727272727
1970,12.909090909090908,11.738636363636363
1971,13.0,12.318181818181817
1972,12.818181818181818,12.670454545454545
1973,13.136363636363637,12.965909090909092
1974,11.636363636363637,12.647727272727272
1975,12.090909090909092,12.420454545454547
1976,11.318181818181818,12.045454545454547
1977,12.045454545454545,11.772727272727273
1978,14.090909090909092,12.386363636363637
1979,14.727272727272727,13.045454545454545
1980,13.909090909090908,13.693181818181817
1981,13.954545454545455,14.170454545454545
1982,8.409090909090908,12.75
1983,14.590909090909092,12.715909090909092
1984,13.954545454545455,12.727272727272727
1985,13.909090909090908,12.71590909090909
1986,14.0,14.113636363636363
1987,10.727272727272727,13.147727272727272
1988,13.681818181818182,13.079545454545453
1989,13.909090909090908,13.079545454545455
1990,14.954545454545455,13.318181818181818
1991,13.590909090909092,14.03409090909091
1992,13.909090909090908,14.09090909090909
1993,13.454545454545455,13.977272727272727
1994,13.954545454545455,13.727272727272727
1995,14.454545454545455,13.943181818181818
1996,13.636363636363637,13.875
1997,13.772727272727273,13.954545454545455
1998,14.772727272727273,14.159090909090908
1999,13.0,13.795454545454545
2000,14.818181818181818,14.090909090909092
2001,13.863636363636363,14.113636363636363
2002,14.636363636363637,14.079545454545455
2003,14.681818181818182,14.5
2004,13.227272727272727,14.102272727272727
2005,13.954545454545455,14.125
2006,13.863636363636363,13.931818181818182
2007,12.318181818181818,13.340909090909092
2008,14.181818181818182,13.579545454545455
2009,13.090909090909092,13.363636363636363
2010,13.545454545454545,13.28409090909091
2011,13.772727272727273,13.647727272727273
2012,14.772727272727273,13.795454545454547
2013,13.909090909090908,14.0
2014,14.0,14.113636363636363
2015,13.409090909090908,14.022727272727273
2016,12.090909090909092,13.352272727272727
2017,12.545454545454545,13.011363636363637
2018,13.409090909090908,12.863636363636363
2019,10.863636363636363,12.227272727272727
2020,11.954545454545455,12.193181818181817
2021,13.363636363636363,12.397727272727272
2022,14.227272727272727,12.602272727272727
2023,13.409090909090908,13.238636363636363
2024,13.272727272727273,13.568181818181818
