year,GS_mean,moving_avg
1960,,
1961,11.818181818181818,11.818181818181818
1962,12.636363636363637,12.227272727272727
1963,12.727272727272727,12.393939393939393
1964,12.681818181818182,12.46590909090909
1965,12.045454545454545,12.522727272727272
1966,12.090909090909092,12.386363636363637
1967,12.590909090909092,12.352272727272728
1968,12.954545454545455,12.420454545454547
1969,13.227272727272727,12.715909090909092
1970,12.545454545454545,12.829545454545455
1971,12.272727272727273,12.75
1972,12.772727272727273,12.704545454545455
1973,12.863636363636363,12.613636363636363
1974,12.181818181818182,12.522727272727273
1975,12.727272727272727,12.636363636363637
1976,13.454545454545455,12.806818181818182
1977,13.409090909090908,12.943181818181818
1978,14.909090909090908,13.625
1979,14.318181818181818,14.022727272727272
1980,14.818181818181818,14.363636363636363
1981,14.909090909090908,14.738636363636363
1982,8.090909090909092,13.03409090909091
1983,13.454545454545455,12.818181818181818
1984,12.727272727272727,12.295454545454545
1985,13.090909090909092,11.840909090909092
1986,13.909090909090908,13.295454545454545
1987,10.545454545454545,12.568181818181818
1988,14.090909090909092,12.90909090909091
1989,14.136363636363637,13.170454545454545
1990,14.0,13.193181818181818
1991,13.909090909090908,14.034090909090908
1992,14.590909090909092,14.15909090909091
1993,14.136363636363637,14.15909090909091
1994,15.409090909090908,14.511363636363637
1995,13.272727272727273,14.352272727272728
1996,13.045454545454545,13.96590909090909
1997,14.227272727272727,13.988636363636363
1998,14.590909090909092,13.784090909090908
1999,13.681818181818182,13.886363636363637
2000,14.136363636363637,14.159090909090908
2001,12.954545454545455,13.84090909090909
2002,13.681818181818182,13.613636363636363
2003,13.954545454545455,13.681818181818182
2004,13.227272727272727,13.454545454545455
2005,12.181818181818182,13.261363636363637
2006,13.818181818181818,13.295454545454545
2007,13.5,13.181818181818182
2008,13.863636363636363,13.34090909090909
2009,14.454545454545455,13.90909090909091
2010,13.272727272727273,13.772727272727273
2011,13.090909090909092,13.670454545454545
2012,14.090909090909092,13.727272727272728
2013,12.818181818181818,13.318181818181818
2014,12.863636363636363,13.21590909090909
2015,14.0,13.443181818181818
2016,13.090909090909092,13.193181818181818
2017,14.0,13.488636363636363
2018,13.227272727272727,13.579545454545455
2019,13.727272727272727,13.511363636363637
2020,13.363636363636363,13.579545454545453
2021,13.454545454545455,13.443181818181818
2022,14.818181818181818,13.84090909090909
2023,13.727272727272727,13.84090909090909
2024,14.772727272727273,14.19318181818182
