year,GS_mean,moving_avg
1960,11.136363636363637,11.136363636363637
1961,11.545454545454545,11.34090909090909
1962,12.681818181818182,11.787878787878787
1963,12.545454545454545,11.977272727272727
1964,12.590909090909092,12.34090909090909
1965,11.181818181818182,12.25
1966,12.727272727272727,12.261363636363635
1967,11.454545454545455,11.988636363636363
1968,11.636363636363637,11.75
1969,12.636363636363637,12.113636363636363
1970,12.045454545454545,11.943181818181818
1971,12.045454545454545,12.09090909090909
1972,11.954545454545455,12.170454545454545
1973,12.090909090909092,12.03409090909091
1974,12.363636363636363,12.113636363636363
1975,12.136363636363637,12.136363636363637
1976,12.727272727272727,12.329545454545455
1977,12.818181818181818,12.511363636363637
1978,14.954545454545455,13.15909090909091
1979,13.954545454545455,13.613636363636363
1980,14.818181818181818,14.136363636363637
1981,13.090909090909092,14.204545454545455
1982,8.045454545454545,12.477272727272727
1983,13.954545454545455,12.477272727272728
1984,14.090909090909092,12.295454545454547
1985,14.0,12.522727272727273
1986,14.181818181818182,14.056818181818182
1987,10.363636363636363,13.159090909090908
1988,13.727272727272727,13.068181818181818
1989,13.863636363636363,13.034090909090908
1990,13.0,12.738636363636363
1991,13.818181818181818,13.602272727272727
1992,13.136363636363637,13.454545454545455
1993,13.045454545454545,13.25
1994,13.636363636363637,13.409090909090908
1995,13.909090909090908,13.43181818181818
1996,13.318181818181818,13.477272727272727
1997,14.272727272727273,13.784090909090908
1998,13.318181818181818,13.704545454545455
1999,14.636363636363637,13.886363636363637
2000,13.0,13.806818181818183
2001,13.909090909090908,13.715909090909092
2002,13.636363636363637,13.795454545454545
2003,13.363636363636363,13.477272727272728
2004,13.5,13.602272727272727
2005,12.363636363636363,13.21590909090909
2006,13.181818181818182,13.102272727272727
2007,13.363636363636363,13.102272727272727
2008,13.090909090909092,13.0
2009,12.227272727272727,12.965909090909092
2010,12.090909090909092,12.69318181818182
2011,13.0,12.602272727272727
2012,13.363636363636363,12.670454545454545
2013,11.909090909090908,12.59090909090909
2014,12.636363636363637,12.727272727272727
2015,11.909090909090908,12.454545454545453
2016,12.590909090909092,12.261363636363637
2017,12.0,12.28409090909091
2018,13.181818181818182,12.420454545454545
2019,12.681818181818182,12.613636363636363
2020,12.136363636363637,12.5
2021,14.181818181818182,13.045454545454545
2022,13.761904761904763,13.19047619047619
2023,12.409090909090908,13.122294372294373
2024,12.727272727272727,13.270021645021645
