year,GS_mean,moving_avg
1960,10.727272727272727,10.727272727272727
1961,12.636363636363637,11.681818181818182
1962,12.227272727272727,11.863636363636365
1963,12.318181818181818,11.977272727272727
1964,10.727272727272727,11.977272727272727
1965,11.045454545454545,11.579545454545453
1966,10.136363636363637,11.056818181818183
1967,11.636363636363637,10.886363636363637
1968,12.863636363636363,11.420454545454547
1969,11.818181818181818,11.613636363636363
1970,13.136363636363637,12.363636363636363
1971,11.727272727272727,12.386363636363637
1972,13.363636363636363,12.511363636363637
1973,11.636363636363637,12.465909090909092
1974,11.318181818181818,12.011363636363637
1975,12.0,12.079545454545453
1976,11.772727272727273,11.681818181818183
1977,12.409090909090908,11.875
1978,13.5,12.420454545454547
1979,13.136363636363637,12.704545454545455
1980,11.727272727272727,12.693181818181818
1981,13.363636363636363,12.931818181818182
1982,8.090909090909092,11.579545454545453
1983,13.181818181818182,11.590909090909092
1984,13.5,12.03409090909091
1985,14.863636363636363,12.409090909090908
1986,14.909090909090908,14.113636363636363
1987,10.454545454545455,13.431818181818182
1988,13.863636363636363,13.522727272727272
1989,14.136363636363637,13.340909090909092
1990,13.545454545454545,13.0
1991,13.863636363636363,13.852272727272727
1992,13.590909090909092,13.78409090909091
1993,14.045454545454545,13.761363636363637
1994,13.681818181818182,13.795454545454545
1995,14.681818181818182,14.0
1996,14.590909090909092,14.25
1997,14.090909090909092,14.261363636363637
1998,14.272727272727273,14.40909090909091
1999,13.227272727272727,14.045454545454547
2000,14.772727272727273,14.09090909090909
2001,14.454545454545455,14.181818181818182
2002,14.454545454545455,14.227272727272727
2003,12.863636363636363,14.136363636363637
2004,12.863636363636363,13.659090909090908
2005,14.5,13.670454545454545
2006,13.363636363636363,13.397727272727273
2007,14.090909090909092,13.704545454545455
2008,14.318181818181818,14.068181818181818
2009,13.181818181818182,13.738636363636363
2010,13.681818181818182,13.81818181818182
2011,13.409090909090908,13.647727272727273
2012,13.363636363636363,13.409090909090908
2013,12.454545454545455,13.227272727272727
2014,12.727272727272727,12.988636363636363
2015,12.272727272727273,12.704545454545453
2016,13.818181818181818,12.818181818181818
2017,11.909090909090908,12.68181818181818
2018,12.681818181818182,12.670454545454547
2019,12.818181818181818,12.80681818181818
2020,12.818181818181818,12.556818181818182
2021,13.636363636363637,12.988636363636363
2022,11.772727272727273,12.761363636363637
2023,12.478260869565217,12.676383399209488
2024,12.590909090909092,12.619565217391305
