year,GS_mean,moving_avg
1960,11.818181818181818,11.818181818181818
1961,12.227272727272727,12.022727272727273
1962,11.454545454545455,11.833333333333334
1963,11.636363636363637,11.78409090909091
1964,11.909090909090908,11.806818181818182
1965,12.090909090909092,11.772727272727273
1966,12.454545454545455,12.022727272727273
1967,12.954545454545455,12.352272727272727
1968,12.727272727272727,12.556818181818182
1969,12.045454545454545,12.545454545454547
1970,12.409090909090908,12.534090909090908
1971,11.727272727272727,12.227272727272727
1972,12.363636363636363,12.136363636363637
1973,11.045454545454545,11.886363636363635
1974,12.545454545454545,11.920454545454545
1975,12.0,11.988636363636363
1976,11.454545454545455,11.761363636363637
1977,11.545454545454545,11.886363636363637
1978,14.818181818181818,12.454545454545455
1979,14.409090909090908,13.056818181818182
1980,13.681818181818182,13.613636363636363
1981,13.818181818181818,14.181818181818182
1982,8.409090909090908,12.579545454545453
1983,13.772727272727273,12.420454545454545
1984,12.227272727272727,12.056818181818182
1985,12.772727272727273,11.795454545454545
1986,12.454545454545455,12.806818181818183
1987,10.045454545454545,11.875
1988,13.772727272727273,12.261363636363637
1989,13.363636363636363,12.40909090909091
1990,14.136363636363637,12.829545454545455
1991,14.318181818181818,13.897727272727273
1992,13.818181818181818,13.90909090909091
1993,14.818181818181818,14.272727272727273
1994,14.318181818181818,14.318181818181818
1995,12.5,13.863636363636363
1996,12.909090909090908,13.636363636363637
1997,14.318181818181818,13.511363636363637
1998,14.363636363636363,13.522727272727273
1999,13.181818181818182,13.693181818181818
2000,14.409090909090908,14.068181818181817
2001,15.136363636363637,14.272727272727273
2002,15.363636363636363,14.522727272727272
2003,14.681818181818182,14.897727272727273
2004,14.863636363636363,15.011363636363637
2005,13.454545454545455,14.59090909090909
2006,14.363636363636363,14.340909090909092
2007,13.409090909090908,14.022727272727273
2008,14.454545454545455,13.920454545454545
2009,14.090909090909092,14.079545454545455
2010,13.681818181818182,13.909090909090908
2011,14.227272727272727,14.113636363636363
2012,13.727272727272727,13.931818181818182
2013,13.909090909090908,13.886363636363637
2014,13.318181818181818,13.795454545454545
2015,13.863636363636363,13.704545454545455
2016,12.272727272727273,13.340909090909092
2017,13.863636363636363,13.329545454545453
2018,12.045454545454545,13.011363636363637
2019,11.909090909090908,12.522727272727272
2020,11.0,12.204545454545453
2021,12.181818181818182,11.78409090909091
2022,13.909090909090908,12.25
2023,13.727272727272727,12.704545454545455
2024,14.227272727272727,13.511363636363637
