year,GS_mean,moving_avg
1960,11.863636363636363,11.863636363636363
1961,12.818181818181818,12.34090909090909
1962,13.090909090909092,12.590909090909092
1963,13.0,12.693181818181818
1964,11.818181818181818,12.681818181818182
1965,11.818181818181818,12.431818181818183
1966,10.5,11.78409090909091
1967,11.772727272727273,11.477272727272727
1968,12.590909090909092,11.670454545454545
1969,12.727272727272727,11.897727272727272
1970,12.227272727272727,12.329545454545455
1971,11.863636363636363,12.352272727272728
1972,11.136363636363637,11.988636363636363
1973,11.227272727272727,11.613636363636363
1974,11.545454545454545,11.443181818181818
1975,12.909090909090908,11.704545454545453
1976,12.318181818181818,12.0
1977,12.272727272727273,12.261363636363637
1978,14.681818181818182,13.045454545454545
1979,15.318181818181818,13.647727272727273
1980,14.272727272727273,14.136363636363637
1981,14.681818181818182,14.738636363636363
1982,7.7727272727272725,13.011363636363637
1983,13.409090909090908,12.53409090909091
1984,14.318181818181818,12.545454545454545
1985,15.090909090909092,12.647727272727273
1986,13.454545454545455,14.068181818181818
1987,11.136363636363637,13.5
1988,15.136363636363637,13.704545454545455
1989,14.318181818181818,13.511363636363637
1990,15.227272727272727,13.954545454545455
1991,15.136363636363637,14.954545454545453
1992,14.090909090909092,14.693181818181818
1993,13.863636363636363,14.579545454545455
1994,14.272727272727273,14.340909090909092
1995,13.409090909090908,13.90909090909091
1996,14.681818181818182,14.056818181818182
1997,14.954545454545455,14.329545454545453
1998,14.0,14.261363636363637
1999,14.363636363636363,14.5
2000,14.818181818181818,14.53409090909091
2001,14.227272727272727,14.352272727272728
2002,14.227272727272727,14.409090909090908
2003,14.318181818181818,14.397727272727273
2004,12.363636363636363,13.784090909090908
2005,13.772727272727273,13.670454545454545
2006,13.727272727272727,13.545454545454545
2007,14.045454545454545,13.477272727272727
2008,14.272727272727273,13.954545454545455
2009,13.772727272727273,13.954545454545455
2010,13.681818181818182,13.943181818181818
2011,13.818181818181818,13.886363636363637
2012,13.318181818181818,13.647727272727273
2013,13.545454545454545,13.59090909090909
2014,12.272727272727273,13.238636363636363
2015,12.409090909090908,12.886363636363637
2016,12.681818181818182,12.727272727272728
2017,14.090909090909092,12.863636363636363
2018,13.272727272727273,13.113636363636363
2019,12.636363636363637,13.170454545454547
2020,13.045454545454545,13.261363636363637
2021,13.318181818181818,13.068181818181817
2022,12.681818181818182,12.920454545454547
2023,12.142857142857142,12.797077922077921
2024,12.636363636363637,12.694805194805195
