year,GS_mean,moving_avg
1960,10.545454545454545,10.545454545454545
1961,11.909090909090908,11.227272727272727
1962,12.090909090909092,11.515151515151516
1963,12.409090909090908,11.738636363636363
1964,10.954545454545455,11.84090909090909
1965,10.954545454545455,11.602272727272727
1966,11.727272727272727,11.511363636363637
1967,11.272727272727273,11.227272727272727
1968,12.181818181818182,11.53409090909091
1969,12.181818181818182,11.840909090909092
1970,12.318181818181818,11.988636363636365
1971,12.130434782608695,12.20306324110672
1972,12.772727272727273,12.350790513833992
1973,12.681818181818182,12.475790513833992
1974,12.409090909090908,12.498517786561264
1975,13.238095238095237,12.7754329004329
1976,12.318181818181818,12.661796536796537
1977,12.636363636363637,12.6504329004329
1978,14.590909090909092,13.195887445887447
1979,13.227272727272727,13.193181818181818
1980,13.454545454545455,13.477272727272727
1981,13.727272727272727,13.75
1982,8.636363636363637,12.261363636363637
1983,13.545454545454545,12.34090909090909
1984,12.772727272727273,12.170454545454545
1985,13.590909090909092,12.136363636363637
1986,14.181818181818182,13.522727272727272
1987,11.136363636363637,12.920454545454547
1988,12.909090909090908,12.954545454545455
1989,14.045454545454545,13.068181818181818
1990,14.545454545454545,13.15909090909091
1991,13.227272727272727,13.68181818181818
1992,14.0,13.954545454545453
1993,13.954545454545455,13.931818181818182
1994,13.818181818181818,13.75
1995,13.227272727272727,13.75
1996,13.636363636363637,13.659090909090908
1997,14.409090909090908,13.772727272727272
1998,14.363636363636363,13.909090909090908
1999,14.181818181818182,14.147727272727272
2000,14.181818181818182,14.284090909090908
2001,14.454545454545455,14.295454545454547
2002,14.454545454545455,14.318181818181818
2003,14.318181818181818,14.352272727272727
2004,14.0,14.306818181818183
2005,14.727272727272727,14.375
2006,14.318181818181818,14.34090909090909
2007,14.272727272727273,14.329545454545455
2008,14.090909090909092,14.352272727272727
2009,14.318181818181818,14.250000000000002
2010,13.954545454545455,14.15909090909091
2011,13.727272727272727,14.022727272727273
2012,12.954545454545455,13.738636363636363
2013,12.954545454545455,13.397727272727273
2014,13.318181818181818,13.238636363636363
2015,13.409090909090908,13.15909090909091
2016,12.272727272727273,12.988636363636363
2017,13.454545454545455,13.113636363636365
2018,13.954545454545455,13.272727272727273
2019,13.0,13.170454545454547
2020,13.0,13.352272727272727
2021,14.26086956521739,13.553853754940711
2022,14.272727272727273,13.633399209486166
2023,13.454545454545455,13.74703557312253
2024,14.136363636363637,14.03112648221344
