year,GS_mean,moving_avg
1960,12.227272727272727,12.227272727272727
1961,12.318181818181818,12.272727272727273
1962,12.045454545454545,12.196969696969697
1963,11.954545454545455,12.136363636363637
1964,11.5,11.954545454545455
1965,12.136363636363637,11.909090909090908
1966,12.0,11.897727272727273
1967,12.818181818181818,12.113636363636363
1968,12.636363636363637,12.397727272727273
1969,13.090909090909092,12.636363636363637
1970,13.090909090909092,12.90909090909091
1971,12.409090909090908,12.806818181818182
1972,13.5,13.022727272727273
1973,13.227272727272727,13.056818181818182
1974,13.090909090909092,13.056818181818182
1975,12.727272727272727,13.136363636363637
1976,13.409090909090908,13.113636363636363
1977,13.181818181818182,13.102272727272727
1978,14.590909090909092,13.477272727272727
1979,14.272727272727273,13.863636363636363
1980,14.181818181818182,14.056818181818183
1981,13.818181818181818,14.21590909090909
1982,8.681818181818182,12.738636363636363
1983,15.272727272727273,12.988636363636363
1984,14.0,12.943181818181817
1985,14.818181818181818,13.193181818181818
1986,14.454545454545455,14.636363636363637
1987,10.090909090909092,13.34090909090909
1988,12.727272727272727,13.022727272727272
1989,13.409090909090908,12.670454545454547
1990,15.227272727272727,12.863636363636363
1991,14.954545454545455,14.079545454545455
1992,14.090909090909092,14.420454545454547
1993,15.181818181818182,14.863636363636365
1994,14.090909090909092,14.579545454545457
1995,14.272727272727273,14.40909090909091
1996,13.727272727272727,14.318181818181817
1997,14.318181818181818,14.102272727272727
1998,13.681818181818182,14.0
1999,14.0,13.931818181818183
2000,14.727272727272727,14.18181818181818
2001,14.318181818181818,14.181818181818182
2002,13.818181818181818,14.215909090909092
2003,11.272727272727273,13.534090909090908
2004,12.636363636363637,13.011363636363637
2005,13.227272727272727,12.738636363636363
2006,13.181818181818182,12.579545454545455
2007,13.318181818181818,13.09090909090909
2008,12.636363636363637,13.09090909090909
2009,12.863636363636363,13.0
2010,13.590909090909092,13.102272727272727
2011,12.772727272727273,12.965909090909092
2012,13.772727272727273,13.25
2013,13.409090909090908,13.386363636363637
2014,12.954545454545455,13.227272727272728
2015,13.318181818181818,13.363636363636363
2016,13.181818181818182,13.215909090909092
2017,13.681818181818182,13.284090909090908
2018,11.818181818181818,13.0
2019,12.045454545454545,12.681818181818183
2020,13.0,12.636363636363637
2021,14.136363636363637,12.75
2022,13.863636363636363,13.261363636363637
2023,14.0,13.75
2024,12.863636363636363,13.71590909090909
