year,GS_mean,moving_avg
1960,10.0,10.0
1961,12.136363636363637,11.068181818181818
1962,11.227272727272727,11.12121212121212
1963,11.5,11.21590909090909
1964,11.818181818181818,11.670454545454545
1965,11.636363636363637,11.545454545454547
1966,13.227272727272727,12.045454545454545
1967,13.545454545454545,12.556818181818183
1968,13.090909090909092,12.875
1969,13.181818181818182,13.261363636363637
1970,13.136363636363637,13.238636363636363
1971,13.181818181818182,13.147727272727272
1972,12.272727272727273,12.943181818181818
1973,13.909090909090908,13.125
1974,13.272727272727273,13.15909090909091
1975,13.090909090909092,13.136363636363637
1976,13.454545454545455,13.431818181818183
1977,12.818181818181818,13.15909090909091
1978,14.909090909090908,13.568181818181817
1979,13.681818181818182,13.715909090909092
1980,14.454545454545455,13.96590909090909
1981,13.681818181818182,14.181818181818182
1982,8.409090909090908,12.55681818181818
1983,14.818181818181818,12.84090909090909
1984,14.5,12.852272727272727
1985,14.363636363636363,13.022727272727273
1986,14.136363636363637,14.454545454545455
1987,11.136363636363637,13.53409090909091
1988,14.681818181818182,13.579545454545455
1989,14.181818181818182,13.534090909090908
1990,13.545454545454545,13.386363636363637
1991,12.545454545454545,13.738636363636363
1992,14.363636363636363,13.659090909090908
1993,12.863636363636363,13.329545454545455
1994,14.0,13.443181818181818
1995,14.363636363636363,13.897727272727272
1996,13.772727272727273,13.75
1997,14.136363636363637,14.068181818181818
1998,13.681818181818182,13.988636363636363
1999,15.0,14.147727272727273
2000,14.0,14.204545454545455
2001,14.545454545454545,14.306818181818182
2002,12.954545454545455,14.125
2003,14.136363636363637,13.90909090909091
2004,13.454545454545455,13.772727272727273
2005,12.409090909090908,13.238636363636363
2006,13.954545454545455,13.488636363636363
2007,12.727272727272727,13.136363636363635
2008,12.681818181818182,12.943181818181817
2009,12.136363636363637,12.875
2010,13.772727272727273,12.829545454545455
2011,12.454545454545455,12.761363636363637
2012,13.636363636363637,13.0
2013,13.409090909090908,13.318181818181818
2014,13.318181818181818,13.204545454545455
2015,12.909090909090908,13.318181818181818
2016,13.409090909090908,13.261363636363635
2017,13.590909090909092,13.306818181818182
2018,14.454545454545455,13.59090909090909
2019,12.863636363636363,13.579545454545455
2020,13.565217391304348,13.618577075098814
2021,14.227272727272727,13.777667984189723
2022,11.863636363636363,13.129940711462451
2023,14.318181818181818,13.493577075098813
2024,13.409090909090908,13.454545454545455
