year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,12.954545454545455,12.954545454545455
1997,13.136363636363637,13.045454545454547
1998,13.545454545454545,13.212121212121213
1999,13.5,13.28409090909091
2000,14.227272727272727,13.602272727272727
2001,13.772727272727273,13.761363636363637
2002,13.5,13.75
2003,14.363636363636363,13.96590909090909
2004,13.636363636363637,13.81818181818182
2005,13.045454545454545,13.636363636363635
2006,14.727272727272727,13.943181818181818
2007,13.454545454545455,13.71590909090909
2008,14.363636363636363,13.897727272727272
2009,14.0,14.136363636363637
2010,14.590909090909092,14.102272727272728
2011,14.954545454545455,14.477272727272727
2012,12.772727272727273,14.079545454545455
2013,14.045454545454545,14.090909090909092
2014,13.818181818181818,13.897727272727273
2015,12.681818181818182,13.329545454545455
2016,13.227272727272727,13.443181818181818
2017,13.772727272727273,13.375
2018,12.863636363636363,13.136363636363637
2019,12.681818181818182,13.136363636363637
2020,12.409090909090908,12.931818181818182
2021,13.227272727272727,12.795454545454545
2022,13.318181818181818,12.90909090909091
2023,13.272727272727273,13.05681818181818
2024,14.363636363636363,13.545454545454545
