year,GS_mean,moving_avg
1960,11.727272727272727,11.727272727272727
1961,12.227272727272727,11.977272727272727
1962,10.909090909090908,11.62121212121212
1963,12.409090909090908,11.818181818181817
1964,11.590909090909092,11.784090909090908
1965,12.681818181818182,11.897727272727273
1966,11.590909090909092,12.068181818181818
1967,12.454545454545455,12.079545454545453
1968,12.363636363636363,12.272727272727273
1969,11.636363636363637,12.011363636363637
1970,11.636363636363637,12.022727272727273
1971,12.181818181818182,11.954545454545455
1972,12.045454545454545,11.875
1973,11.045454545454545,11.727272727272727
1974,11.5,11.693181818181818
1975,11.5,11.522727272727273
1976,12.545454545454545,11.647727272727273
1977,12.545454545454545,12.022727272727272
1978,14.0,12.647727272727272
1979,14.545454545454545,13.409090909090908
1980,13.954545454545455,13.761363636363637
1981,13.863636363636363,14.090909090909092
1982,8.227272727272727,12.647727272727273
1983,13.772727272727273,12.454545454545455
1984,13.681818181818182,12.386363636363637
1985,13.863636363636363,12.386363636363637
1986,13.090909090909092,13.602272727272727
1987,10.318181818181818,12.738636363636363
1988,13.227272727272727,12.625
1989,14.136363636363637,12.69318181818182
1990,13.818181818181818,12.875
1991,13.727272727272727,13.727272727272727
1992,14.227272727272727,13.977272727272727
1993,13.636363636363637,13.852272727272727
1994,15.181818181818182,14.193181818181818
1995,14.5,14.386363636363637
1996,13.5,14.204545454545455
1997,13.818181818181818,14.25
1998,12.954545454545455,13.693181818181818
1999,12.772727272727273,13.261363636363637
2000,13.954545454545455,13.375
2001,14.545454545454545,13.556818181818182
2002,13.590909090909092,13.715909090909092
2003,13.545454545454545,13.90909090909091
2004,14.409090909090908,14.022727272727273
2005,13.818181818181818,13.84090909090909
2006,14.318181818181818,14.022727272727272
2007,14.0,14.136363636363637
2008,14.090909090909092,14.056818181818182
2009,13.181818181818182,13.897727272727272
2010,13.227272727272727,13.625
2011,13.727272727272727,13.556818181818182
2012,13.409090909090908,13.386363636363637
2013,12.909090909090908,13.318181818181818
2014,13.136363636363637,13.295454545454545
2015,11.727272727272727,12.795454545454545
2016,12.454545454545455,12.55681818181818
2017,13.5,12.704545454545453
2018,13.045454545454545,12.681818181818182
2019,12.590909090909092,12.897727272727273
2020,12.409090909090908,12.886363636363637
2021,13.727272727272727,12.943181818181818
2022,14.181818181818182,13.227272727272727
2023,13.636363636363637,13.488636363636363
2024,13.818181818181818,13.840909090909092
