year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,11.863636363636363,11.863636363636363
1977,12.545454545454545,12.204545454545453
1978,14.409090909090908,12.939393939393938
1979,14.0,13.204545454545453
1980,14.863636363636363,13.954545454545455
1981,13.181818181818182,14.113636363636363
1982,8.181818181818182,12.556818181818183
1983,13.5,12.431818181818183
1984,13.818181818181818,12.170454545454545
1985,14.727272727272727,12.556818181818182
1986,14.272727272727273,14.079545454545455
1987,11.363636363636363,13.545454545454545
1988,14.136363636363637,13.625
1989,13.636363636363637,13.352272727272728
1990,13.954545454545455,13.272727272727273
1991,13.863636363636363,13.897727272727273
1992,13.818181818181818,13.818181818181818
1993,14.681818181818182,14.079545454545453
1994,13.681818181818182,14.011363636363637
1995,14.045454545454545,14.056818181818183
1996,13.818181818181818,14.056818181818182
1997,13.045454545454545,13.647727272727273
1998,13.909090909090908,13.704545454545453
1999,14.545454545454545,13.829545454545453
2000,14.409090909090908,13.977272727272727
2001,13.909090909090908,14.193181818181817
2002,13.136363636363637,14.0
2003,13.409090909090908,13.71590909090909
2004,13.363636363636363,13.454545454545455
2005,13.318181818181818,13.30681818181818
2006,13.227272727272727,13.329545454545453
2007,14.363636363636363,13.568181818181818
2008,12.454545454545455,13.34090909090909
2009,13.363636363636363,13.352272727272728
2010,13.227272727272727,13.352272727272728
2011,13.227272727272727,13.068181818181818
2012,14.5,13.579545454545455
2013,13.0,13.488636363636363
2014,13.363636363636363,13.522727272727272
2015,13.727272727272727,13.647727272727272
2016,13.272727272727273,13.34090909090909
2017,12.409090909090908,13.193181818181817
2018,13.272727272727273,13.170454545454547
2019,12.5,12.863636363636363
2020,12.863636363636363,12.761363636363637
2021,13.291666666666666,12.982007575757576
2022,15.047619047619047,13.42573051948052
2023,14.0,13.80073051948052
2024,12.5,13.709821428571429
