year,GS_mean,moving_avg
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,11.227272727272727,11.227272727272727
1977,12.227272727272727,11.727272727272727
1978,13.0,12.15151515151515
1979,14.727272727272727,12.795454545454545
1980,14.181818181818182,13.534090909090908
1981,14.136363636363637,14.011363636363637
1982,8.136363636363637,12.795454545454545
1983,11.772727272727273,12.056818181818182
1984,13.545454545454545,11.897727272727273
1985,14.090909090909092,11.886363636363637
1986,13.227272727272727,13.15909090909091
1987,9.772727272727273,12.65909090909091
1988,13.545454545454545,12.65909090909091
1989,14.272727272727273,12.704545454545453
1990,13.772727272727273,12.84090909090909
1991,13.272727272727273,13.71590909090909
1992,13.318181818181818,13.659090909090908
1993,12.0,13.09090909090909
1994,13.363636363636363,12.988636363636365
1995,13.090909090909092,12.94318181818182
1996,13.5,12.988636363636363
1997,14.181818181818182,13.53409090909091
1998,14.363636363636363,13.784090909090908
1999,14.409090909090908,14.113636363636363
2000,15.5,14.613636363636363
2001,15.0,14.818181818181817
2002,14.727272727272727,14.90909090909091
2003,13.681818181818182,14.727272727272728
2004,13.272727272727273,14.170454545454545
2005,14.5,14.045454545454547
2006,13.363636363636363,13.704545454545453
2007,13.909090909090908,13.761363636363637
2008,14.0,13.943181818181817
2009,13.590909090909092,13.71590909090909
2010,12.409090909090908,13.477272727272727
2011,13.590909090909092,13.397727272727273
2012,13.863636363636363,13.363636363636365
2013,12.954545454545455,13.204545454545455
2014,12.454545454545455,13.21590909090909
2015,12.363636363636363,12.90909090909091
2016,13.454545454545455,12.806818181818182
2017,12.0,12.568181818181818
2018,12.227272727272727,12.511363636363637
2019,13.090909090909092,12.693181818181818
2020,14.272727272727273,12.897727272727273
2021,14.090909090909092,13.420454545454547
2022,13.142857142857142,13.64935064935065
2023,14.904761904761905,14.102813852813853
2024,13.363636363636363,13.875541125541126
