year,GS_mean,moving_avg
1960,10.454545454545455,10.454545454545455
1961,12.136363636363637,11.295454545454547
1962,11.863636363636363,11.484848484848484
1963,12.818181818181818,11.818181818181818
1964,12.363636363636363,12.295454545454547
1965,11.681818181818182,12.181818181818182
1966,12.409090909090908,12.318181818181818
1967,11.909090909090908,12.09090909090909
1968,11.454545454545455,11.863636363636363
1969,12.181818181818182,11.988636363636363
1970,12.272727272727273,11.954545454545455
1971,13.181818181818182,12.272727272727273
1972,13.090909090909092,12.681818181818183
1973,12.863636363636363,12.852272727272727
1974,13.181818181818182,13.079545454545453
1975,12.545454545454545,12.920454545454545
1976,13.0,12.897727272727272
1977,12.272727272727273,12.75
1978,13.909090909090908,12.93181818181818
1979,14.409090909090908,13.397727272727273
1980,13.318181818181818,13.477272727272727
1981,12.909090909090908,13.636363636363637
1982,8.545454545454545,12.295454545454547
1983,14.954545454545455,12.431818181818182
1984,13.863636363636363,12.568181818181817
1985,13.954545454545455,12.829545454545453
1986,14.0,14.193181818181817
1987,10.5,13.079545454545453
1988,13.181818181818182,12.90909090909091
1989,12.272727272727273,12.488636363636365
1990,13.545454545454545,12.375
1991,14.727272727272727,13.43181818181818
1992,13.045454545454545,13.397727272727272
1993,12.772727272727273,13.522727272727272
1994,14.0,13.636363636363637
1995,14.045454545454545,13.46590909090909
1996,13.5,13.579545454545455
1997,13.227272727272727,13.693181818181818
1998,13.136363636363637,13.477272727272727
1999,15.0,13.71590909090909
2000,13.772727272727273,13.78409090909091
2001,14.318181818181818,14.056818181818182
2002,13.454545454545455,14.136363636363637
2003,13.5,13.761363636363637
2004,13.409090909090908,13.670454545454545
2005,14.227272727272727,13.647727272727273
2006,13.863636363636363,13.75
2007,13.909090909090908,13.852272727272727
2008,13.5,13.875
2009,13.090909090909092,13.59090909090909
2010,13.045454545454545,13.386363636363637
2011,12.636363636363637,13.06818181818182
2012,14.5,13.31818181818182
2013,13.772727272727273,13.488636363636363
2014,13.090909090909092,13.5
2015,12.681818181818182,13.511363636363637
2016,13.318181818181818,13.21590909090909
2017,11.818181818181818,12.727272727272728
2018,12.227272727272727,12.511363636363637
2019,12.772727272727273,12.534090909090908
2020,12.5,12.329545454545455
2021,12.181818181818182,12.420454545454545
2022,12.818181818181818,12.568181818181818
2023,13.636363636363637,12.78409090909091
2024,14.136363636363637,13.193181818181818
