Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,296,3900,909.0,4.3,44,15,211,184.0,447,2356,19,29,4.8,109.0,417,1544,15,3.7,77.0,57.0,615.0,25.0,1960,buf,,,,,,,,
Team Stats,294,3950,940.0,4.2,42,17,243,194.0,439,2344,15,25,4.7,128.0,438,1606,18,3.7,92.0,65.0,549.0,23.0,1961,buf,,,,,,,,
Team Stats,309,4464,875.0,5.1,38,12,238,150.0,351,1984,15,26,5.3,96.0,501,2480,20,5.0,119.0,74.0,797.0,23.0,1962,buf,,,,,,,,
Team Stats,304,4904,947.0,5.2,40,16,272,227.0,457,3053,16,24,6.2,147.0,453,1851,21,4.1,107.0,63.0,532.0,18.0,1963,buf,,,,,,,,
Team Stats,400,5206,924.0,5.6,52,18,255,174.0,397,3166,19,34,7.3,130.0,492,2040,25,4.1,114.0,62.0,511.0,11.0,1964,buf,,,,,,,,
Team Stats,313,3749,882.0,4.3,38,14,206,208.0,461,2461,13,24,5.0,119.0,392,1288,16,3.3,69.0,78.0,685.0,18.0,1965,buf,,,,,,,,
Team Stats,358,4748,944.0,5.0,36,15,255,199.0,473,2856,15,21,5.8,126.0,455,1892,19,4.2,110.0,62.0,637.0,19.0,1966,buf,,,,,,,,
Team Stats,237,3588,850.0,4.2,47,13,203,183.0,434,2317,14,34,4.8,119.0,371,1271,9,3.4,65.0,74.0,828.0,19.0,1967,buf,,,,,,,,
Team Stats,199,2870,844.0,3.4,42,14,159,168.0,405,1343,7,28,3.0,72.0,400,1527,9,3.8,71.0,67.0,687.0,16.0,1968,buf,,,,,,,,
Team Stats,230,3867,868.0,4.5,51,21,224,215.0,442,2345,17,30,4.8,122.0,384,1522,7,4.0,83.0,67.0,632.0,19.0,1969,buf,,,,,,,,
Team Stats,204,3895,822.0,4.7,52,26,203,213.0,402,2430,13,26,5.3,120.0,367,1465,8,4.0,71.0,99.0,1108.0,12.0,1970,buf,,,,,,,,
Team Stats,184,3326,770.0,4.3,48,16,185,202.0,401,1989,12,32,4.4,96.0,320,1337,6,4.2,68.0,74.0,691.0,21.0,1971,buf,,,,,,,,
Team Stats,257,3733,877.0,4.3,39,15,221,164.0,316,1601,16,24,4.4,98.0,512,2132,11,4.2,104.0,87.0,900.0,19.0,1972,buf,,,,,,,,
Team Stats,259,4085,849.0,4.8,27,13,219,96.0,213,997,4,14,4.1,60.0,605,3088,20,5.1,152.0,75.0,744.0,7.0,1973,buf,,,,,,,,
Team Stats,264,3586,829.0,4.3,29,14,220,128.0,251,1492,14,15,5.3,85.0,545,2094,11,3.8,118.0,79.0,706.0,17.0,1974,buf,,,,,,,,
Team Stats,420,5467,964.0,5.7,34,15,318,182.0,354,2493,28,19,6.6,132.0,588,2974,26,5.1,162.0,90.0,748.0,24.0,1975,buf,,,,,,,,
Team Stats,245,4404,964.0,4.6,43,26,250,156.0,383,1838,16,17,4.4,102.0,548,2566,11,4.7,135.0,91.0,797.0,13.0,1976,buf,,,,,,,,
Team Stats,160,4391,944.0,4.7,44,20,246,221.0,458,2530,12,24,5.1,141.0,450,1861,3,4.1,93.0,87.0,866.0,12.0,1977,buf,,,,,,,,
Team Stats,302,4630,974.0,4.8,34,17,274,203.0,388,2249,21,17,5.4,113.0,556,2381,15,4.3,132.0,120.0,1103.0,29.0,1978,buf,,,,,,,,
Team Stats,268,4837,982.0,4.9,34,19,252,241.0,465,3216,14,15,6.3,147.0,474,1621,11,3.4,83.0,104.0,887.0,22.0,1979,buf,,,,,,,,
Team Stats,320,4972,1084.0,4.6,41,22,317,262.0,461,2750,20,19,5.7,157.0,603,2222,17,3.7,134.0,90.0,731.0,26.0,1980,buf,,,,,,,,
Team Stats,311,5640,1043.0,5.4,38,18,315,253.0,503,3515,25,20,6.8,163.0,524,2125,13,4.1,127.0,114.0,1001.0,25.0,1981,buf,,,,,,,,
Team Stats,150,2927,604.0,4.8,26,9,180,149.0,273,1556,8,17,5.5,84.0,319,1371,9,4.3,83.0,69.0,582.0,13.0,1982,buf,,,,,,,,
Team Stats,283,4823,1023.0,4.7,40,12,309,317.0,571,3087,30,28,5.1,171.0,415,1736,4,4.2,100.0,144.0,1094.0,38.0,1983,buf,,,,,,,,
Team Stats,250,4341,1046.0,4.2,44,14,263,298.0,588,2698,18,30,4.2,149.0,398,1643,9,4.1,98.0,121.0,997.0,16.0,1984,buf,,,,,,,,
Team Stats,200,4595,971.0,4.7,52,21,256,263.0,517,2984,9,31,5.3,151.0,412,1611,13,3.9,86.0,132.0,965.0,19.0,1985,buf,,,,,,,,
Team Stats,287,5017,963.0,5.2,39,20,291,294.0,499,3363,22,19,6.2,152.0,419,1654,9,3.9,101.0,121.0,878.0,38.0,1986,buf,,,,,,,,
Team Stats,270,4741,1018.0,4.7,43,24,294,292.0,516,2901,21,19,5.2,151.0,465,1840,9,4.0,111.0,94.0,762.0,32.0,1987,buf,,,,,,,,
Team Stats,329,5315,1012.0,5.3,33,16,313,271.0,454,3182,15,17,6.6,161.0,528,2133,15,4.0,137.0,109.0,824.0,15.0,1988,buf,,,,,,,,
Team Stats,409,5853,1045.0,5.6,41,21,334,281.0,478,3589,32,20,7.0,177.0,532,2264,15,4.3,136.0,103.0,831.0,21.0,1989,buf,,,,,,,,
Team Stats,428,5276,931.0,5.7,21,10,302,263.0,425,3196,28,11,7.1,161.0,479,2080,20,4.3,123.0,92.0,683.0,18.0,1990,buf,,,,,,,,
Team Stats,458,6252,1056.0,5.9,35,16,359,332.0,516,3871,39,19,7.0,208.0,505,2381,16,4.7,128.0,113.0,865.0,23.0,1991,buf,,,,,,,,
Team Stats,381,5893,1087.0,5.4,38,17,350,293.0,509,3457,23,21,6.4,192.0,549,2436,18,4.4,133.0,103.0,775.0,25.0,1992,buf,,,,,,,,
Team Stats,329,5260,1078.0,4.9,35,17,316,304.0,497,3317,20,18,6.3,176.0,550,1943,12,3.5,117.0,94.0,630.0,23.0,1993,buf,,,,,,,,
Team Stats,340,5244,1066.0,4.9,34,13,319,342.0,542,3413,23,21,5.9,181.0,483,1831,14,3.8,107.0,92.0,631.0,31.0,1994,buf,,,,,,,,
Team Stats,350,5117,1059.0,4.8,26,12,300,279.0,506,3124,24,14,5.8,142.0,521,1993,10,3.8,130.0,89.0,672.0,28.0,1995,buf,,,,,,,,
Team Stats,319,5119,1094.0,4.7,37,13,294,279.0,483,3218,18,24,6.1,149.0,563,1901,14,3.4,128.0,106.0,831.0,17.0,1996,buf,,,,,,,,
