Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,289,4619,1029.0,4.5,41,16,250,263.0,537,3046,16,25,5.3,157.0,454,1573,10,3.5,74.0,94.0,683.0,19.0,1995,car,,,,,,,,
Team Stats,367,4812,1025.0,4.7,25,14,292,273.0,487,3083,22,11,5.9,160.0,502,1729,9,3.4,93.0,94.0,638.0,39.0,1996,car,,,,,,,,
Team Stats,265,4615,1019.0,4.5,39,15,284,289.0,534,2845,17,24,4.9,170.0,441,1770,11,4.0,91.0,94.0,763.0,23.0,1997,car,,,,,,,,
Team Stats,336,4780,966.0,4.9,35,17,261,292.0,507,3322,25,18,5.9,171.0,405,1458,11,3.6,68.0,113.0,931.0,22.0,1998,car,,,,,,,,
Team Stats,421,5686,982.0,5.8,34,19,307,345.0,575,4161,36,15,6.6,208.0,356,1525,12,4.3,78.0,106.0,857.0,21.0,1999,car,192.0,38.0,15.1,Own 32.7,2:27,5.26,29.6,2.14
Team Stats,310,4654,998.0,4.7,35,16,304,340.0,566,3468,19,19,5.5,201.0,363,1186,7,3.3,63.0,84.0,683.0,40.0,2000,car,176.0,32.4,18.2,Own 32.0,2:44,5.87,26.4,1.56
Team Stats,253,4254,965.0,4.4,35,13,236,314.0,579,2882,12,22,4.7,144.0,354,1372,9,3.9,68.0,87.0,747.0,24.0,2001,car,201.0,22.4,15.9,Own 32.0,2:12,4.94,21.0,1.11
Team Stats,258,4280,960.0,4.5,40,18,238,255.0,464,2694,15,22,5.3,133.0,452,1586,11,3.5,82.0,94.0,785.0,23.0,2002,car,211.0,19.4,17.5,Own 32.1,2:13,4.67,20.1,1.08
Team Stats,325,5141,1008.0,5.1,31,15,284,270.0,460,3050,19,16,6.3,146.0,522,2091,9,4.0,114.0,116.0,966.0,24.0,2003,car,195.0,30.8,14.9,Own 31.7,2:33,5.36,26.3,1.5
Team Stats,355,5225,991.0,5.3,26,11,308,311.0,536,3643,29,15,6.4,192.0,422,1582,10,3.7,85.0,123.0,1020.0,31.0,2004,car,182.0,32.4,12.6,Own 31.8,2:38,5.58,28.6,1.83
