Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,194,3465,697.0,5.0,42,10,183,146.0,324,1826,13,32,5.6,90.0,373,1639,11,4.4,83.0,83.0,707.0,10.0,1960,chi,,,,,,,,
Team Stats,326,4562,785.0,5.8,38,14,239,186.0,349,2672,26,24,7.7,113.0,436,1890,16,4.3,103.0,81.0,720.0,23.0,1961,chi,,,,,,,,
Team Stats,321,4549,816.0,5.6,44,16,228,229.0,430,3060,20,28,7.1,128.0,386,1489,17,3.9,88.0,69.0,776.0,12.0,1962,chi,,,,,,,,
Team Stats,301,4172,911.0,4.6,25,11,257,221.0,404,2493,18,14,5.9,117.0,487,1679,15,3.4,108.0,92.0,804.0,32.0,1963,chi,,,,,,,,
Team Stats,260,4007,880.0,4.6,33,12,248,282.0,494,2841,25,21,5.4,141.0,356,1166,5,3.3,83.0,96.0,817.0,24.0,1964,chi,,,,,,,,
Team Stats,409,4897,870.0,5.6,28,16,257,201.0,361,2766,22,12,7.1,110.0,479,2131,27,4.4,132.0,96.0,826.0,15.0,1965,chi,,,,,,,,
Team Stats,234,3699,830.0,4.5,35,12,196,159.0,338,1772,10,23,4.8,85.0,463,1927,12,4.2,96.0,80.0,714.0,15.0,1966,chi,,,,,,,,
Team Stats,239,3293,784.0,4.2,32,14,175,131.0,268,1441,9,18,4.9,62.0,489,1852,12,3.8,98.0,98.0,953.0,15.0,1967,chi,,,,,,,,
Team Stats,250,4058,867.0,4.7,37,16,219,158.0,343,1681,10,21,4.6,78.0,500,2377,14,4.8,121.0,113.0,1194.0,20.0,1968,chi,,,,,,,,
Team Stats,210,3568,901.0,4.0,38,17,237,193.0,384,1490,11,21,3.4,97.0,462,2078,14,4.5,120.0,89.0,940.0,20.0,1969,chi,,,,,,,,
Team Stats,256,3265,808.0,4.0,35,13,179,210.0,422,2173,21,22,4.8,104.0,353,1092,3,3.1,55.0,94.0,853.0,20.0,1970,chi,,,,,,,,
Team Stats,185,3336,857.0,3.9,46,18,189,186.0,443,1902,12,28,3.9,99.0,365,1434,6,3.9,75.0,78.0,746.0,15.0,1971,chi,,,,,,,,
Team Stats,225,3468,773.0,4.5,35,22,190,78.0,205,1108,9,13,4.7,54.0,536,2360,15,4.4,124.0,74.0,574.0,12.0,1972,chi,,,,,,,,
Team Stats,195,3129,848.0,3.7,42,26,193,136.0,303,1222,8,16,3.5,77.0,496,1907,11,3.8,97.0,86.0,817.0,19.0,1973,chi,,,,,,,,
Team Stats,152,3200,866.0,3.7,37,15,203,185.0,396,1720,8,22,4.0,96.0,434,1480,10,3.4,92.0,88.0,679.0,15.0,1974,chi,,,,,,,,
Team Stats,191,3492,829.0,4.2,40,17,190,191.0,356,1839,9,23,4.7,99.0,441,1653,11,3.7,74.0,100.0,881.0,17.0,1975,chi,,,,,,,,
Team Stats,253,3843,880.0,4.4,28,13,201,123.0,278,1480,9,15,4.9,67.0,578,2363,20,4.1,115.0,114.0,984.0,19.0,1976,chi,,,,,,,,
Team Stats,255,4655,930.0,5.0,35,17,247,161.0,305,1844,11,18,5.6,94.0,599,2811,18,4.7,141.0,97.0,852.0,12.0,1977,chi,,,,,,,,
Team Stats,253,4459,1020.0,4.4,36,8,262,186.0,352,1933,7,28,5.0,99.0,634,2526,19,4.0,136.0,101.0,958.0,27.0,1978,chi,,,,,,,,
Team Stats,306,4637,1031.0,4.5,29,13,262,195.0,373,2151,16,16,5.3,98.0,627,2486,17,4.0,140.0,100.0,816.0,24.0,1979,chi,,,,,,,,
Team Stats,304,4835,1016.0,4.8,39,14,286,209.0,404,2395,13,25,5.5,121.0,579,2440,22,4.2,139.0,100.0,842.0,26.0,1980,chi,,,,,,,,
Team Stats,253,4633,1132.0,4.1,40,17,278,222.0,489,2462,14,23,4.7,126.0,608,2171,13,3.6,126.0,121.0,996.0,26.0,1981,chi,,,,,,,,
Team Stats,141,2493,571.0,4.4,19,8,153,141.0,262,1505,10,11,5.1,83.0,276,988,5,3.6,56.0,58.0,422.0,14.0,1982,chi,,,,,,,,
Team Stats,311,5830,1083.0,5.4,36,14,308,255.0,447,3103,21,22,6.2,136.0,583,2727,14,4.7,154.0,107.0,869.0,18.0,1983,chi,,,,,,,,
Team Stats,325,5437,1100.0,4.9,31,16,297,226.0,390,2463,14,15,5.8,115.0,674,2974,22,4.4,164.0,114.0,851.0,18.0,1984,chi,,,,,,,,
Team Stats,456,5837,1085.0,5.4,31,15,343,237.0,432,3076,17,16,6.5,145.0,610,2761,27,4.5,176.0,104.0,912.0,22.0,1985,chi,,,,,,,,
Team Stats,352,5459,1045.0,5.2,47,22,305,208.0,415,2759,12,25,6.3,118.0,606,2700,21,4.5,166.0,98.0,765.0,21.0,1986,chi,,,,,,,,
Team Stats,356,5044,1026.0,4.9,44,20,319,272.0,493,3090,23,24,5.7,156.0,485,1954,13,4.0,121.0,103.0,821.0,42.0,1987,chi,,,,,,,,
Team Stats,312,5317,1040.0,5.1,34,19,303,248.0,461,2998,13,15,6.2,134.0,555,2319,25,4.2,137.0,88.0,644.0,32.0,1988,chi,,,,,,,,
Team Stats,358,5375,1028.0,5.2,42,17,302,267.0,484,3088,21,25,6.0,147.0,516,2287,22,4.4,136.0,95.0,846.0,19.0,1989,chi,,,,,,,,
Team Stats,348,4980,1024.0,4.9,26,14,295,229.0,430,2544,14,12,5.4,134.0,551,2436,22,4.4,142.0,75.0,615.0,19.0,1990,chi,,,,,,,,
Team Stats,299,5069,1025.0,4.9,33,16,317,286.0,497,3120,16,17,6.0,168.0,502,1949,18,3.9,120.0,80.0,662.0,29.0,1991,chi,,,,,,,,
Team Stats,295,4941,951.0,5.2,34,10,282,266.0,479,3070,17,24,5.9,157.0,427,1871,15,4.4,101.0,93.0,776.0,24.0,1992,chi,,,,,,,,
Team Stats,234,3717,913.0,4.1,30,14,226,230.0,388,2040,7,16,4.7,113.0,477,1677,10,3.5,98.0,68.0,587.0,15.0,1993,chi,,,,,,,,
Team Stats,271,4679,1014.0,4.6,26,10,274,308.0,502,3091,19,16,5.9,165.0,487,1588,10,3.3,88.0,65.0,503.0,21.0,1994,chi,,,,,,,,
Team Stats,392,5673,1030.0,5.5,26,16,340,315.0,523,3743,29,10,7.0,201.0,492,1930,15,3.9,116.0,71.0,601.0,23.0,1995,chi,,,,,,,,
Team Stats,283,4905,1046.0,4.7,27,9,300,318.0,551,3185,19,18,5.5,176.0,472,1720,9,3.6,104.0,103.0,808.0,20.0,1996,chi,,,,,,,,
Team Stats,263,4990,1128.0,4.4,41,19,305,336.0,595,3244,14,22,5.1,188.0,490,1746,14,3.6,94.0,107.0,867.0,23.0,1997,chi,,,,,,,,
Team Stats,276,4766,979.0,4.9,34,21,264,284.0,494,3053,16,13,5.8,154.0,454,1713,9,3.8,89.0,86.0,714.0,21.0,1998,chi,,,,,,,,
Team Stats,272,5523,1118.0,4.9,37,15,302,404.0,684,4136,25,22,5.7,203.0,396,1387,4,3.5,82.0,117.0,915.0,17.0,1999,chi,205.0,23.4,17.6,Own 32.5,2:19,5.62,26.7,1.27
Team Stats,216,4541,993.0,4.6,29,13,239,304.0,542,2805,12,16,4.9,143.0,417,1736,6,4.2,89.0,90.0,696.0,7.0,2000,chi,194.0,20.1,14.4,Own 29.0,2:21,5.26,23.3,0.97
Team Stats,338,4694,1020.0,4.6,24,8,277,315.0,528,2952,20,16,5.4,153.0,475,1742,12,3.7,100.0,63.0,622.0,24.0,2001,chi,195.0,29.7,11.3,Own 33.4,2:31,5.39,23.9,1.55
