Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,215,3426,772.0,4.4,21,10,171,167.0,313,1619,8,11,4.6,73.0,421,1807,14,4.3,85.0,55.0,586.0,13.0,1968,cin,,,,,,,,
Team Stats,280,3868,728.0,5.3,38,23,172,163.0,308,2345,22,15,6.4,95.0,363,1523,10,4.2,66.0,50.0,556.0,11.0,1969,cin,,,,,,,,
Team Stats,312,3927,831.0,4.7,23,12,210,172.0,339,1870,12,11,5.1,97.0,461,2057,16,4.5,100.0,71.0,831.0,13.0,1970,cin,,,,,,,,
Team Stats,284,4266,867.0,4.9,23,12,236,214.0,365,2124,15,11,5.2,115.0,462,2142,14,4.6,109.0,82.0,921.0,12.0,1971,cin,,,,,,,,
Team Stats,299,4317,899.0,4.8,29,18,255,219.0,384,2321,10,11,5.7,122.0,491,1996,16,4.1,112.0,76.0,738.0,21.0,1972,cin,,,,,,,,
Team Stats,286,4512,871.0,5.2,26,14,252,180.0,332,2276,18,12,6.4,108.0,515,2236,13,4.3,124.0,83.0,799.0,20.0,1973,cin,,,,,,,,
Team Stats,283,4489,835.0,5.4,31,18,260,224.0,353,2511,18,13,6.4,131.0,445,1978,14,4.4,115.0,78.0,653.0,14.0,1974,cin,,,,,,,,
Team Stats,340,5060,966.0,5.2,34,20,295,255.0,433,3241,23,14,6.9,166.0,499,1819,20,3.6,107.0,88.0,783.0,22.0,1975,cin,,,,,,,,
Team Stats,335,4300,878.0,4.9,35,20,238,187.0,360,2191,21,15,5.5,110.0,481,2109,15,4.4,114.0,79.0,700.0,14.0,1976,cin,,,,,,,,
Team Stats,238,4194,904.0,4.6,32,16,248,192.0,385,2333,12,16,5.6,112.0,488,1861,10,3.8,110.0,89.0,859.0,26.0,1977,cin,,,,,,,,
Team Stats,252,4872,1034.0,4.7,49,19,271,250.0,470,2741,14,30,5.4,141.0,526,2131,10,4.1,105.0,110.0,956.0,25.0,1978,cin,,,,,,,,
Team Stats,337,4639,1049.0,4.4,29,14,289,228.0,426,2310,17,15,4.7,131.0,560,2329,23,4.2,138.0,88.0,744.0,20.0,1979,cin,,,,,,,,
Team Stats,244,4884,1060.0,4.6,33,8,283,281.0,510,2815,17,25,5.1,147.0,513,2069,9,4.0,111.0,118.0,949.0,25.0,1980,cin,,,,,,,,
Team Stats,421,5968,1078.0,5.5,24,12,361,332.0,550,3995,30,12,6.8,210.0,493,1973,19,4.0,124.0,109.0,896.0,27.0,1981,cin,,,,,,,,
Team Stats,232,3288,606.0,5.4,16,7,207,219.0,310,2339,12,9,6.9,123.0,269,949,13,3.5,63.0,56.0,475.0,21.0,1982,cin,,,,,,,,
Team Stats,346,5287,1036.0,5.1,33,15,327,290.0,454,3183,14,18,6.4,179.0,542,2104,24,3.9,127.0,99.0,837.0,21.0,1983,cin,,,,,,,,
Team Stats,339,5480,1081.0,5.1,39,17,339,306.0,496,3301,17,22,6.1,179.0,540,2179,18,4.0,135.0,85.0,693.0,25.0,1984,cin,,,,,,,,
Team Stats,441,5900,1062.0,5.6,29,16,344,302.0,518,3717,31,13,6.6,191.0,503,2183,20,4.3,125.0,110.0,795.0,28.0,1985,cin,,,,,,,,
Team Stats,409,6490,1046.0,6.2,36,16,348,287.0,497,3957,25,20,7.5,183.0,521,2533,24,4.9,134.0,111.0,847.0,31.0,1986,cin,,,,,,,,
Team Stats,285,5377,1045.0,5.1,32,12,319,255.0,475,3213,17,20,6.3,159.0,538,2164,13,4.0,130.0,99.0,791.0,30.0,1987,cin,,,,,,,,
Team Stats,448,6057,985.0,6.1,27,13,351,225.0,392,3347,28,14,7.9,165.0,563,2710,27,4.8,159.0,82.0,647.0,27.0,1988,cin,,,,,,,,
Team Stats,404,6101,1083.0,5.6,32,19,348,288.0,513,3618,32,13,6.5,183.0,529,2483,17,4.7,136.0,85.0,637.0,29.0,1989,cin,,,,,,,,
Team Stats,360,5063,943.0,5.4,35,12,277,237.0,425,2943,25,23,6.4,151.0,484,2120,16,4.4,107.0,83.0,627.0,19.0,1990,cin,,,,,,,,
Team Stats,263,4969,993.0,5.0,42,20,286,290.0,511,3158,14,22,5.8,162.0,449,1811,11,4.0,96.0,107.0,845.0,28.0,1991,cin,,,,,,,,
Team Stats,274,3919,934.0,4.2,27,10,248,227.0,435,1943,16,17,4.0,114.0,454,1976,11,4.4,112.0,98.0,755.0,22.0,1992,cin,,,,,,,,
Team Stats,187,4052,986.0,4.1,20,9,239,272.0,510,2541,11,11,4.5,133.0,423,1511,3,3.6,89.0,105.0,773.0,17.0,1993,cin,,,,,,,,
Team Stats,276,4792,990.0,4.8,41,22,267,289.0,542,3236,21,19,5.5,158.0,404,1556,5,3.9,84.0,90.0,618.0,25.0,1994,cin,,,,,,,,
Team Stats,349,5192,975.0,5.3,32,14,288,334.0,586,3753,29,18,6.1,184.0,364,1439,7,4.0,76.0,103.0,835.0,28.0,1995,cin,,,,,,,,
Team Stats,372,5225,1088.0,4.8,25,9,332,316.0,563,3432,25,16,5.6,190.0,478,1793,14,3.8,114.0,90.0,678.0,28.0,1996,cin,,,,,,,,
Team Stats,355,5282,1002.0,5.3,22,13,310,302.0,504,3316,21,9,6.0,171.0,452,1966,23,4.3,104.0,98.0,877.0,35.0,1997,cin,,,,,,,,
Team Stats,268,4824,979.0,4.9,22,10,271,307.0,521,3185,20,12,5.5,148.0,405,1639,7,4.0,92.0,69.0,620.0,31.0,1998,cin,,,,,,,,
Team Stats,283,5277,1039.0,5.1,32,14,293,300.0,548,3226,18,18,5.4,161.0,442,2051,11,4.6,111.0,126.0,1027.0,21.0,1999,cin,193.0,24.4,13.5,Own 29.6,2:29,5.52,27.1,1.33
Team Stats,185,4260,1001.0,4.3,35,21,254,207.0,454,1946,6,14,3.8,109.0,495,2314,13,4.7,119.0,99.0,878.0,26.0,2000,cin,189.0,16.4,15.3,Own 28.3,2:18,5.41,22.3,0.89
Team Stats,226,4800,1071.0,4.5,37,11,294,322.0,602,3088,12,26,4.9,176.0,441,1712,11,3.9,96.0,103.0,870.0,22.0,2001,cin,195.0,20.5,17.4,Own 29.4,2:26,5.64,24.5,1.09
Team Stats,279,5206,1054.0,4.9,35,13,315,350.0,591,3476,17,22,5.5,186.0,426,1730,13,4.1,105.0,99.0,884.0,24.0,2002,cin,183.0,24.6,16.9,Own 28.1,2:32,5.86,28.4,1.39
Team Stats,346,5329,1038.0,5.1,22,7,313,324.0,520,3342,26,15,6.0,181.0,481,1987,12,4.1,101.0,107.0,846.0,31.0,2003,cin,180.0,33.3,11.1,Own 29.0,2:45,5.91,29.6,1.84
Team Stats,374,5140,1004.0,5.1,32,10,286,324.0,536,3301,23,22,5.8,172.0,437,1839,14,4.2,93.0,103.0,810.0,21.0,2004,cin,202.0,31.7,15.8,Own 32.1,2:19,5.13,25.4,1.68
Team Stats,421,5730,1018.0,5.6,20,6,342,362.0,538,3820,32,14,6.8,203.0,459,1910,15,4.2,109.0,110.0,920.0,30.0,2005,cin,179.0,41.9,11.2,Own 34.3,2:45,5.87,32.0,2.31
Team Stats,373,5462,994.0,5.5,24,11,313,327.0,523,3833,28,13,6.9,200.0,435,1629,14,3.7,88.0,92.0,717.0,25.0,2006,cin,188.0,35.6,12.2,Own 31.0,2:26,5.45,29.0,1.96
Team Stats,380,5568,1008.0,5.5,30,10,320,373.0,575,4012,26,20,6.8,213.0,416,1556,10,3.7,81.0,90.0,670.0,26.0,2007,cin,177.0,37.9,15.3,Own 31.1,2:39,5.89,31.4,1.95
Team Stats,204,3926,984.0,4.0,26,11,245,303.0,513,2406,11,15,4.3,145.0,420,1520,6,3.6,80.0,75.0,591.0,20.0,2008,cin,186.0,21.0,13.4,Own 30.1,2:31,5.43,21.0,0.99
