Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,362,3974,647.0,6.1,17,12,219,160.0,264,2044,22,5,7.7,96.0,383,1930,18,5.0,107.0,49.0,534.0,16.0,1960,cle,,,,,,,,
Team Stats,319,4537,796.0,5.7,33,20,246,185.0,320,2374,20,13,7.4,120.0,476,2163,15,4.5,116.0,47.0,455.0,10.0,1961,cle,,,,,,,,
Team Stats,291,4306,784.0,5.5,33,17,252,200.0,370,2534,17,16,6.8,133.0,414,1772,18,4.3,105.0,56.0,600.0,14.0,1962,cle,,,,,,,,
Team Stats,343,4856,807.0,6.0,37,17,252,164.0,322,2217,27,20,6.4,100.0,460,2639,15,5.7,135.0,52.0,609.0,17.0,1963,cle,,,,,,,,
Team Stats,415,4486,807.0,5.6,26,7,255,181.0,344,2323,28,19,6.2,118.0,435,2163,14,5.0,119.0,60.0,611.0,18.0,1964,cle,,,,,,,,
Team Stats,363,4398,836.0,5.3,25,9,257,160.0,329,2067,23,16,5.7,97.0,476,2331,19,4.9,133.0,84.0,976.0,27.0,1965,cle,,,,,,,,
Team Stats,403,5071,846.0,6.0,25,10,278,212.0,402,2905,33,15,6.7,142.0,415,2166,18,5.2,117.0,69.0,747.0,19.0,1966,cle,,,,,,,,
Team Stats,334,4081,821.0,5.0,35,17,238,160.0,333,1942,22,18,5.2,102.0,444,2139,15,4.8,119.0,72.0,773.0,17.0,1967,cle,,,,,,,,
Team Stats,394,4889,831.0,5.9,30,14,248,184.0,363,2858,27,16,7.4,123.0,447,2031,20,4.5,104.0,74.0,841.0,21.0,1968,cle,,,,,,,,
Team Stats,351,4428,845.0,5.2,35,14,250,199.0,378,2640,24,21,6.6,138.0,447,1788,17,4.0,97.0,58.0,603.0,15.0,1969,cle,,,,,,,,
Team Stats,286,4161,870.0,4.8,38,14,239,190.0,392,2582,17,24,6.3,134.0,462,1579,14,3.4,87.0,65.0,634.0,18.0,1970,cle,,,,,,,,
Team Stats,285,3857,859.0,4.5,45,18,231,188.0,376,2299,14,27,5.8,127.0,461,1558,19,3.4,89.0,68.0,612.0,15.0,1971,cle,,,,,,,,
Team Stats,268,3709,817.0,4.5,28,9,215,158.0,337,1916,13,19,5.3,101.0,453,1793,13,4.0,102.0,57.0,536.0,12.0,1972,cle,,,,,,,,
Team Stats,234,3341,859.0,3.9,37,17,200,152.0,308,1373,10,20,3.9,79.0,506,1968,12,3.9,107.0,70.0,620.0,14.0,1973,cle,,,,,,,,
Team Stats,251,3651,876.0,4.2,39,15,223,179.0,367,1727,12,24,4.2,92.0,461,1924,14,4.2,104.0,78.0,767.0,27.0,1974,cle,,,,,,,,
Team Stats,218,3807,915.0,4.2,37,14,247,220.0,437,1957,7,23,4.1,114.0,440,1850,14,4.2,109.0,85.0,851.0,24.0,1975,cle,,,,,,,,
Team Stats,267,4542,925.0,4.9,37,22,260,209.0,373,2247,21,15,5.7,112.0,533,2295,9,4.3,119.0,107.0,1037.0,29.0,1976,cle,,,,,,,,
Team Stats,269,4375,911.0,4.8,53,22,271,208.0,377,2175,19,31,5.4,119.0,510,2200,9,4.3,119.0,125.0,1046.0,33.0,1977,cle,,,,,,,,
Team Stats,334,5347,1036.0,5.2,50,29,293,236.0,442,2859,22,21,6.0,130.0,559,2488,17,4.5,133.0,128.0,1170.0,30.0,1978,cle,,,,,,,,
Team Stats,359,5772,1092.0,5.3,44,17,350,289.0,545,3491,28,27,5.9,189.0,504,2281,16,4.5,125.0,83.0,709.0,36.0,1979,cle,,,,,,,,
Team Stats,357,5588,1013.0,5.5,28,14,336,337.0,554,3915,30,14,6.8,207.0,436,1673,15,3.8,102.0,117.0,1042.0,27.0,1980,cle,,,,,,,,
Team Stats,276,5915,1138.0,5.2,53,26,364,348.0,624,3986,21,27,6.0,196.0,474,1929,11,4.1,131.0,109.0,971.0,37.0,1981,cle,,,,,,,,
Team Stats,140,2718,616.0,4.4,24,8,176,174.0,334,1845,9,16,5.1,96.0,256,873,7,3.4,64.0,59.0,461.0,16.0,1982,cle,,,,,,,,
Team Stats,356,5583,1065.0,5.2,38,10,327,324.0,567,3661,27,28,6.1,186.0,465,1922,13,4.1,113.0,115.0,991.0,28.0,1983,cle,,,,,,,,
Team Stats,250,4828,1039.0,4.6,39,16,295,273.0,495,3132,14,23,5.7,180.0,489,1696,10,3.5,89.0,111.0,928.0,26.0,1984,cle,,,,,,,,
Team Stats,287,4921,983.0,5.0,36,23,271,222.0,414,2636,17,13,5.9,128.0,533,2285,16,4.3,119.0,99.0,753.0,24.0,1985,cle,,,,,,,,
Team Stats,391,5394,1047.0,5.2,24,13,302,315.0,538,3744,18,11,6.5,175.0,470,1650,20,3.5,102.0,101.0,807.0,25.0,1986,cle,,,,,,,,
Team Stats,390,5200,985.0,5.3,29,17,310,291.0,482,3455,27,12,6.8,171.0,474,1745,16,3.7,110.0,100.0,857.0,29.0,1987,cle,,,,,,,,
Team Stats,304,5011,1013.0,4.9,33,16,294,313.0,537,3436,19,17,6.0,177.0,440,1575,10,3.6,93.0,110.0,875.0,24.0,1988,cle,,,,,,,,
Team Stats,334,5042,1011.0,5.0,30,15,285,309.0,529,3433,20,15,6.1,161.0,448,1609,14,3.6,101.0,128.0,973.0,23.0,1989,cle,,,,,,,,
Team Stats,228,4367,960.0,4.5,46,23,259,301.0,573,3147,13,23,5.1,167.0,345,1220,10,3.5,74.0,122.0,922.0,18.0,1990,cle,,,,,,,,
Team Stats,293,4664,934.0,5.0,18,8,265,312.0,503,3304,19,10,6.1,163.0,389,1360,12,3.5,82.0,108.0,872.0,20.0,1991,cle,,,,,,,,
Team Stats,272,4492,883.0,5.1,28,12,242,238.0,398,2885,18,16,6.7,141.0,451,1607,7,3.6,85.0,104.0,765.0,16.0,1992,cle,,,,,,,,
Team Stats,304,4740,948.0,5.0,36,17,264,262.0,478,3039,23,19,5.8,152.0,425,1701,8,4.0,91.0,121.0,842.0,21.0,1993,cle,,,,,,,,
Team Stats,340,4832,970.0,5.0,35,14,273,266.0,507,3175,20,21,6.1,161.0,449,1657,12,3.7,80.0,113.0,969.0,32.0,1994,cle,,,,,,,,
Team Stats,289,5076,985.0,5.2,31,11,293,324.0,555,3594,21,20,6.1,189.0,398,1482,5,3.7,83.0,107.0,966.0,21.0,1995,cle,,,,,,,,
