Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,288,4245,737.0,5.8,36,12,227,196.0,392,2956,26,24,7.5,143.0,345,1289,10,3.7,64.0,51.0,504.0,20.0,1960,clt,,,,,,,,
Team Stats,302,4922,894.0,5.5,42,13,274,232.0,438,2803,17,29,6.4,135.0,456,2119,17,4.6,124.0,69.0,589.0,15.0,1961,clt,,,,,,,,
Team Stats,293,4666,871.0,5.4,44,19,251,237.0,423,3065,27,25,7.2,145.0,448,1601,9,3.6,94.0,63.0,675.0,12.0,1962,clt,,,,,,,,
Team Stats,316,4938,873.0,5.7,37,25,257,248.0,433,3296,20,12,6.9,149.0,396,1642,11,4.1,95.0,77.0,823.0,13.0,1963,clt,,,,,,,,
Team Stats,428,4779,840.0,5.7,19,10,245,176.0,345,2772,22,9,7.2,129.0,456,2007,29,4.4,100.0,74.0,785.0,16.0,1964,clt,,,,,,,,
Team Stats,389,4598,887.0,5.2,36,19,266,222.0,399,3005,31,17,6.8,144.0,445,1593,13,3.6,94.0,69.0,616.0,28.0,1965,clt,,,,,,,,
Team Stats,314,4486,849.0,5.3,39,12,237,221.0,401,2930,26,27,6.8,142.0,418,1556,7,3.7,82.0,64.0,617.0,13.0,1966,clt,,,,,,,,
Team Stats,394,5008,925.0,5.4,25,8,289,265.0,457,3363,22,17,7.0,159.0,443,1645,21,3.7,105.0,52.0,458.0,25.0,1967,clt,,,,,,,,
Team Stats,402,4681,851.0,5.5,34,12,258,196.0,359,2872,28,22,7.4,131.0,463,1809,16,3.9,110.0,75.0,655.0,17.0,1968,clt,,,,,,,,
Team Stats,279,4477,865.0,5.2,39,12,255,225.0,429,2987,17,27,6.7,140.0,417,1490,16,3.6,99.0,62.0,561.0,16.0,1969,clt,,,,,,,,
Team Stats,321,4134,860.0,4.8,36,14,242,219.0,416,2798,23,22,6.2,148.0,411,1336,9,3.3,70.0,71.0,708.0,24.0,1970,clt,,,,,,,,
Team Stats,313,4071,883.0,4.6,32,11,242,176.0,344,1922,10,21,5.2,104.0,512,2149,23,4.2,123.0,57.0,529.0,15.0,1971,clt,,,,,,,,
Team Stats,235,4187,868.0,4.8,34,22,251,203.0,381,2293,15,12,5.6,124.0,462,1894,10,4.1,97.0,58.0,605.0,30.0,1972,clt,,,,,,,,
Team Stats,226,3506,868.0,4.0,38,13,218,137.0,300,1475,14,25,4.4,79.0,536,2031,9,3.8,121.0,57.0,483.0,18.0,1973,clt,,,,,,,,
Team Stats,190,3843,924.0,4.2,37,13,244,221.0,425,2025,9,24,4.3,109.0,450,1818,13,4.0,110.0,66.0,587.0,25.0,1974,clt,,,,,,,,
Team Stats,395,4498,928.0,4.8,18,10,266,211.0,354,2281,19,8,5.8,114.0,536,2217,28,4.1,131.0,80.0,760.0,21.0,1975,clt,,,,,,,,
Team Stats,417,5236,956.0,5.5,28,18,301,215.0,361,2933,24,10,7.5,144.0,565,2303,26,4.1,133.0,92.0,786.0,24.0,1976,clt,,,,,,,,
Team Stats,295,4588,987.0,4.6,26,14,269,224.0,395,2465,17,12,5.9,136.0,566,2123,17,3.8,111.0,77.0,620.0,22.0,1977,clt,,,,,,,,
Team Stats,239,4107,964.0,4.3,47,17,249,202.0,383,2063,17,30,4.8,124.0,532,2044,9,3.8,95.0,90.0,771.0,30.0,1978,clt,,,,,,,,
Team Stats,271,4846,1117.0,4.3,40,21,291,313.0,550,3172,18,19,5.3,158.0,515,1674,12,3.3,97.0,137.0,1239.0,36.0,1979,clt,,,,,,,,
Team Stats,355,5206,1056.0,4.9,37,13,327,272.0,493,3128,25,24,5.9,174.0,527,2078,20,3.9,128.0,104.0,914.0,25.0,1980,clt,,,,,,,,
