Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,288,4167,769.0,5.4,47,22,229,126.0,285,1811,20,25,6.4,89.0,484,2356,13,4.9,127.0,46.0,456.0,13.0,1960,crd,,,,,,,,
Team Stats,279,3378,737.0,4.6,41,18,202,168.0,351,1973,21,23,5.6,110.0,386,1405,8,3.6,83.0,57.0,535.0,9.0,1961,crd,,,,,,,,
Team Stats,287,4798,850.0,5.6,51,21,268,220.0,434,3100,18,30,7.1,138.0,416,1698,20,4.1,109.0,56.0,655.0,21.0,1962,crd,,,,,,,,
Team Stats,341,4870,901.0,5.4,39,18,254,228.0,438,3031,30,21,6.3,134.0,423,1839,10,4.3,105.0,69.0,692.0,15.0,1963,crd,,,,,,,,
Team Stats,357,4517,915.0,4.9,40,16,275,223.0,422,2747,21,24,6.0,152.0,456,1770,12,3.9,95.0,64.0,579.0,28.0,1964,crd,,,,,,,,
Team Stats,296,4562,909.0,5.0,32,7,251,221.0,448,2943,20,25,6.2,143.0,431,1619,10,3.8,90.0,45.0,458.0,18.0,1965,crd,,,,,,,,
Team Stats,264,3541,882.0,4.0,37,18,212,180.0,386,1940,13,19,4.6,108.0,458,1601,10,3.5,88.0,67.0,586.0,16.0,1966,crd,,,,,,,,
Team Stats,333,4780,927.0,5.2,46,11,248,204.0,431,2941,20,35,6.5,131.0,472,1839,15,3.9,97.0,65.0,720.0,20.0,1967,crd,,,,,,,,
Team Stats,325,4183,871.0,4.8,31,11,245,169.0,385,2187,16,20,5.4,107.0,463,1996,22,4.3,117.0,66.0,708.0,21.0,1968,crd,,,,,,,,
Team Stats,314,4185,833.0,5.0,35,10,224,216.0,430,2739,19,25,6.1,125.0,382,1446,17,3.8,83.0,72.0,765.0,16.0,1969,crd,,,,,,,,
Team Stats,325,4471,845.0,5.3,33,14,226,178.0,390,2473,16,19,5.9,104.0,429,1998,18,4.7,110.0,84.0,896.0,12.0,1970,crd,,,,,,,,
Team Stats,231,4001,821.0,4.9,46,20,212,170.0,385,2471,14,26,6.1,109.0,417,1530,8,3.7,86.0,66.0,643.0,17.0,1971,crd,,,,,,,,
