Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,177,3153,666.0,4.7,50,17,180,163.0,354,2104,17,33,5.9,105.0,312,1049,6,3.4,57.0,62.0,600.0,18.0,1960,dal,,,,,,,,
Team Stats,236,4480,838.0,5.3,48,21,239,215.0,422,2661,23,27,6.3,130.0,416,1819,6,4.4,100.0,47.0,427.0,9.0,1961,dal,,,,,,,,
Team Stats,398,4912,814.0,6.0,36,19,246,200.0,380,2872,31,17,7.6,136.0,434,2040,16,4.7,101.0,62.0,639.0,9.0,1962,dal,,,,,,,,
Team Stats,305,4263,838.0,5.1,36,15,248,200.0,375,2468,20,21,5.9,132.0,420,1795,18,4.3,105.0,67.0,627.0,11.0,1963,dal,,,,,,,,
Team Stats,250,3704,893.0,4.1,43,19,230,192.0,404,2013,10,24,4.3,119.0,421,1691,15,4.0,89.0,97.0,952.0,22.0,1964,dal,,,,,,,,
Team Stats,325,3995,833.0,4.8,35,17,211,168.0,362,2387,25,18,5.7,108.0,416,1608,8,3.9,87.0,68.0,710.0,16.0,1965,dal,,,,,,,,
Team Stats,445,5145,926.0,5.6,24,10,287,214.0,413,3023,27,14,6.6,139.0,471,2122,24,4.5,124.0,83.0,824.0,24.0,1966,dal,,,,,,,,
Team Stats,342,4699,936.0,5.0,42,14,261,210.0,417,2799,28,28,6.1,141.0,477,1900,13,4.0,109.0,81.0,785.0,11.0,1967,dal,,,,,,,,
Team Stats,431,5117,913.0,5.6,33,15,297,217.0,399,3026,25,18,7.0,143.0,480,2091,22,4.4,135.0,77.0,751.0,19.0,1968,dal,,,,,,,,
Team Stats,369,5122,931.0,5.5,30,12,275,189.0,355,2846,24,18,7.1,125.0,532,2276,17,4.3,133.0,81.0,840.0,17.0,1969,dal,,,,,,,,
Team Stats,299,4449,858.0,5.2,28,12,229,149.0,297,2149,18,16,6.4,95.0,522,2300,16,4.4,119.0,87.0,934.0,15.0,1970,dal,,,,,,,,
Team Stats,406,5035,905.0,5.6,35,21,288,206.0,361,2786,22,14,7.1,144.0,512,2249,25,4.4,135.0,94.0,952.0,9.0,1971,dal,,,,,,,,
Team Stats,319,4466,897.0,5.0,38,15,256,196.0,367,2342,16,23,5.9,126.0,499,2124,17,4.3,118.0,90.0,841.0,12.0,1972,dal,,,,,,,,
Team Stats,382,4751,906.0,5.2,28,12,281,192.0,321,2333,26,16,6.4,127.0,542,2418,17,4.5,139.0,83.0,762.0,15.0,1973,dal,,,,,,,,
Team Stats,297,4983,974.0,5.1,31,16,295,206.0,385,2529,14,15,5.9,129.0,542,2454,22,4.5,147.0,86.0,703.0,19.0,1974,dal,,,,,,,,
Team Stats,350,5025,986.0,5.1,35,18,288,207.0,376,2593,19,17,6.2,142.0,571,2432,17,4.3,132.0,94.0,715.0,14.0,1975,dal,,,,,,,,
Team Stats,296,4884,958.0,5.1,29,16,269,222.0,390,2737,17,13,6.5,140.0,538,2147,16,4.0,111.0,94.0,761.0,18.0,1976,dal,,,,,,,,
Team Stats,345,4812,969.0,5.0,24,14,272,215.0,372,2443,18,10,6.0,136.0,564,2369,21,4.2,118.0,106.0,865.0,18.0,1977,dal,,,,,,,,
Team Stats,384,5959,1107.0,5.4,35,18,342,251.0,449,3176,25,17,6.6,167.0,625,2783,22,4.5,146.0,96.0,816.0,29.0,1978,dal,,,,,,,,
Team Stats,371,5968,1122.0,5.3,34,21,339,287.0,503,3593,29,13,6.6,195.0,578,2375,15,4.1,122.0,100.0,845.0,22.0,1979,dal,,,,,,,,
Team Stats,454,5482,1075.0,5.1,39,14,337,265.0,449,3104,30,25,6.5,171.0,595,2378,26,4.0,143.0,109.0,908.0,23.0,1980,dal,,,,,,,,
Team Stats,367,5880,1100.0,5.3,35,20,321,241.0,439,3169,24,15,6.7,158.0,630,2711,15,4.3,137.0,103.0,839.0,26.0,1981,dal,,,,,,,,
Team Stats,226,3199,579.0,5.5,26,12,180,160.0,258,1886,16,14,6.7,99.0,296,1313,10,4.4,70.0,42.0,304.0,11.0,1982,dal,,,,,,,,
Team Stats,479,5959,1110.0,5.4,39,14,342,346.0,554,3842,31,25,6.5,205.0,519,2117,21,4.1,109.0,99.0,847.0,28.0,1983,dal,,,,,,,,
Team Stats,308,5320,1121.0,4.7,43,17,323,322.0,604,3606,19,26,5.5,202.0,469,1714,12,3.7,93.0,100.0,947.0,28.0,1984,dal,,,,,,,,
Team Stats,357,5602,1093.0,5.1,41,16,336,344.0,587,3861,27,25,6.1,208.0,462,1741,11,3.8,95.0,100.0,759.0,33.0,1985,dal,,,,,,,,
Team Stats,346,5474,1054.0,5.2,41,17,325,319.0,547,3505,21,24,5.8,199.0,447,1969,21,4.4,98.0,112.0,936.0,28.0,1986,dal,,,,,,,,
Team Stats,340,5056,1017.0,5.0,40,20,293,288.0,500,3191,19,20,5.8,176.0,465,1865,17,4.0,93.0,131.0,1091.0,24.0,1987,dal,,,,,,,,
Team Stats,265,5483,1059.0,5.2,40,13,311,307.0,555,3488,21,27,5.9,175.0,469,1995,10,4.3,112.0,141.0,1148.0,24.0,1988,dal,,,,,,,,
Team Stats,204,4294,898.0,4.8,42,15,246,266.0,513,2885,14,27,5.3,145.0,355,1409,7,4.0,78.0,100.0,771.0,23.0,1989,dal,,,,,,,,
Team Stats,244,4081,911.0,4.5,33,9,250,254.0,475,2581,12,24,5.0,135.0,393,1500,13,3.8,88.0,98.0,729.0,27.0,1990,dal,,,,,,,,
Team Stats,342,5101,971.0,5.3,24,12,304,305.0,500,3390,16,12,6.3,191.0,433,1711,15,4.0,89.0,74.0,610.0,24.0,1991,dal,,,,,,,,
Team Stats,409,5606,1014.0,5.5,24,9,324,314.0,491,3485,23,15,6.8,183.0,500,2121,20,4.2,119.0,91.0,650.0,22.0,1992,dal,,,,,,,,
Team Stats,376,5615,994.0,5.6,22,16,322,317.0,475,3454,18,6,6.9,172.0,490,2161,20,4.4,120.0,94.0,744.0,30.0,1993,dal,,,,,,,,
Team Stats,414,5321,1018.0,5.2,24,10,322,282.0,448,3368,19,14,7.2,160.0,550,1953,26,3.6,136.0,100.0,895.0,26.0,1994,dal,,,,,,,,
Team Stats,435,5824,1007.0,5.8,23,13,364,322.0,494,3623,18,10,7.1,195.0,495,2201,29,4.4,141.0,90.0,695.0,28.0,1995,dal,,,,,,,,
