Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,309,4442,948.0,4.7,52,17,248,259.0,508,2975,24,35,5.5,141.0,408,1467,10,3.6,84.0,54.0,501.0,23.0,1960,den,,,,,,,,
Team Stats,251,3811,934.0,4.1,68,23,219,265.0,568,2720,18,45,4.5,127.0,333,1091,11,3.3,66.0,60.0,560.0,26.0,1961,den,,,,,,,,
Team Stats,353,4702,911.0,5.2,54,14,270,292.0,559,3404,21,40,5.8,177.0,322,1298,12,4.0,72.0,64.0,613.0,21.0,1962,den,,,,,,,,
Team Stats,301,3983,897.0,4.4,44,16,230,217.0,453,2487,23,28,4.8,133.0,381,1496,10,3.9,84.0,65.0,648.0,13.0,1963,den,,,,,,,,
Team Stats,240,3332,908.0,3.7,40,8,207,230.0,456,2021,14,32,3.9,116.0,391,1311,10,3.4,78.0,76.0,774.0,13.0,1964,den,,,,,,,,
Team Stats,303,4469,959.0,4.7,46,16,255,222.0,482,2640,18,30,5.2,117.0,453,1829,14,4.0,111.0,69.0,750.0,27.0,1965,den,,,,,,,,
Team Stats,196,3168,815.0,3.9,47,17,171,166.0,402,1995,12,30,4.5,95.0,376,1173,6,3.1,61.0,66.0,771.0,15.0,1966,den,,,,,,,,
Team Stats,256,2947,852.0,3.5,30,12,172,150.0,374,1682,17,18,3.9,91.0,420,1265,10,3.0,65.0,48.0,512.0,16.0,1967,den,,,,,,,,
Team Stats,255,3971,889.0,4.5,40,13,217,179.0,427,2357,20,27,4.9,124.0,411,1614,11,3.9,75.0,73.0,772.0,18.0,1968,den,,,,,,,,
Team Stats,297,4161,841.0,4.9,31,8,243,192.0,403,2524,23,23,5.6,130.0,394,1637,12,4.2,87.0,80.0,753.0,26.0,1969,den,,,,,,,,
Team Stats,253,3827,883.0,4.3,41,13,217,183.0,403,2025,11,28,4.5,112.0,436,1802,17,4.1,84.0,94.0,887.0,21.0,1970,den,,,,,,,,
Team Stats,203,4158,892.0,4.7,39,12,217,175.0,358,2065,8,27,5.4,105.0,512,2093,9,4.1,102.0,67.0,781.0,10.0,1971,den,,,,,,,,
Team Stats,325,4472,831.0,5.4,34,11,237,201.0,384,2634,19,23,6.2,132.0,409,1838,17,4.5,87.0,89.0,827.0,18.0,1972,den,,,,,,,,
Team Stats,354,4473,892.0,5.0,29,9,253,196.0,378,2519,22,20,6.2,127.0,487,1954,16,4.0,111.0,83.0,745.0,15.0,1973,den,,,,,,,,
Team Stats,302,4485,861.0,5.2,30,13,258,184.0,329,2328,18,17,6.2,118.0,486,2157,20,4.4,120.0,76.0,632.0,20.0,1974,den,,,,,,,,
Team Stats,254,4534,964.0,4.7,48,14,268,210.0,427,2541,15,34,5.4,137.0,490,1993,9,4.1,109.0,92.0,790.0,22.0,1975,den,,,,,,,,
Team Stats,315,4136,901.0,4.6,34,12,239,168.0,353,2204,15,22,5.5,114.0,500,1932,14,3.9,106.0,105.0,986.0,19.0,1976,den,,,,,,,,
Team Stats,274,3906,886.0,4.4,27,15,223,163.0,313,1863,15,12,5.1,107.0,523,2043,16,3.9,101.0,91.0,883.0,15.0,1977,den,,,,,,,,
Team Stats,282,4829,1040.0,4.6,34,17,294,217.0,391,2378,17,17,5.4,137.0,601,2451,15,4.1,129.0,132.0,1092.0,28.0,1978,den,,,,,,,,
Team Stats,289,5142,1044.0,4.9,40,17,306,260.0,476,3106,18,23,6.0,149.0,525,2036,13,3.9,130.0,116.0,996.0,27.0,1979,den,,,,,,,,
Team Stats,310,4642,991.0,4.7,37,12,286,262.0,467,2777,14,25,5.4,158.0,480,1865,16,3.9,107.0,93.0,899.0,21.0,1980,den,,,,,,,,
Team Stats,321,5426,1061.0,5.1,39,18,306,289.0,485,3531,27,21,6.5,181.0,515,1895,12,3.7,91.0,99.0,833.0,34.0,1981,den,,,,,,,,
Team Stats,148,2837,592.0,4.8,36,17,170,181.0,311,1819,8,19,5.4,103.0,257,1018,6,4.0,52.0,54.0,516.0,15.0,1982,den,,,,,,,,
Team Stats,302,4811,1025.0,4.7,41,19,292,254.0,499,3027,17,22,5.5,155.0,471,1784,15,3.8,99.0,100.0,804.0,38.0,1983,den,,,,,,,,
Team Stats,353,4935,1018.0,4.8,34,17,299,263.0,475,2859,22,17,5.6,152.0,508,2076,12,4.1,121.0,78.0,636.0,26.0,1984,den,,,,,,,,
Team Stats,380,5496,1152.0,4.8,31,8,339,329.0,617,3645,23,23,5.6,192.0,497,1851,20,3.7,113.0,85.0,677.0,34.0,1985,den,,,,,,,,
Team Stats,378,5216,1042.0,5.0,29,13,319,306.0,549,3538,22,16,6.0,184.0,455,1678,17,3.7,94.0,104.0,910.0,41.0,1986,den,,,,,,,,
