Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,239,3392,725.0,4.7,30,9,192,166.0,333,1678,6,21,5.0,88.0,392,1714,19,4.4,89.0,68.0,726.0,15.0,1960,det,,,,,,,,
Team Stats,270,4412,837.0,5.3,42,15,233,186.0,398,2544,14,27,6.4,122.0,439,1868,16,4.3,96.0,69.0,678.0,15.0,1961,det,,,,,,,,
Team Stats,315,4503,868.0,5.2,42,18,243,211.0,379,2581,19,24,6.8,124.0,489,1922,14,3.9,103.0,62.0,624.0,16.0,1962,det,,,,,,,,
Team Stats,326,4324,854.0,5.1,40,14,230,202.0,406,2723,26,26,6.2,124.0,415,1601,11,3.9,91.0,60.0,531.0,15.0,1963,det,,,,,,,,
Team Stats,280,3972,835.0,4.8,34,13,221,206.0,386,2558,23,21,6.0,115.0,412,1414,7,3.4,87.0,75.0,674.0,19.0,1964,det,,,,,,,,
Team Stats,257,3303,853.0,3.9,41,15,204,170.0,374,1834,14,26,4.6,93.0,453,1469,16,3.2,93.0,77.0,767.0,18.0,1965,det,,,,,,,,
Team Stats,206,3853,885.0,4.4,49,21,216,239.0,456,2424,8,28,4.9,126.0,394,1429,13,3.6,73.0,82.0,931.0,17.0,1966,det,,,,,,,,
Team Stats,260,3538,848.0,4.2,40,21,215,160.0,351,1631,14,19,4.3,92.0,473,1907,14,4.0,104.0,65.0,712.0,19.0,1967,det,,,,,,,,
Team Stats,207,4022,855.0,4.7,32,17,221,204.0,377,2320,17,15,5.5,119.0,433,1702,6,3.9,87.0,70.0,810.0,15.0,1968,det,,,,,,,,
Team Stats,259,3355,845.0,4.0,30,12,198,165.0,329,1600,12,18,4.3,93.0,474,1755,11,3.7,83.0,71.0,734.0,22.0,1969,det,,,,,,,,
Team Stats,347,3984,844.0,4.7,27,15,243,167.0,294,1857,19,12,5.6,107.0,514,2127,16,4.1,113.0,58.0,659.0,23.0,1970,det,,,,,,,,
Team Stats,341,4577,862.0,5.3,33,19,269,157.0,299,2201,17,14,6.7,104.0,532,2376,15,4.5,131.0,69.0,738.0,34.0,1971,det,,,,,,,,
Team Stats,339,4155,804.0,5.2,25,7,240,155.0,305,2134,19,18,6.4,97.0,473,2021,20,4.3,120.0,48.0,417.0,23.0,1972,det,,,,,,,,
Team Stats,271,4046,850.0,4.8,33,14,237,171.0,327,1913,12,19,5.4,104.0,496,2133,17,4.3,122.0,64.0,584.0,11.0,1973,det,,,,,,,,
Team Stats,256,3653,809.0,4.5,25,14,211,216.0,377,2220,11,11,5.4,114.0,397,1433,13,3.6,88.0,86.0,719.0,9.0,1974,det,,,,,,,,
Team Stats,245,4064,935.0,4.3,30,18,241,183.0,362,1917,15,12,4.8,111.0,532,2147,10,4.0,111.0,95.0,838.0,19.0,1975,det,,,,,,,,
Team Stats,262,4353,939.0,4.6,33,21,259,201.0,356,2140,20,12,5.1,120.0,516,2213,9,4.3,123.0,97.0,819.0,16.0,1976,det,,,,,,,,
Team Stats,183,3224,917.0,3.5,30,14,218,191.0,384,1518,7,16,3.5,103.0,479,1706,11,3.6,94.0,86.0,692.0,21.0,1977,det,,,,,,,,
Team Stats,290,4465,1001.0,4.5,33,15,269,247.0,429,2302,19,18,4.8,141.0,525,2163,12,4.1,105.0,125.0,1003.0,23.0,1978,det,,,,,,,,
Team Stats,219,4013,944.0,4.3,46,19,227,218.0,452,2336,14,27,4.6,131.0,441,1677,11,3.8,85.0,110.0,897.0,11.0,1979,det,,,,,,,,
Team Stats,334,5540,1040.0,5.3,31,19,308,248.0,423,2941,13,12,6.3,143.0,572,2599,21,4.5,143.0,104.0,844.0,22.0,1980,det,,,,,,,,
Team Stats,397,5933,1076.0,5.5,43,20,340,228.0,436,3138,18,23,6.5,150.0,596,2795,26,4.7,167.0,111.0,990.0,23.0,1981,det,,,,,,,,
Team Stats,181,2534,598.0,4.2,26,8,160,136.0,285,1512,12,18,4.8,83.0,283,1022,5,3.6,60.0,58.0,548.0,17.0,1982,det,,,,,,,,
Team Stats,347,5136,1061.0,4.8,39,16,315,263.0,503,2955,19,23,5.4,156.0,513,2181,18,4.3,136.0,118.0,988.0,23.0,1983,det,,,,,,,,
Team Stats,283,5318,1038.0,5.1,36,14,306,298.0,531,3301,19,22,5.6,170.0,446,2017,13,4.5,118.0,138.0,1165.0,18.0,1984,det,,,,,,,,
Team Stats,307,4476,967.0,4.6,41,20,259,254.0,462,2938,19,21,5.7,150.0,452,1538,13,3.4,89.0,104.0,741.0,20.0,1985,det,,,,,,,,
Team Stats,277,4555,1009.0,4.5,37,17,287,286.0,500,2784,18,20,5.2,156.0,470,1771,13,3.8,100.0,84.0,658.0,31.0,1986,det,,,,,,,,
Team Stats,269,4391,933.0,4.7,37,11,270,275.0,509,2956,16,26,5.5,156.0,398,1435,9,3.6,81.0,86.0,737.0,33.0,1987,det,,,,,,,,
Team Stats,220,3405,920.0,3.7,33,15,226,213.0,477,2162,13,18,4.1,141.0,391,1243,7,3.2,63.0,94.0,804.0,22.0,1988,det,,,,,,,,
Team Stats,312,4992,928.0,5.4,48,24,274,229.0,450,2939,11,24,5.8,139.0,421,2053,23,4.9,117.0,121.0,977.0,18.0,1989,det,,,,,,,,
Team Stats,373,4977,870.0,5.7,36,16,278,242.0,460,3050,24,20,6.1,152.0,366,1927,19,5.3,112.0,88.0,711.0,14.0,1990,det,,,,,,,,
Team Stats,339,4788,938.0,5.1,30,13,280,252.0,459,2858,16,17,5.9,148.0,454,1930,19,4.3,116.0,93.0,799.0,16.0,1991,det,,,,,,,,
Team Stats,273,4440,843.0,5.3,36,15,241,231.0,406,2796,16,21,6.0,133.0,378,1644,9,4.3,83.0,122.0,903.0,25.0,1992,det,,,,,,,,
Team Stats,298,4658,937.0,5.0,32,13,248,264.0,435,2714,15,19,5.6,139.0,456,1944,9,4.3,101.0,93.0,665.0,8.0,1993,det,,,,,,,,
Team Stats,357,5002,891.0,5.6,24,10,280,250.0,459,2922,24,14,6.0,164.0,406,2080,12,5.1,94.0,109.0,781.0,22.0,1994,det,,,,,,,,
Team Stats,436,6113,1024.0,6.0,25,13,349,362.0,605,4360,33,12,6.8,230.0,387,1753,16,4.5,91.0,134.0,1032.0,28.0,1995,det,,,,,,,,
Team Stats,302,5013,976.0,5.1,26,5,317,309.0,541,3203,20,21,5.5,180.0,389,1810,15,4.7,105.0,108.0,863.0,32.0,1996,det,,,,,,,,
Team Stats,379,5798,1028.0,5.6,28,11,304,304.0,540,3334,19,17,5.7,166.0,447,2464,19,5.5,120.0,94.0,866.0,18.0,1997,det,,,,,,,,
Team Stats,306,5085,975.0,5.2,25,12,278,274.0,489,3130,17,13,5.9,160.0,441,1955,12,4.4,94.0,121.0,1019.0,24.0,1998,det,,,,,,,,
Team Stats,322,4931,978.0,5.0,22,8,269,326.0,558,3686,22,14,5.9,179.0,356,1245,8,3.5,67.0,110.0,995.0,23.0,1999,det,192.0,29.2,10.4,Own 30.8,2:25,5.26,25.7,1.5
