Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,332,4025,742.0,5.4,25,12,237,137.0,279,1875,9,13,6.7,86.0,463,2150,29,4.6,135.0,64.0,578.0,16.0,1960,gnb,,,,,,,,
Team Stats,391,4714,780.0,6.0,26,10,274,177.0,306,2364,18,16,7.7,115.0,474,2350,27,5.0,142.0,66.0,647.0,17.0,1961,gnb,,,,,,,,
Team Stats,415,4791,829.0,5.8,28,15,281,187.0,311,2331,14,13,7.5,120.0,518,2460,36,4.7,145.0,59.0,617.0,16.0,1962,gnb,,,,,,,,
Team Stats,369,4781,869.0,5.5,41,20,258,179.0,345,2533,22,21,6.9,126.0,504,2248,22,4.5,114.0,53.0,517.0,18.0,1963,gnb,,,,,,,,
Team Stats,342,4381,863.0,5.1,23,17,250,186.0,321,2105,16,6,5.7,106.0,495,2276,23,4.6,133.0,50.0,576.0,11.0,1964,gnb,,,,,,,,
Team Stats,316,3601,781.0,4.6,26,12,201,166.0,306,2113,19,14,6.1,103.0,432,1488,14,3.4,85.0,48.0,529.0,13.0,1965,gnb,,,,,,,,
Team Stats,335,4275,824.0,5.2,24,19,231,193.0,318,2602,18,5,7.5,115.0,475,1673,18,3.5,98.0,57.0,544.0,18.0,1966,gnb,,,,,,,,
Team Stats,332,4279,846.0,5.1,37,10,243,182.0,331,2364,15,27,6.4,112.0,474,1915,18,4.0,115.0,48.0,531.0,16.0,1967,gnb,,,,,,,,
Team Stats,281,4024,809.0,5.0,33,18,240,188.0,318,2275,21,15,6.3,130.0,450,1749,12,3.9,96.0,64.0,653.0,14.0,1968,gnb,,,,,,,,
Team Stats,269,4068,785.0,5.2,38,21,242,182.0,319,2376,20,17,6.7,122.0,432,1692,11,3.9,95.0,63.0,602.0,25.0,1969,gnb,,,,,,,,
Team Stats,196,3409,847.0,4.0,41,17,194,177.0,351,1814,11,24,4.6,110.0,453,1595,8,3.5,69.0,76.0,691.0,15.0,1970,gnb,,,,,,,,
Team Stats,274,3914,772.0,5.1,44,20,208,121.0,254,1685,12,24,6.2,87.0,500,2229,18,4.5,115.0,61.0,568.0,6.0,1971,gnb,,,,,,,,
Team Stats,304,3539,798.0,4.4,19,10,195,101.0,237,1412,7,9,5.6,72.0,544,2127,17,3.9,109.0,63.0,610.0,14.0,1972,gnb,,,,,,,,
Team Stats,202,3256,809.0,4.0,29,12,187,119.0,255,1283,7,17,4.5,72.0,527,1973,10,3.7,98.0,68.0,653.0,17.0,1973,gnb,,,,,,,,
Team Stats,210,3607,884.0,4.1,37,16,214,187.0,385,2036,5,21,5.1,108.0,482,1571,10,3.3,87.0,55.0,536.0,19.0,1974,gnb,,,,,,,,
Team Stats,226,3619,867.0,4.2,38,16,211,212.0,394,2072,11,22,4.8,112.0,431,1547,14,3.6,84.0,72.0,606.0,15.0,1975,gnb,,,,,,,,
Team Stats,218,3452,883.0,3.9,45,23,210,164.0,357,1730,10,22,4.3,94.0,485,1722,15,3.6,99.0,87.0,791.0,17.0,1976,gnb,,,,,,,,
Team Stats,134,3212,828.0,3.9,30,9,195,164.0,327,1748,6,21,4.9,91.0,469,1464,5,3.1,81.0,82.0,690.0,23.0,1977,gnb,,,,,,,,
Team Stats,249,4107,944.0,4.4,42,24,226,180.0,357,2084,11,18,5.3,101.0,550,2023,16,3.7,105.0,99.0,776.0,20.0,1978,gnb,,,,,,,,
Team Stats,246,4542,974.0,4.7,44,22,279,240.0,444,2681,15,22,5.5,133.0,483,1861,14,3.9,121.0,93.0,681.0,25.0,1979,gnb,,,,,,,,
Team Stats,231,5097,1047.0,4.9,41,12,307,289.0,511,3291,15,29,5.9,164.0,493,1806,13,3.7,119.0,84.0,697.0,24.0,1980,gnb,,,,,,,,
Team Stats,324,4859,1044.0,4.7,41,17,308,286.0,514,3189,24,24,5.6,174.0,478,1670,11,3.5,104.0,84.0,687.0,30.0,1981,gnb,,,,,,,,
Team Stats,226,2910,582.0,5.0,26,11,175,143.0,267,1829,12,15,6.1,97.0,283,1081,12,3.8,59.0,42.0,343.0,19.0,1982,gnb,,,,,,,,
Team Stats,429,6172,1007.0,6.1,50,18,340,311.0,526,4365,33,32,7.7,214.0,439,1807,15,4.1,99.0,80.0,648.0,27.0,1983,gnb,,,,,,,,
Team Stats,390,5449,1009.0,5.4,37,7,315,281.0,506,3430,30,30,6.3,168.0,461,2019,18,4.4,120.0,110.0,915.0,27.0,1984,gnb,,,,,,,,
Team Stats,337,5371,1033.0,5.2,45,18,318,267.0,513,3163,21,27,5.6,172.0,470,2208,16,4.7,114.0,101.0,798.0,32.0,1985,gnb,,,,,,,,
Team Stats,254,5061,1026.0,4.9,45,18,286,305.0,565,3447,18,27,5.7,172.0,424,1614,8,3.8,96.0,128.0,949.0,18.0,1986,gnb,,,,,,,,
Team Stats,255,4482,964.0,4.6,35,18,248,234.0,455,2681,15,17,5.4,133.0,464,1801,13,3.9,97.0,135.0,1103.0,18.0,1987,gnb,,,,,,,,
Team Stats,240,4664,1018.0,4.6,50,26,280,319.0,582,3285,13,24,5.2,175.0,385,1379,14,3.6,78.0,94.0,785.0,27.0,1988,gnb,,,,,,,,
Team Stats,362,5780,1045.0,5.5,33,13,342,354.0,600,4048,27,20,6.2,207.0,397,1732,13,4.4,114.0,81.0,666.0,21.0,1989,gnb,,,,,,,,
Team Stats,271,4675,953.0,4.9,43,22,276,302.0,541,3306,20,21,5.5,183.0,350,1369,5,3.9,72.0,84.0,669.0,21.0,1990,gnb,,,,,,,,
Team Stats,273,4332,940.0,4.6,36,17,259,272.0,514,2943,17,19,5.3,150.0,381,1389,12,3.6,88.0,98.0,834.0,21.0,1991,gnb,,,,,,,,
Team Stats,276,4785,990.0,4.8,36,21,291,340.0,527,3230,20,15,5.7,171.0,420,1555,7,3.7,101.0,88.0,749.0,19.0,1992,gnb,,,,,,,,
Team Stats,340,4750,1006.0,4.7,34,10,282,322.0,528,3131,19,24,5.6,166.0,448,1619,14,3.6,98.0,85.0,734.0,18.0,1993,gnb,,,,,,,,
Team Stats,382,5316,1059.0,5.0,22,8,314,375.0,609,3773,33,14,5.9,205.0,417,1543,11,3.7,88.0,85.0,760.0,21.0,1994,gnb,,,,,,,,
