Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,275,4495,962.0,4.7,28,13,283,275.0,495,2790,19,15,5.1,154.0,410,1705,9,4.2,100.0,121.0,970.0,29.0,1995,jax,,,,,,,,
Team Stats,325,5760,1038.0,5.5,30,10,325,353.0,557,4110,19,20,6.8,208.0,431,1650,13,3.8,90.0,127.0,1006.0,27.0,1996,jax,,,,,,,,
Team Stats,394,5424,998.0,5.4,20,11,308,313.0,504,3704,20,9,6.8,187.0,454,1720,20,3.8,103.0,110.0,914.0,18.0,1997,jax,,,,,,,,
Team Stats,392,5214,989.0,5.3,20,8,287,269.0,463,3112,24,12,6.2,153.0,487,2102,19,4.3,111.0,121.0,898.0,23.0,1998,jax,,,,,,,,
Team Stats,396,5586,1085.0,5.1,18,7,331,320.0,535,3495,16,11,6.1,194.0,514,2091,20,4.1,116.0,90.0,755.0,21.0,1999,jax,188.0,35.6,9.0,Own 34.0,2:43,5.97,29.6,1.84
Team Stats,367,5690,1080.0,5.3,29,14,318,333.0,545,3658,22,15,6.1,193.0,481,2032,18,4.2,109.0,95.0,703.0,16.0,2000,jax,198.0,34.8,13.6,Own 34.1,2:33,5.62,28.7,1.85
Team Stats,294,4840,969.0,5.0,27,13,289,321.0,534,3240,20,14,5.4,181.0,372,1600,11,4.3,85.0,97.0,710.0,23.0,2001,jax,192.0,25.5,13.0,Own 31.1,2:20,5.19,25.0,1.41
Team Stats,328,4851,959.0,5.1,15,6,275,268.0,462,2762,18,9,5.5,156.0,455,2089,19,4.6,105.0,89.0,685.0,14.0,2002,jax,178.0,31.5,7.9,Own 32.9,2:34,5.54,27.3,1.78
Team Stats,276,5358,1024.0,5.2,31,14,305,303.0,515,3285,17,17,6.0,163.0,481,2073,13,4.3,118.0,108.0,895.0,24.0,2003,jax,183.0,27.3,15.8,Own 29.5,2:38,5.78,29.2,1.48
Team Stats,261,5009,991.0,5.1,22,11,279,305.0,513,3159,17,11,5.8,161.0,446,1850,9,4.1,88.0,109.0,940.0,30.0,2004,jax,178.0,28.1,11.8,Own 28.7,2:45,5.75,27.9,1.43
Team Stats,361,5149,1021.0,5.0,17,11,301,283.0,487,3190,21,6,6.1,170.0,502,1959,18,3.9,97.0,121.0,1006.0,34.0,2005,jax,193.0,32.1,8.3,Own 34.3,2:38,5.45,26.7,1.77
