Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,362,4645,918.0,5.1,37,18,272,209.0,435,2638,16,19,5.8,136.0,463,2007,24,4.3,119.0,80.0,753.0,17.0,1960,kan,,,,,,,,
Team Stats,334,4759,862.0,5.5,45,18,247,177.0,399,2576,18,27,6.1,122.0,439,2183,23,5.0,112.0,89.0,875.0,13.0,1961,kan,,,,,,,,
Team Stats,389,4862,842.0,5.8,31,14,259,195.0,322,2455,29,17,6.8,125.0,479,2407,21,5.0,119.0,66.0,644.0,15.0,1962,kan,,,,,,,,
Team Stats,347,4348,875.0,5.0,38,16,250,231.0,439,2651,30,22,5.6,141.0,400,1697,12,4.2,94.0,52.0,611.0,15.0,1963,kan,,,,,,,,
Team Stats,366,4700,871.0,5.4,41,20,250,228.0,412,2875,32,21,6.3,148.0,415,1825,14,4.4,90.0,56.0,604.0,12.0,1964,kan,,,,,,,,
Team Stats,322,4295,850.0,5.1,40,20,232,199.0,395,2543,22,20,5.9,121.0,418,1752,15,4.2,101.0,70.0,744.0,10.0,1965,kan,,,,,,,,
Team Stats,448,5114,846.0,6.0,31,16,266,199.0,377,2840,31,15,7.0,140.0,439,2274,19,5.2,106.0,61.0,680.0,20.0,1966,kan,,,,,,,,
Team Stats,408,4490,876.0,5.1,27,8,251,213.0,382,2472,26,19,6.0,117.0,462,2018,18,4.4,116.0,68.0,680.0,18.0,1967,kan,,,,,,,,
Team Stats,371,4503,831.0,5.4,27,16,223,156.0,270,2276,20,11,7.7,89.0,537,2227,16,4.1,123.0,66.0,650.0,11.0,1968,kan,,,,,,,,
Team Stats,359,4607,899.0,5.1,39,19,258,196.0,351,2387,16,20,6.3,125.0,522,2220,19,4.3,129.0,62.0,757.0,4.0,1969,kan,,,,,,,,
