Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,213,3458,884.0,3.9,42,10,200,179.0,454,2048,16,32,4.2,103.0,394,1410,5,3.6,75.0,73.0,660.0,22.0,1966,mia,,,,,,,,
Team Stats,219,3659,847.0,4.3,44,16,212,229.0,480,2336,16,28,4.5,123.0,326,1323,10,4.1,65.0,53.0,490.0,24.0,1967,mia,,,,,,,,
Team Stats,276,4106,892.0,4.6,30,8,247,216.0,423,2402,21,22,5.1,144.0,417,1704,12,4.1,78.0,48.0,485.0,25.0,1968,mia,,,,,,,,
Team Stats,233,3590,878.0,4.1,42,13,224,201.0,424,2077,12,29,4.4,131.0,401,1513,12,3.8,73.0,53.0,631.0,20.0,1969,mia,,,,,,,,
Team Stats,297,4039,827.0,4.9,30,11,228,159.0,299,1957,15,19,5.8,100.0,492,2082,14,4.2,106.0,77.0,834.0,22.0,1970,mia,,,,,,,,
Team Stats,315,4412,804.0,5.5,23,13,232,156.0,293,1983,20,10,6.2,94.0,486,2429,11,5.0,121.0,65.0,632.0,17.0,1971,mia,,,,,,,,
Team Stats,385,5036,893.0,5.6,28,16,291,144.0,259,2076,17,12,7.4,102.0,613,2960,26,4.8,170.0,68.0,714.0,19.0,1972,mia,,,,,,,,
Team Stats,343,4103,776.0,5.3,28,16,215,133.0,256,1582,17,12,5.9,91.0,507,2521,16,5.0,111.0,52.0,416.0,13.0,1973,mia,,,,,,,,
Team Stats,327,4275,884.0,4.8,31,13,272,171.0,283,2084,18,18,6.6,118.0,570,2191,25,3.8,134.0,69.0,556.0,20.0,1974,mia,,,,,,,,
Team Stats,357,4509,896.0,5.0,26,9,266,170.0,279,2009,19,17,6.7,108.0,594,2500,26,4.2,136.0,74.0,575.0,22.0,1975,mia,,,,,,,,
Team Stats,263,4386,874.0,5.0,23,8,267,193.0,346,2268,15,15,5.9,125.0,491,2118,15,4.3,122.0,70.0,582.0,20.0,1976,mia,,,,,,,,
Team Stats,313,4327,866.0,5.0,27,13,267,182.0,311,1961,22,14,5.7,107.0,519,2366,18,4.6,143.0,59.0,432.0,17.0,1977,mia,,,,,,,,
Team Stats,372,4835,954.0,5.1,30,12,270,226.0,379,2469,24,18,6.1,135.0,548,2366,18,4.3,119.0,74.0,603.0,16.0,1978,mia,,,,,,,,
Team Stats,341,4950,1006.0,4.9,37,15,297,235.0,416,2763,20,22,6.2,140.0,561,2187,19,3.9,126.0,79.0,651.0,31.0,1979,mia,,,,,,,,
Team Stats,266,4564,1015.0,4.5,42,16,284,267.0,492,2688,21,26,5.1,149.0,492,1876,9,3.8,107.0,74.0,567.0,28.0,1980,mia,,,,,,,,
Team Stats,345,5322,1063.0,5.0,31,10,306,271.0,498,3149,18,21,6.0,157.0,535,2173,18,4.1,123.0,71.0,541.0,26.0,1981,mia,,,,,,,,
Team Stats,198,2658,582.0,4.6,23,10,165,129.0,238,1314,8,13,5.3,66.0,333,1344,11,4.0,84.0,34.0,240.0,15.0,1982,mia,,,,,,,,
Team Stats,389,5195,1033.0,5.0,27,16,314,254.0,442,3045,28,11,6.5,151.0,568,2150,16,3.8,132.0,64.0,567.0,31.0,1983,mia,,,,,,,,
Team Stats,513,6936,1070.0,6.5,28,10,387,367.0,572,5018,49,18,8.6,243.0,484,1918,18,4.0,115.0,67.0,527.0,29.0,1984,mia,,,,,,,,
Team Stats,428,5843,1039.0,5.6,41,20,361,343.0,576,4114,31,21,6.9,218.0,444,1729,19,3.9,116.0,77.0,637.0,27.0,1985,mia,,,,,,,,
Team Stats,430,6324,1011.0,6.3,37,14,351,392.0,645,4779,46,23,7.2,250.0,349,1545,9,4.4,84.0,72.0,609.0,17.0,1986,mia,,,,,,,,
Team Stats,362,5538,1005.0,5.5,37,17,331,338.0,584,3876,29,20,6.5,197.0,408,1662,16,4.1,109.0,76.0,634.0,25.0,1987,mia,,,,,,,,
Team Stats,319,5721,963.0,5.9,35,12,321,363.0,621,4516,29,23,7.2,218.0,335,1205,11,3.6,77.0,99.0,845.0,26.0,1988,mia,,,,,,,,
Team Stats,331,5546,1011.0,5.5,41,16,310,331.0,601,4216,26,25,6.9,201.0,400,1330,10,3.3,88.0,83.0,614.0,21.0,1989,mia,,,,,,,,
Team Stats,336,5047,975.0,5.2,27,15,303,310.0,539,3512,21,12,6.3,190.0,420,1535,13,3.7,90.0,64.0,486.0,23.0,1990,mia,,,,,,,,
Team Stats,343,5241,970.0,5.4,28,14,312,327.0,563,3889,26,14,6.6,205.0,379,1352,8,3.6,91.0,62.0,516.0,16.0,1991,mia,,,,,,,,
Team Stats,340,5500,998.0,5.5,34,17,316,332.0,563,3975,24,17,6.7,194.0,407,1525,9,3.7,101.0,86.0,656.0,21.0,1992,mia,,,,,,,,
Team Stats,349,5812,1030.0,5.6,34,16,309,342.0,581,4353,27,18,7.1,207.0,419,1459,10,3.5,85.0,81.0,663.0,17.0,1993,mia,,,,,,,,
Team Stats,389,6078,1078.0,5.6,32,14,344,392.0,627,4420,31,18,6.9,220.0,433,1658,13,3.8,109.0,92.0,747.0,15.0,1994,mia,,,,,,,,
Team Stats,398,5716,1034.0,5.5,32,12,345,384.0,592,4210,28,20,6.8,225.0,413,1506,16,3.6,98.0,110.0,907.0,22.0,1995,mia,,,,,,,,
Team Stats,339,5165,1000.0,5.2,24,13,294,300.0,504,3543,22,11,6.6,173.0,460,1622,14,3.5,92.0,111.0,852.0,29.0,1996,mia,,,,,,,,
Team Stats,339,5135,1028.0,5.0,20,8,311,332.0,576,3792,16,12,6.3,199.0,430,1343,18,3.1,87.0,93.0,783.0,25.0,1997,mia,,,,,,,,
Team Stats,321,4930,1028.0,4.8,28,12,269,316.0,546,3395,23,16,6.0,176.0,458,1535,10,3.4,73.0,106.0,864.0,20.0,1998,mia,,,,,,,,
Team Stats,326,4938,1071.0,4.6,34,13,287,329.0,589,3485,20,21,5.6,188.0,445,1453,8,3.3,81.0,111.0,936.0,18.0,1999,mia,207.0,32.4,15.5,Own 32.9,2:26,5.4,23.8,1.51
Team Stats,323,4461,945.0,4.7,26,9,251,243.0,421,2567,15,17,5.7,122.0,496,1894,16,3.8,104.0,115.0,920.0,25.0,2000,mia,193.0,30.6,13.0,Own 32.0,2:34,5.06,23.1,1.56
Team Stats,344,4821,953.0,5.1,38,19,263,275.0,453,3157,20,19,6.6,154.0,473,1664,14,3.5,95.0,107.0,914.0,14.0,2001,mia,182.0,29.7,18.1,Own 31.9,2:39,5.36,26.5,1.66
Team Stats,378,5392,1010.0,5.3,30,15,318,271.0,455,2890,18,15,6.0,155.0,530,2502,24,4.7,139.0,103.0,859.0,24.0,2002,mia,191.0,34.6,15.7,Own 32.1,2:38,5.46,28.2,1.92
Team Stats,311,4609,968.0,4.8,34,15,266,257.0,450,2792,17,19,5.8,145.0,487,1817,14,3.7,99.0,103.0,913.0,22.0,2003,mia,192.0,28.1,17.2,Own 32.1,2:31,5.19,23.9,1.51
Team Stats,275,4404,1022.0,4.3,42,16,267,309.0,586,3065,19,26,4.8,165.0,384,1339,10,3.5,71.0,112.0,852.0,31.0,2004,mia,210.0,22.9,18.6,Own 31.4,2:09,4.99,21.0,1.24
Team Stats,318,5198,1026.0,5.1,30,14,274,291.0,556,3300,22,16,5.7,159.0,444,1898,11,4.3,93.0,132.0,1055.0,22.0,2005,mia,202.0,28.7,14.4,Own 31.5,2:10,5.23,25.4,1.51
Team Stats,260,4960,1034.0,4.8,25,6,281,342.0,591,3287,16,19,5.2,180.0,402,1673,7,4.2,82.0,90.0,789.0,19.0,2006,mia,190.0,25.8,12.6,Own 31.5,2:32,5.63,26.0,1.26
Team Stats,267,4600,989.0,4.7,29,13,283,318.0,558,3031,12,16,5.1,162.0,389,1569,14,4.0,107.0,91.0,732.0,14.0,2007,mia,175.0,26.9,16.0,Own 27.7,2:42,5.78,26.0,1.4
