Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,285,3886,796.0,4.9,44,22,236,203.0,377,1989,22,22,5.3,123.0,419,1897,14,4.5,104.0,36.0,375.0,9.0,1961,min,,,,,,,,
Team Stats,254,4080,774.0,5.3,54,23,223,170.0,348,2216,22,31,6.4,107.0,426,1864,7,4.4,102.0,44.0,447.0,14.0,1962,min,,,,,,,,
Team Stats,309,4011,851.0,4.7,35,18,223,197.0,355,2169,16,17,5.3,112.0,445,1842,17,4.1,97.0,58.0,627.0,14.0,1963,min,,,,,,,,
Team Stats,355,4306,893.0,4.8,30,18,258,179.0,326,2123,23,12,5.7,115.0,519,2183,14,4.2,124.0,71.0,787.0,19.0,1964,min,,,,,,,,
Team Stats,383,4824,912.0,5.3,37,25,277,189.0,372,2546,21,12,6.3,126.0,505,2278,19,4.5,130.0,76.0,771.0,21.0,1965,min,,,,,,,,
Team Stats,292,4639,1013.0,4.6,36,14,279,216.0,417,2548,18,22,5.5,132.0,551,2091,15,3.8,126.0,67.0,787.0,21.0,1966,min,,,,,,,,
Team Stats,233,3478,825.0,4.2,37,13,199,150.0,336,1667,11,24,4.5,85.0,454,1811,10,4.0,91.0,100.0,1075.0,23.0,1967,min,,,,,,,,
Team Stats,282,3606,817.0,4.4,31,14,223,154.0,282,1685,11,17,5.3,89.0,500,1921,19,3.8,114.0,65.0,692.0,20.0,1968,min,,,,,,,,
Team Stats,379,4096,869.0,4.7,30,12,239,176.0,346,2246,24,18,5.9,117.0,489,1850,15,3.8,102.0,67.0,744.0,20.0,1969,min,,,,,,,,
Team Stats,335,3815,881.0,4.3,31,16,225,173.0,344,2181,12,15,5.8,111.0,508,1634,16,3.2,98.0,60.0,631.0,16.0,1970,min,,,,,,,,
Team Stats,245,3350,846.0,4.0,30,12,198,157.0,334,1655,9,18,4.6,95.0,484,1695,14,3.5,89.0,70.0,661.0,14.0,1971,min,,,,,,,,
Team Stats,301,4263,883.0,4.8,32,19,235,218.0,385,2523,19,13,6.1,127.0,472,1740,11,3.7,95.0,51.0,440.0,13.0,1972,min,,,,,,,,
Team Stats,296,4231,868.0,4.9,26,17,246,179.0,298,1956,16,9,5.9,99.0,538,2275,14,4.2,137.0,55.0,482.0,10.0,1973,min,,,,,,,,
Team Stats,310,4611,907.0,5.1,22,9,264,234.0,400,2755,22,13,6.6,136.0,488,1856,17,3.8,114.0,56.0,501.0,14.0,1974,min,,,,,,,,
Team Stats,377,4955,1031.0,4.8,26,12,314,281.0,446,2861,27,14,6.0,156.0,556,2094,18,3.8,142.0,90.0,708.0,16.0,1975,min,,,,,,,,
Team Stats,305,4858,1013.0,4.8,29,19,294,270.0,442,2855,17,10,6.0,150.0,540,2003,18,3.7,125.0,77.0,615.0,19.0,1976,min,,,,,,,,
Team Stats,231,4189,933.0,4.5,46,24,245,228.0,388,2368,19,22,5.6,126.0,510,1821,9,3.6,110.0,75.0,556.0,9.0,1977,min,,,,,,,,
Team Stats,294,4779,1127.0,4.2,51,17,308,352.0,592,3243,25,34,5.2,176.0,505,1536,10,3.0,102.0,113.0,817.0,30.0,1978,min,,,,,,,,
Team Stats,259,4903,1090.0,4.5,41,17,311,315.0,566,3139,23,24,5.2,168.0,487,1764,9,3.6,112.0,96.0,787.0,31.0,1979,min,,,,,,,,
Team Stats,317,5330,1048.0,5.1,26,3,324,331.0,574,3688,22,23,6.0,191.0,433,1642,14,3.8,100.0,90.0,717.0,33.0,1980,min,,,,,,,,
Team Stats,325,5845,1129.0,5.2,50,21,343,382.0,709,4333,27,29,5.9,217.0,391,1512,8,3.9,91.0,109.0,865.0,35.0,1981,min,,,,,,,,
Team Stats,187,2879,601.0,4.8,17,5,167,187.0,334,1967,15,12,5.5,107.0,245,912,6,3.7,52.0,62.0,496.0,8.0,1982,min,,,,,,,,
Team Stats,316,5019,1068.0,4.7,32,10,303,310.0,555,3211,15,22,5.4,169.0,470,1808,17,3.8,112.0,90.0,748.0,22.0,1983,min,,,,,,,,
Team Stats,276,4716,1041.0,4.5,41,16,289,281.0,533,2872,18,25,4.8,150.0,444,1844,10,4.2,111.0,90.0,762.0,28.0,1984,min,,,,,,,,
Team Stats,346,5151,1027.0,5.0,47,18,317,311.0,576,3635,22,29,5.9,189.0,406,1516,19,3.7,95.0,88.0,690.0,33.0,1985,min,,,,,,,,
Team Stats,398,5651,1024.0,5.5,29,14,321,290.0,519,3913,31,15,7.0,186.0,461,1738,14,3.8,114.0,96.0,890.0,21.0,1986,min,,,,,,,,
Team Stats,336,4809,980.0,4.9,33,10,293,232.0,446,2826,21,23,5.7,136.0,482,1983,20,4.1,129.0,96.0,814.0,28.0,1987,min,,,,,,,,
Team Stats,406,5595,1068.0,5.2,30,12,318,294.0,520,3789,20,18,6.7,187.0,501,1806,22,3.6,112.0,118.0,998.0,19.0,1988,min,,,,,,,,
Team Stats,351,5255,1053.0,5.0,33,14,326,272.0,499,3189,17,19,5.9,172.0,514,2066,12,4.0,126.0,119.0,974.0,28.0,1989,min,,,,,,,,
Team Stats,351,5034,1001.0,5.0,37,13,288,265.0,497,3167,25,24,5.8,164.0,455,1867,10,4.1,106.0,83.0,565.0,18.0,1990,min,,,,,,,,
Team Stats,301,5084,969.0,5.2,26,10,300,284.0,477,2883,16,16,5.7,158.0,464,2201,18,4.7,125.0,88.0,675.0,17.0,1991,min,,,,,,,,
Team Stats,374,4899,995.0,4.9,32,17,288,258.0,458,2869,18,15,5.8,157.0,497,2030,19,4.1,115.0,99.0,809.0,16.0,1992,min,,,,,,,,
Team Stats,277,4824,1008.0,4.8,24,10,283,315.0,526,3200,18,14,5.7,182.0,447,1624,8,3.6,85.0,109.0,806.0,16.0,1993,min,,,,,,,,
Team Stats,356,5848,1123.0,5.2,34,14,325,409.0,673,4324,18,20,6.1,215.0,419,1524,11,3.6,92.0,112.0,880.0,18.0,1994,min,,,,,,,,
Team Stats,412,5938,1115.0,5.3,29,13,342,402.0,642,4205,33,16,6.2,223.0,433,1733,10,4.0,91.0,105.0,797.0,28.0,1995,min,,,,,,,,
Team Stats,298,5204,1030.0,5.1,32,13,284,331.0,561,3658,24,19,6.1,186.0,435,1546,7,3.6,75.0,106.0,835.0,23.0,1996,min,,,,,,,,
Team Stats,354,5354,1022.0,5.2,22,6,293,319.0,540,3313,26,16,5.8,177.0,449,2041,14,4.5,96.0,97.0,800.0,20.0,1997,min,,,,,,,,
Team Stats,556,6264,1008.0,6.2,20,4,335,327.0,533,4328,41,16,7.8,210.0,450,1936,17,4.3,98.0,116.0,1045.0,27.0,1998,min,,,,,,,,
Team Stats,399,5793,995.0,5.8,40,19,324,316.0,530,3989,32,21,7.0,192.0,422,1804,13,4.3,96.0,114.0,955.0,36.0,1999,min,186.0,34.4,18.8,Own 31.6,2:32,5.51,31.1,2.0
Team Stats,397,5961,958.0,6.2,28,10,319,307.0,495,3832,33,18,7.2,193.0,428,2129,14,5.0,107.0,106.0,908.0,19.0,2000,min,174.0,39.7,14.9,Own 30.9,2:43,5.64,34.1,2.27
Team Stats,290,5185,978.0,5.3,39,16,288,335.0,555,3576,23,23,5.9,179.0,376,1609,10,4.3,88.0,109.0,836.0,21.0,2001,min,182.0,26.4,20.3,Own 29.2,2:34,5.48,28.4,1.52
Team Stats,390,6192,1080.0,5.7,41,18,350,337.0,558,3685,19,23,6.1,191.0,473,2507,26,5.3,139.0,137.0,1139.0,20.0,2002,min,191.0,35.6,19.9,Own 31.3,2:40,5.81,32.3,2.01
