Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,233,3790,864.0,4.4,37,14,220,237.0,478,2598,13,23,4.9,135.0,334,1192,9,3.6,67.0,76.0,785.0,18.0,1967,nor,,,,,,,,
Team Stats,246,3863,881.0,4.4,40,11,224,210.0,439,2336,17,29,4.9,122.0,409,1527,7,3.7,80.0,82.0,843.0,22.0,1968,nor,,,,,,,,
Team Stats,311,4679,879.0,5.3,32,12,282,245.0,453,2974,22,20,6.2,158.0,399,1705,12,4.3,93.0,83.0,943.0,31.0,1969,nor,,,,,,,,
Team Stats,172,3673,814.0,4.5,40,18,183,213.0,415,2458,11,22,5.5,112.0,371,1215,4,3.3,55.0,91.0,1029.0,16.0,1970,nor,,,,,,,,
Team Stats,266,3666,889.0,4.1,25,11,242,182.0,387,1955,12,14,4.5,106.0,452,1711,18,3.8,105.0,85.0,869.0,31.0,1971,nor,,,,,,,,
Team Stats,215,3664,829.0,4.4,37,16,226,230.0,449,2434,18,21,4.9,123.0,337,1230,5,3.6,83.0,69.0,585.0,20.0,1972,nor,,,,,,,,
Team Stats,163,3501,872.0,4.0,34,17,207,163.0,338,1659,11,17,4.4,88.0,497,1842,5,3.7,100.0,58.0,516.0,19.0,1973,nor,,,,,,,,
Team Stats,166,3744,929.0,4.0,33,12,233,185.0,389,1761,10,21,4.1,91.0,503,1983,9,3.9,117.0,75.0,598.0,25.0,1974,nor,,,,,,,,
Team Stats,165,3187,908.0,3.5,40,16,215,181.0,392,1545,8,24,3.5,82.0,463,1642,9,3.5,109.0,71.0,527.0,24.0,1975,nor,,,,,,,,
Team Stats,253,3759,885.0,4.2,32,18,226,206.0,403,1984,8,14,4.4,111.0,431,1775,16,4.1,92.0,103.0,901.0,23.0,1976,nor,,,,,,,,
Team Stats,232,3597,851.0,4.2,32,11,223,166.0,321,1573,13,21,4.3,96.0,484,2024,14,4.2,115.0,86.0,794.0,12.0,1977,nor,,,,,,,,
Team Stats,281,4996,1028.0,4.9,31,15,295,294.0,479,3151,17,16,6.1,154.0,512,1845,17,3.6,119.0,112.0,1044.0,22.0,1978,nor,,,,,,,,
Team Stats,370,5627,996.0,5.6,36,14,315,257.0,428,3151,16,22,7.1,135.0,551,2476,28,4.5,160.0,93.0,812.0,20.0,1979,nor,,,,,,,,
Team Stats,291,5010,960.0,5.2,35,13,285,334.0,566,3648,26,22,6.0,183.0,348,1362,9,3.9,80.0,98.0,837.0,22.0,1980,nor,,,,,,,,
