Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,286,4083,876.0,4.7,45,22,234,223.0,475,2604,25,23,5.1,126.0,365,1479,11,4.1,86.0,69.0,730.0,22.0,1960,nwe,,,,,,,,
Team Stats,413,4214,842.0,5.0,30,9,238,206.0,420,2539,29,21,5.6,120.0,389,1675,14,4.3,93.0,64.0,659.0,25.0,1961,nwe,,,,,,,,
Team Stats,346,4736,837.0,5.7,33,20,230,195.0,382,2766,25,13,6.8,114.0,432,1970,11,4.6,100.0,52.0,456.0,16.0,1962,nwe,,,,,,,,
Team Stats,327,4175,875.0,4.8,41,12,227,184.0,410,2557,17,29,5.8,107.0,433,1618,16,3.7,100.0,64.0,614.0,20.0,1963,nwe,,,,,,,,
Team Stats,365,4527,886.0,5.1,39,12,226,229.0,476,3166,31,27,6.3,144.0,381,1361,9,3.6,66.0,51.0,447.0,16.0,1964,nwe,,,,,,,,
Team Stats,244,3624,883.0,4.1,41,12,214,193.0,473,2507,19,29,4.9,130.0,373,1117,8,3.0,55.0,58.0,537.0,29.0,1965,nwe,,,,,,,,
Team Stats,315,4536,889.0,5.1,34,13,243,186.0,393,2573,20,21,6.2,121.0,471,1963,17,4.2,100.0,64.0,601.0,22.0,1966,nwe,,,,,,,,
Team Stats,280,4027,870.0,4.6,54,22,219,191.0,434,2423,20,32,5.1,120.0,391,1604,10,4.1,80.0,59.0,520.0,19.0,1967,nwe,,,,,,,,
Team Stats,229,3127,868.0,3.6,53,20,181,160.0,409,1765,16,33,3.9,94.0,421,1362,8,3.2,69.0,67.0,682.0,18.0,1968,nwe,,,,,,,,
Team Stats,266,3419,729.0,4.7,28,10,166,162.0,338,1930,19,18,5.3,87.0,367,1489,11,4.1,64.0,77.0,837.0,15.0,1969,nwe,,,,,,,,
