Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,271,3694,728.0,5.1,49,26,202,156.0,322,2254,20,23,7.0,107.0,406,1440,10,3.5,81.0,48.0,460.0,14.0,1960,nyg,,,,,,,,
Team Stats,368,4597,880.0,5.2,43,20,275,215.0,416,2740,27,23,6.6,160.0,464,1857,13,4.0,99.0,59.0,629.0,16.0,1961,nyg,,,,,,,,
Team Stats,398,5005,841.0,6.0,36,14,267,215.0,411,3307,35,22,8.0,150.0,430,1698,11,3.9,92.0,62.0,601.0,25.0,1962,nyg,,,,,,,,
Team Stats,448,5024,914.0,5.5,34,13,278,243.0,426,3247,39,21,7.0,164.0,453,1777,12,3.9,95.0,67.0,755.0,19.0,1963,nyg,,,,,,,,
Team Stats,241,3879,911.0,4.3,49,23,240,217.0,431,2475,16,26,5.2,140.0,435,1404,12,3.2,81.0,65.0,532.0,19.0,1964,nyg,,,,,,,,
Team Stats,270,4081,796.0,5.1,30,14,230,171.0,342,2430,23,16,6.5,112.0,423,1651,12,3.9,91.0,61.0,618.0,27.0,1965,nyg,,,,,,,,
Team Stats,263,3932,866.0,4.5,44,13,236,208.0,424,2475,20,31,5.1,129.0,380,1457,7,3.8,80.0,57.0,602.0,27.0,1966,nyg,,,,,,,,
Team Stats,369,4904,879.0,5.6,30,10,274,221.0,406,3040,33,20,6.9,135.0,436,1864,16,4.3,115.0,80.0,842.0,24.0,1967,nyg,,,,,,,,
Team Stats,294,4324,870.0,5.0,30,13,256,195.0,366,2442,21,17,6.2,114.0,474,1882,13,4.0,119.0,67.0,608.0,23.0,1968,nyg,,,,,,,,
Team Stats,264,4368,869.0,5.0,23,15,235,234.0,435,2775,24,8,5.9,133.0,397,1593,8,4.0,91.0,70.0,777.0,11.0,1969,nyg,,,,,,,,
Team Stats,301,4433,905.0,4.9,26,14,257,230.0,403,2634,19,12,6.0,150.0,465,1799,11,3.9,94.0,71.0,641.0,13.0,1970,nyg,,,,,,,,
Team Stats,228,4175,896.0,4.7,45,20,236,268.0,462,2714,14,25,5.4,140.0,394,1461,11,3.7,86.0,77.0,640.0,10.0,1971,nyg,,,,,,,,
Team Stats,331,4483,878.0,5.1,29,14,265,206.0,344,2461,20,15,7.0,124.0,524,2022,16,3.9,120.0,57.0,512.0,21.0,1972,nyg,,,,,,,,
Team Stats,226,4039,896.0,4.5,39,9,239,230.0,412,2561,14,30,5.8,140.0,456,1478,11,3.2,84.0,67.0,586.0,15.0,1973,nyg,,,,,,,,
Team Stats,195,3689,854.0,4.3,36,10,215,207.0,393,2193,12,26,5.3,107.0,441,1496,11,3.4,90.0,65.0,567.0,18.0,1974,nyg,,,,,,,,
Team Stats,216,3729,910.0,4.1,37,19,229,193.0,379,2102,11,18,4.9,105.0,482,1627,17,3.4,95.0,52.0,440.0,29.0,1975,nyg,,,,,,,,
Team Stats,170,3696,900.0,4.1,36,12,216,175.0,326,1792,9,24,4.8,97.0,530,1904,11,3.6,98.0,86.0,734.0,21.0,1976,nyg,,,,,,,,
Team Stats,181,3284,905.0,3.6,34,12,201,134.0,311,1387,6,22,3.9,73.0,548,1897,11,3.5,105.0,91.0,880.0,23.0,1977,nyg,,,,,,,,
Team Stats,264,4449,1000.0,4.4,39,12,246,176.0,382,2145,13,27,5.1,101.0,580,2304,12,4.0,125.0,101.0,1016.0,20.0,1978,nyg,,,,,,,,
Team Stats,237,3774,958.0,3.9,40,18,223,190.0,401,1954,15,22,4.2,111.0,498,1820,12,3.7,82.0,122.0,1047.0,30.0,1979,nyg,,,,,,,,
