Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,382,4794,959.0,5.0,48,20,286,236.0,474,2977,32,28,5.8,152.0,445,1817,14,4.1,111.0,53.0,672.0,23.0,1960,nyj,,,,,,,,
Team Stats,301,4065,927.0,4.4,52,20,247,204.0,460,2387,20,32,4.8,126.0,426,1678,17,3.9,100.0,60.0,585.0,21.0,1961,nyj,,,,,,,,
Team Stats,278,3955,876.0,4.5,55,20,206,242.0,505,2742,20,35,4.9,131.0,317,1213,9,3.8,60.0,84.0,771.0,15.0,1962,nyj,,,,,,,,
Team Stats,249,3510,823.0,4.3,44,15,200,209.0,480,2532,21,29,4.9,121.0,306,978,8,3.2,52.0,55.0,650.0,27.0,1963,nyj,,,,,,,,
Team Stats,278,3889,862.0,4.5,40,7,209,201.0,451,2432,19,33,5.1,108.0,384,1457,11,3.8,79.0,53.0,477.0,22.0,1964,nyj,,,,,,,,
Team Stats,285,4065,843.0,4.8,40,18,213,209.0,459,2589,21,22,5.4,121.0,367,1476,11,4.0,77.0,58.0,684.0,15.0,1965,nyj,,,,,,,,
Team Stats,322,4906,899.0,5.5,38,9,254,251.0,514,3464,21,29,6.6,145.0,376,1442,15,3.8,81.0,64.0,652.0,28.0,1966,nyj,,,,,,,,
Team Stats,371,5152,932.0,5.5,37,8,282,271.0,515,3845,27,29,7.1,180.0,389,1307,17,3.4,82.0,64.0,691.0,20.0,1967,nyj,,,,,,,,
Team Stats,419,5047,921.0,5.5,28,9,249,217.0,436,3439,20,19,7.6,144.0,467,1608,22,3.4,80.0,76.0,742.0,25.0,1968,nyj,,,,,,,,
Team Stats,353,4583,879.0,5.2,33,13,252,203.0,394,2801,21,20,6.8,130.0,469,1782,14,3.8,98.0,61.0,725.0,24.0,1969,nyj,,,,,,,,
Team Stats,255,3960,884.0,4.5,33,11,230,193.0,386,2307,14,22,5.5,122.0,463,1653,11,3.6,90.0,88.0,1022.0,18.0,1970,nyj,,,,,,,,
Team Stats,212,3267,786.0,4.2,26,10,202,119.0,278,1379,15,16,4.6,67.0,485,1888,12,3.9,115.0,70.0,672.0,20.0,1971,nyj,,,,,,,,
Team Stats,367,4787,825.0,5.8,31,9,250,172.0,347,2777,21,22,7.6,117.0,461,2010,18,4.4,106.0,74.0,719.0,27.0,1972,nyj,,,,,,,,
Team Stats,240,3920,863.0,4.5,39,17,222,181.0,373,2056,16,22,5.0,109.0,453,1864,7,4.1,95.0,62.0,575.0,18.0,1973,nyj,,,,,,,,
Team Stats,279,4061,832.0,4.9,32,8,234,194.0,369,2436,20,24,6.3,119.0,444,1625,12,3.7,96.0,76.0,600.0,19.0,1974,nyj,,,,,,,,
Team Stats,258,4230,919.0,4.6,41,8,266,174.0,384,2151,16,33,5.1,111.0,501,2079,15,4.1,126.0,99.0,799.0,29.0,1975,nyj,,,,,,,,
Team Stats,169,3530,876.0,4.0,53,25,220,180.0,393,1606,7,28,3.7,93.0,438,1924,10,4.4,104.0,71.0,627.0,23.0,1976,nyj,,,,,,,,
Team Stats,191,3620,832.0,4.4,40,14,195,170.0,360,2002,14,26,5.1,96.0,437,1618,6,3.7,83.0,62.0,508.0,16.0,1977,nyj,,,,,,,,
Team Stats,359,4857,993.0,4.9,37,9,277,193.0,388,2607,19,28,6.0,128.0,562,2250,21,4.0,131.0,102.0,854.0,18.0,1978,nyj,,,,,,,,
Team Stats,337,5244,1035.0,5.1,38,13,299,190.0,369,2598,16,25,6.5,126.0,634,2646,23,4.2,153.0,109.0,876.0,20.0,1979,nyj,,,,,,,,
Team Stats,302,4882,993.0,4.9,41,11,289,265.0,481,3009,17,30,5.8,146.0,470,1873,17,4.0,124.0,103.0,767.0,19.0,1980,nyj,,,,,,,,
Team Stats,355,5396,1108.0,4.9,31,17,318,283.0,507,3055,26,14,5.7,170.0,571,2341,11,4.1,122.0,112.0,936.0,26.0,1981,nyj,,,,,,,,
Team Stats,245,3218,606.0,5.3,18,9,193,165.0,279,1901,16,9,6.3,95.0,304,1317,13,4.3,87.0,63.0,533.0,11.0,1982,nyj,,,,,,,,
Team Stats,313,5493,1076.0,5.1,47,19,313,330.0,559,3425,21,28,5.7,171.0,474,2068,11,4.4,126.0,110.0,1059.0,16.0,1983,nyj,,,,,,,,
Team Stats,332,5148,1044.0,4.9,34,13,310,272.0,488,2959,20,21,5.5,176.0,504,2189,17,4.3,118.0,96.0,779.0,16.0,1984,nyj,,,,,,,,
Team Stats,393,5896,1123.0,5.3,29,21,344,303.0,497,3584,25,8,6.4,201.0,564,2312,18,4.1,121.0,119.0,907.0,22.0,1985,nyj,,,,,,,,
Team Stats,364,5375,1072.0,5.0,37,16,319,334.0,537,3646,27,21,6.3,191.0,490,1729,16,3.5,104.0,131.0,981.0,24.0,1986,nyj,,,,,,,,
Team Stats,334,4630,1041.0,4.4,34,19,292,302.0,517,2959,18,15,5.1,169.0,458,1671,17,3.6,97.0,135.0,1055.0,26.0,1987,nyj,,,,,,,,
Team Stats,372,5215,1094.0,4.8,27,16,331,299.0,538,3083,20,11,5.3,181.0,514,2132,19,4.1,118.0,115.0,931.0,32.0,1988,nyj,,,,,,,,
Team Stats,253,5011,1032.0,4.9,41,17,292,338.0,570,3415,14,24,5.4,189.0,400,1596,11,4.0,91.0,116.0,953.0,12.0,1989,nyj,,,,,,,,
Team Stats,295,4886,967.0,5.1,24,13,295,246.0,451,2759,14,11,5.6,143.0,476,2127,16,4.5,128.0,101.0,848.0,24.0,1990,nyj,,,,,,,,
