Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,379,4936,930.0,5.3,45,17,262,218.0,456,3203,31,28,6.7,153.0,452,1733,15,3.8,83.0,75.0,750.0,26.0,1960,oti,,,,,,,,
Team Stats,513,6288,964.0,6.5,39,10,293,254.0,498,4392,48,29,8.6,182.0,452,1896,15,4.2,97.0,83.0,889.0,14.0,1961,oti,,,,,,,,
Team Stats,387,4971,943.0,5.3,57,9,266,227.0,475,3229,32,48,6.6,157.0,457,1742,15,3.8,95.0,63.0,633.0,14.0,1962,oti,,,,,,,,
Team Stats,302,4419,870.0,5.1,57,24,254,261.0,501,3210,26,33,6.1,169.0,341,1209,11,3.5,68.0,58.0,565.0,17.0,1963,oti,,,,,,,,
Team Stats,310,4874,942.0,5.2,44,15,284,299.0,592,3527,19,29,5.7,186.0,327,1347,14,4.1,80.0,70.0,683.0,18.0,1964,oti,,,,,,,,
Team Stats,298,3988,905.0,4.4,46,11,227,224.0,550,2813,25,35,4.8,140.0,324,1175,10,3.6,63.0,76.0,856.0,24.0,1965,oti,,,,,,,,
Team Stats,335,4412,926.0,4.8,40,12,246,226.0,485,2897,29,28,5.6,144.0,413,1515,11,3.7,76.0,71.0,682.0,26.0,1966,oti,,,,,,,,
Team Stats,258,3503,828.0,4.2,27,7,207,143.0,332,1381,11,20,3.9,86.0,476,2122,12,4.5,111.0,61.0,698.0,10.0,1967,oti,,,,,,,,
Team Stats,303,4352,905.0,4.8,38,13,240,191.0,414,2548,17,25,5.8,128.0,462,1804,16,3.9,99.0,61.0,644.0,13.0,1968,oti,,,,,,,,
Team Stats,278,4531,965.0,4.7,48,17,256,239.0,489,2825,15,31,5.4,146.0,440,1706,12,3.9,95.0,70.0,730.0,15.0,1969,oti,,,,,,,,
Team Stats,217,4062,922.0,4.4,38,15,232,238.0,470,2506,12,23,5.0,126.0,419,1556,10,3.7,88.0,78.0,833.0,18.0,1970,oti,,,,,,,,
Team Stats,251,3515,815.0,4.3,51,14,201,194.0,423,2409,12,37,5.3,117.0,361,1106,10,3.1,62.0,91.0,856.0,22.0,1971,oti,,,,,,,,
Team Stats,164,3191,817.0,3.9,33,10,183,181.0,375,1673,10,23,4.0,88.0,397,1518,7,3.8,80.0,66.0,581.0,15.0,1972,oti,,,,,,,,
Team Stats,199,3307,840.0,3.9,52,25,193,225.0,411,1919,11,27,4.2,93.0,386,1388,9,3.6,89.0,95.0,900.0,11.0,1973,oti,,,,,,,,
Team Stats,236,3338,817.0,4.1,33,14,200,203.0,363,1977,12,19,5.0,103.0,421,1361,16,3.2,76.0,90.0,749.0,21.0,1974,oti,,,,,,,,
Team Stats,293,3937,900.0,4.4,34,17,234,165.0,347,1869,14,17,5.0,90.0,526,2068,14,3.9,121.0,100.0,849.0,23.0,1975,oti,,,,,,,,
Team Stats,222,3570,878.0,4.1,33,14,199,227.0,423,2072,17,19,4.5,110.0,416,1498,6,3.6,71.0,99.0,776.0,18.0,1976,oti,,,,,,,,
Team Stats,299,3864,879.0,4.4,38,17,228,181.0,347,1875,14,21,5.1,91.0,509,1989,15,3.9,112.0,106.0,835.0,25.0,1977,oti,,,,,,,,
Team Stats,283,4814,993.0,4.8,38,21,276,201.0,373,2338,16,17,6.0,119.0,603,2476,19,4.1,135.0,102.0,833.0,22.0,1978,oti,,,,,,,,
Team Stats,362,4827,1034.0,4.7,32,11,268,195.0,386,2256,17,21,5.4,100.0,616,2571,24,4.2,149.0,109.0,947.0,19.0,1979,oti,,,,,,,,
Team Stats,295,5642,1063.0,5.3,47,19,329,296.0,463,3007,15,28,6.1,152.0,573,2635,18,4.6,155.0,101.0,838.0,22.0,1980,oti,,,,,,,,
Team Stats,281,4511,947.0,4.8,44,21,241,258.0,441,2777,21,23,5.8,124.0,466,1734,11,3.7,103.0,93.0,825.0,14.0,1981,oti,,,,,,,,
Team Stats,136,2373,551.0,4.3,26,11,138,153.0,287,1574,12,15,4.8,81.0,225,799,5,3.6,52.0,52.0,424.0,5.0,1982,oti,,,,,,,,
Team Stats,288,4900,1033.0,4.7,47,18,295,260.0,482,2902,16,29,5.5,155.0,502,1998,16,4.0,120.0,84.0,784.0,20.0,1983,oti,,,,,,,,
Team Stats,240,4884,969.0,5.0,31,16,284,282.0,487,3228,14,15,6.0,164.0,433,1656,13,3.8,95.0,99.0,813.0,25.0,1984,oti,,,,,,,,
Team Stats,284,4652,998.0,4.7,37,15,270,277.0,512,3082,18,22,5.4,149.0,428,1570,13,3.7,96.0,127.0,1150.0,25.0,1985,oti,,,,,,,,
Team Stats,274,5149,1089.0,4.7,43,12,299,288.0,551,3449,14,31,5.8,179.0,490,1700,13,3.5,101.0,121.0,1018.0,19.0,1986,oti,,,,,,,,
Team Stats,345,5223,998.0,5.2,37,14,294,240.0,482,3300,24,23,6.4,150.0,486,1923,12,4.0,118.0,114.0,1029.0,26.0,1987,oti,,,,,,,,
Team Stats,424,5205,1010.0,5.2,35,17,308,218.0,428,2956,21,18,6.5,148.0,558,2249,26,4.0,141.0,125.0,1150.0,19.0,1988,oti,,,,,,,,
Team Stats,365,5427,1028.0,5.3,33,17,327,295.0,496,3499,23,16,6.6,185.0,495,1928,16,3.9,112.0,149.0,1153.0,30.0,1989,oti,,,,,,,,
Team Stats,405,6222,1006.0,6.2,36,21,376,399.0,639,4805,37,15,7.1,251.0,328,1417,10,4.3,97.0,135.0,1009.0,28.0,1990,oti,,,,,,,,
Team Stats,386,5987,1022.0,5.9,40,19,353,411.0,667,4621,24,21,6.7,236.0,331,1366,16,4.1,99.0,99.0,784.0,18.0,1991,oti,,,,,,,,
Team Stats,352,5655,958.0,5.9,35,12,339,373.0,573,4029,27,23,6.7,217.0,353,1626,10,4.6,101.0,111.0,824.0,21.0,1992,oti,,,,,,,,
Team Stats,368,5658,1066.0,5.3,45,20,330,357.0,614,3866,23,25,5.9,208.0,409,1792,11,4.4,101.0,132.0,1005.0,21.0,1993,oti,,,,,,,,
Team Stats,226,4481,1036.0,4.3,42,25,278,274.0,554,2799,13,17,4.5,158.0,417,1682,10,4.0,97.0,115.0,959.0,23.0,1994,oti,,,,,,,,
Team Stats,348,4905,1046.0,4.7,38,20,295,314.0,536,3241,22,18,5.7,157.0,478,1664,12,3.5,109.0,98.0,791.0,29.0,1995,oti,,,,,,,,
Team Stats,345,5048,972.0,5.2,30,15,287,272.0,463,3098,22,15,6.2,157.0,475,1950,12,4.1,110.0,91.0,812.0,20.0,1996,oti,,,,,,,,
Team Stats,333,4919,993.0,5.0,26,13,288,220.0,420,2505,15,13,5.5,136.0,541,2414,17,4.5,130.0,103.0,814.0,22.0,1997,oti,,,,,,,,
Team Stats,330,5261,1016.0,5.2,19,9,308,305.0,519,3291,16,10,5.9,171.0,462,1970,12,4.3,118.0,126.0,1135.0,19.0,1998,oti,,,,,,,,
Team Stats,392,5296,1011.0,5.2,22,9,294,304.0,527,3485,23,13,6.3,167.0,459,1811,19,3.9,109.0,114.0,1069.0,18.0,1999,oti,201.0,31.3,10.9,Own 32.4,2:30,5.15,26.2,1.78
Team Stats,346,5350,1036.0,5.2,30,14,299,286.0,462,3266,18,16,6.7,167.0,547,2084,14,3.8,107.0,107.0,870.0,25.0,2000,oti,194.0,30.4,14.9,Own 33.7,2:48,5.52,27.4,1.57
Team Stats,336,5352,1026.0,5.2,28,11,288,307.0,515,3558,23,17,6.4,179.0,468,1794,12,3.8,87.0,119.0,1025.0,22.0,2001,oti,195.0,28.2,13.3,Own 29.4,2:35,5.41,27.4,1.56
Team Stats,367,5272,1032.0,5.1,25,10,312,306.0,500,3320,22,15,6.4,182.0,511,1952,16,3.8,112.0,112.0,891.0,18.0,2002,oti,182.0,34.6,13.2,Own 32.2,2:55,5.85,28.8,1.87
Team Stats,435,5501,1013.0,5.4,21,12,310,315.0,502,3878,30,9,7.4,211.0,486,1623,11,3.3,84.0,110.0,887.0,15.0,2003,oti,188.0,39.4,9.6,Own 34.1,2:48,5.59,29.4,2.07
Team Stats,344,5487,1053.0,5.2,31,12,308,356.0,589,3616,27,19,5.7,200.0,420,1871,12,4.5,85.0,110.0,923.0,23.0,2004,oti,200.0,29.0,15.0,Own 30.0,2:32,5.4,27.4,1.65
Team Stats,299,5122,1022.0,5.0,26,12,279,358.0,594,3597,20,14,5.8,191.0,397,1525,8,3.8,72.0,125.0,1002.0,16.0,2005,oti,193.0,26.4,13.5,Own 32.4,2:35,5.44,26.5,1.37
Team Stats,324,4810,945.0,5.1,26,7,261,226.0,447,2596,13,19,5.5,133.0,469,2214,15,4.7,105.0,94.0,803.0,23.0,2006,oti,187.0,26.7,13.9,Own 30.0,2:21,5.2,25.6,1.4
Team Stats,301,4987,1037.0,4.8,34,17,306,288.0,464,2878,9,17,5.8,171.0,543,2109,17,3.9,118.0,101.0,773.0,17.0,2007,oti,189.0,32.3,16.9,Own 32.5,2:42,5.69,26.3,1.52
Team Stats,375,5018,973.0,5.2,17,8,268,265.0,453,2819,13,9,6.1,143.0,508,2199,24,4.3,108.0,108.0,855.0,17.0,2008,oti,191.0,34.6,8.9,Own 32.4,2:27,5.27,26.1,1.81
Team Stats,354,5623,990.0,5.7,31,16,288,271.0,476,3031,16,15,6.2,154.0,499,2592,19,5.2,115.0,98.0,821.0,19.0,2009,oti,187.0,33.2,15.0,Own 27.1,2:27,5.47,29.9,1.74
Team Stats,356,4834,907.0,5.3,29,14,252,273.0,474,3107,24,15,6.2,155.0,406,1727,13,4.3,73.0,128.0,1040.0,24.0,2010,oti,184.0,33.2,14.7,Own 31.5,2:16,5.07,26.0,1.8
Team Stats,325,5361,984.0,5.4,22,8,281,353.0,584,3923,22,14,6.5,185.0,376,1438,8,3.8,71.0,104.0,960.0,25.0,2011,oti,188.0,31.4,11.7,Own 27.4,2:22,5.4,28.5,1.58
Team Stats,330,5010,957.0,5.2,28,12,260,318.0,540,3323,17,16,5.7,166.0,378,1687,10,4.5,70.0,106.0,847.0,24.0,2012,oti,188.0,27.7,14.9,Own 25.4,2:21,5.26,26.6,1.4
Team Stats,362,5390,1032.0,5.2,25,9,311,328.0,533,3496,22,16,6.1,172.0,462,1894,16,4.1,103.0,101.0,900.0,36.0,2013,oti,184.0,34.2,11.4,Own 27.9,2:38,5.77,29.1,1.85
Team Stats,254,4859,919.0,5.3,26,10,258,299.0,513,3412,20,16,6.1,159.0,356,1447,6,4.1,75.0,111.0,961.0,24.0,2014,oti,191.0,23.6,12.6,Own 25.8,2:18,4.93,25.3,1.25
Team Stats,299,4988,976.0,5.1,33,16,298,342.0,551,3503,25,17,5.8,195.0,371,1485,10,4.0,66.0,93.0,779.0,37.0,2015,oti,191.0,25.7,16.2,Own 27.0,2:29,5.19,26.1,1.5
Team Stats,381,5728,1008.0,5.7,18,7,322,307.0,504,3541,29,11,6.7,175.0,476,2187,16,4.6,115.0,110.0,1012.0,32.0,2016,oti,184.0,36.4,9.8,Own 28.2,2:39,5.63,31.0,2.07
Team Stats,334,5024,974.0,5.2,25,8,290,306.0,496,3191,14,17,6.0,157.0,443,1833,18,4.1,97.0,85.0,785.0,36.0,2017,oti,191.0,35.1,12.6,Own 28.7,2:32,5.32,26.3,1.72
Team Stats,310,5002,940.0,5.3,18,6,289,293.0,437,2975,16,12,6.1,156.0,456,2027,15,4.4,106.0,82.0,727.0,27.0,2018,oti,166.0,34.9,10.2,Own 27.8,2:52,5.86,30.0,1.82
Team Stats,402,5805,949.0,6.1,17,9,317,297.0,448,3582,29,8,7.1,177.0,445,2223,21,5.0,104.0,99.0,932.0,36.0,2019,oti,185.0,31.4,8.6,Own 27.5,2:28,5.23,31.4,2.02
Team Stats,491,6343,1031.0,6.2,12,5,381,316.0,485,3653,33,7,7.2,203.0,521,2690,26,5.2,142.0,86.0,783.0,36.0,2020,oti,167.0,47.9,7.2,Own 28.7,2:45,6.34,37.7,2.87
Team Stats,419,5822,1133.0,5.1,25,11,362,359.0,535,3418,22,14,5.9,194.0,551,2404,23,4.4,134.0,103.0,973.0,34.0,2021,oti,185.0,38.9,13.0,Own 29.7,3:04,6.3,31.4,2.16
