Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,321,3950,682.0,5.8,30,10,190,177.0,331,2816,29,20,8.5,121.0,351,1134,9,3.2,54.0,57.0,544.0,15.0,1960,phi,,,,,,,,
Team Stats,361,5112,802.0,6.4,40,14,252,241.0,429,3605,34,26,8.4,158.0,373,1507,10,4.0,78.0,42.0,500.0,16.0,1961,phi,,,,,,,,
Team Stats,282,4540,752.0,6.0,44,13,235,228.0,428,3385,23,31,7.9,146.0,324,1155,13,3.6,76.0,58.0,619.0,13.0,1962,phi,,,,,,,,
Team Stats,242,3852,783.0,4.9,47,16,203,193.0,380,2414,22,31,5.9,114.0,376,1438,8,3.8,78.0,53.0,558.0,11.0,1963,phi,,,,,,,,
Team Stats,312,4400,862.0,5.1,40,22,243,199.0,397,2478,19,18,5.7,126.0,430,1922,16,4.5,100.0,42.0,450.0,17.0,1964,phi,,,,,,,,
Team Stats,363,5012,871.0,5.8,36,10,267,223.0,434,3188,22,26,6.8,149.0,404,1824,21,4.5,94.0,61.0,686.0,24.0,1965,phi,,,,,,,,
Team Stats,326,3759,891.0,4.2,39,17,231,179.0,378,1900,14,22,4.6,104.0,478,1859,19,3.9,112.0,63.0,666.0,15.0,1966,phi,,,,,,,,
Team Stats,351,4344,822.0,5.3,40,16,239,244.0,445,3094,30,24,6.3,146.0,328,1250,12,3.8,69.0,77.0,830.0,24.0,1967,phi,,,,,,,,
Team Stats,202,3561,775.0,4.6,42,13,197,194.0,380,2150,16,29,5.3,100.0,369,1411,3,3.8,78.0,63.0,666.0,19.0,1968,phi,,,,,,,,
Team Stats,279,4345,882.0,4.9,39,11,231,216.0,458,2782,20,28,5.7,132.0,395,1563,10,4.0,83.0,80.0,843.0,16.0,1969,phi,,,,,,,,
Team Stats,241,3990,883.0,4.5,39,16,229,218.0,410,2451,16,23,5.7,126.0,450,1539,11,3.4,81.0,73.0,799.0,22.0,1970,phi,,,,,,,,
Team Stats,221,3571,823.0,4.3,35,15,201,200.0,390,2323,13,20,5.6,119.0,407,1248,6,3.1,65.0,81.0,838.0,17.0,1971,phi,,,,,,,,
Team Stats,145,3463,826.0,4.2,38,18,203,184.0,375,2070,10,20,4.8,110.0,398,1393,2,3.5,78.0,76.0,690.0,15.0,1972,phi,,,,,,,,
Team Stats,310,4789,930.0,5.1,28,15,267,275.0,479,2998,23,13,5.8,147.0,417,1791,9,4.3,103.0,61.0,566.0,17.0,1973,phi,,,,,,,,
Team Stats,242,3597,918.0,3.9,29,12,244,258.0,461,2212,14,17,4.4,141.0,415,1385,13,3.3,79.0,76.0,722.0,24.0,1974,phi,,,,,,,,
Team Stats,225,4142,949.0,4.4,35,12,237,238.0,458,2440,19,23,5.0,134.0,461,1702,3,3.7,84.0,81.0,744.0,19.0,1975,phi,,,,,,,,
Team Stats,165,3572,917.0,3.9,32,14,220,182.0,369,1492,11,18,3.6,91.0,505,2080,8,4.1,109.0,91.0,722.0,20.0,1976,phi,,,,,,,,
Team Stats,220,3578,880.0,4.1,38,17,211,167.0,349,1856,18,21,4.7,100.0,484,1722,10,3.6,98.0,78.0,642.0,13.0,1977,phi,,,,,,,,
Team Stats,270,4653,1029.0,4.5,38,22,271,207.0,401,2197,16,16,5.0,112.0,587,2456,16,4.2,143.0,94.0,805.0,16.0,1978,phi,,,,,,,,
Team Stats,339,5031,1011.0,5.0,29,16,292,209.0,410,2610,21,13,5.9,150.0,567,2421,17,4.3,122.0,90.0,680.0,20.0,1979,phi,,,,,,,,
Team Stats,384,5519,1036.0,5.3,28,16,326,275.0,477,3524,28,12,6.9,186.0,527,1995,19,3.8,118.0,96.0,809.0,22.0,1980,phi,,,,,,,,
Team Stats,368,5553,1057.0,5.3,39,17,332,258.0,476,3044,25,22,6.1,150.0,559,2509,17,4.5,157.0,113.0,855.0,25.0,1981,phi,,,,,,,,
Team Stats,191,2685,530.0,5.1,23,10,157,168.0,288,1856,12,13,5.8,100.0,211,829,11,3.9,48.0,38.0,253.0,9.0,1982,phi,,,,,,,,
Team Stats,233,4534,945.0,4.8,36,18,253,252.0,486,3117,22,18,5.7,150.0,402,1417,5,3.5,91.0,79.0,637.0,12.0,1983,phi,,,,,,,,
Team Stats,278,4698,1047.0,4.5,33,16,280,331.0,606,3360,19,17,5.0,176.0,381,1338,6,3.5,83.0,77.0,632.0,21.0,1984,phi,,,,,,,,
Team Stats,286,5216,1050.0,5.0,40,12,292,290.0,567,3586,19,28,5.8,188.0,428,1630,8,3.8,82.0,98.0,736.0,22.0,1985,phi,,,,,,,,
Team Stats,256,4542,1117.0,4.1,27,10,287,268.0,514,2540,19,17,4.1,150.0,499,2002,8,4.0,113.0,102.0,901.0,24.0,1986,phi,,,,,,,,
Team Stats,337,5077,1101.0,4.6,35,19,289,283.0,520,3050,26,16,5.2,154.0,509,2027,12,4.0,112.0,116.0,919.0,23.0,1987,phi,,,,,,,,
Team Stats,379,5430,1102.0,4.9,26,9,318,309.0,581,3485,25,17,5.5,179.0,464,1945,17,4.2,105.0,115.0,907.0,34.0,1988,phi,,,,,,,,
Team Stats,342,5320,1123.0,4.7,32,16,321,294.0,538,3112,23,16,5.3,171.0,540,2208,14,4.1,120.0,114.0,938.0,30.0,1989,phi,,,,,,,,
Team Stats,396,5700,1069.0,5.3,28,15,325,281.0,479,3144,34,13,5.9,170.0,540,2556,10,4.7,132.0,120.0,981.0,23.0,1990,phi,,,,,,,,
Team Stats,285,4302,1004.0,4.3,43,16,249,285.0,513,2906,17,27,5.2,142.0,446,1396,8,3.1,86.0,111.0,839.0,21.0,1991,phi,,,,,,,,
Team Stats,354,4980,1009.0,4.9,28,15,292,255.0,429,2592,20,13,5.3,138.0,516,2388,19,4.6,138.0,101.0,807.0,16.0,1992,phi,,,,,,,,
Team Stats,293,4922,1054.0,4.7,34,21,303,328.0,556,3161,23,13,5.3,184.0,456,1761,7,3.9,104.0,101.0,770.0,15.0,1993,phi,,,,,,,,
Team Stats,308,5125,1046.0,4.9,26,12,293,316.0,566,3364,18,14,5.5,168.0,432,1761,14,4.1,103.0,138.0,1107.0,22.0,1994,phi,,,,,,,,
Team Stats,318,4807,1050.0,4.6,36,17,290,284.0,496,2686,11,19,5.0,145.0,508,2121,19,4.2,126.0,112.0,838.0,19.0,1995,phi,,,,,,,,
Team Stats,363,5627,1076.0,5.2,32,14,319,328.0,548,3745,19,18,6.4,196.0,489,1882,16,3.8,107.0,117.0,963.0,16.0,1996,phi,,,,,,,,
Team Stats,317,5590,1116.0,5.0,32,16,326,330.0,587,3647,22,16,5.6,203.0,465,1943,11,4.2,105.0,104.0,866.0,18.0,1997,phi,,,,,,,,
Team Stats,161,4188,1017.0,4.1,26,8,259,282.0,534,2413,7,18,4.1,141.0,427,1775,10,4.2,86.0,102.0,852.0,32.0,1998,phi,,,,,,,,
Team Stats,272,3830,947.0,4.0,39,21,218,235.0,474,2084,18,18,4.0,123.0,424,1746,5,4.1,76.0,102.0,905.0,19.0,1999,phi,205.0,21.5,17.1,Own 32.5,2:08,4.78,18.7,1.09
Team Stats,351,5006,1017.0,4.9,29,14,295,331.0,575,3124,21,15,5.0,182.0,397,1882,13,4.7,88.0,113.0,980.0,25.0,2000,phi,189.0,33.3,13.8,Own 30.5,2:30,5.56,26.5,1.72
Team Stats,343,4923,974.0,5.1,24,10,256,300.0,522,3145,27,14,5.6,146.0,412,1778,6,4.3,90.0,100.0,768.0,20.0,2001,phi,201.0,29.4,10.9,Own 32.3,2:18,5.0,24.2,1.54
Team Stats,415,5604,1073.0,5.2,24,13,311,318.0,548,3384,27,11,5.8,164.0,489,2220,15,4.5,124.0,111.0,897.0,23.0,2002,phi,200.0,36.0,12.0,Own 35.2,2:30,5.54,28.0,1.92
Team Stats,374,5035,944.0,5.3,22,11,302,279.0,484,3020,17,11,5.7,156.0,417,2015,23,4.8,105.0,96.0,817.0,41.0,2003,phi,187.0,34.2,10.2,Own 32.5,2:25,5.2,26.9,1.88
Team Stats,386,5618,960.0,5.9,22,11,301,336.0,547,3979,32,11,6.8,188.0,376,1639,10,4.4,87.0,124.0,952.0,26.0,2004,phi,192.0,35.9,10.9,Own 31.1,2:24,5.17,29.2,1.95
Team Stats,310,5109,1027.0,5.0,34,14,282,337.0,620,3677,21,20,5.6,182.0,365,1432,11,3.9,73.0,134.0,1130.0,27.0,2005,phi,218.0,24.8,14.7,Own 30.4,2:06,4.85,23.3,1.33
Team Stats,398,6103,988.0,6.2,24,15,312,323.0,544,4119,31,9,7.2,189.0,416,1984,13,4.8,106.0,112.0,983.0,17.0,2006,phi,183.0,33.9,11.5,Own 30.0,2:32,5.52,33.2,1.98
Team Stats,336,5729,1047.0,5.5,27,12,323,350.0,577,3755,24,15,6.0,186.0,421,1974,12,4.7,118.0,83.0,649.0,19.0,2007,phi,182.0,34.1,13.2,Own 29.2,2:43,5.93,31.5,1.86
Team Stats,416,5608,1056.0,5.3,26,10,318,362.0,606,3911,23,16,6.2,204.0,427,1697,15,4.0,94.0,74.0,635.0,20.0,2008,phi,200.0,35.5,11.5,Own 31.2,2:31,5.48,28.0,1.83
Team Stats,429,5726,975.0,5.9,23,10,290,335.0,553,4089,27,13,6.9,182.0,384,1637,14,4.3,87.0,115.0,951.0,21.0,2009,phi,192.0,38.0,10.4,Own 30.6,2:21,5.27,29.8,1.99
