Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,240,4045,696.0,5.8,35,14,198,139.0,285,2422,20,21,8.5,104.0,411,1623,9,3.9,81.0,61.0,606.0,13.0,1960,pit,,,,,,,,
Team Stats,295,4093,877.0,4.7,56,22,239,176.0,334,2332,23,34,7.0,123.0,543,1761,10,3.2,102.0,52.0,486.0,14.0,1961,pit,,,,,,,,
Team Stats,312,4402,891.0,4.9,36,13,261,160.0,319,2069,14,23,6.5,112.0,572,2333,17,4.1,133.0,45.0,427.0,16.0,1962,pit,,,,,,,,
Team Stats,321,4913,976.0,5.0,33,13,272,170.0,368,2777,21,20,7.0,129.0,578,2136,14,3.7,122.0,51.0,495.0,21.0,1963,pit,,,,,,,,
Team Stats,253,3960,890.0,4.4,41,17,233,141.0,323,1858,14,24,5.0,105.0,516,2102,14,4.1,110.0,59.0,615.0,18.0,1964,pit,,,,,,,,
Team Stats,202,3354,823.0,4.1,57,22,194,161.0,354,1976,10,35,4.8,104.0,407,1378,10,3.4,71.0,40.0,326.0,19.0,1965,pit,,,,,,,,
Team Stats,316,3446,842.0,4.1,39,17,207,188.0,401,2354,18,22,5.0,117.0,375,1092,13,2.9,65.0,75.0,768.0,25.0,1966,pit,,,,,,,,
Team Stats,281,3908,903.0,4.3,45,16,252,214.0,442,2511,19,29,5.3,145.0,431,1397,13,3.2,83.0,68.0,759.0,24.0,1967,pit,,,,,,,,
Team Stats,244,4200,891.0,4.7,40,14,245,211.0,451,2479,22,26,5.0,137.0,399,1721,7,4.3,91.0,46.0,479.0,17.0,1968,pit,,,,,,,,
Team Stats,218,3626,843.0,4.3,49,20,210,176.0,391,2084,17,29,4.7,115.0,400,1542,8,3.9,81.0,67.0,659.0,14.0,1969,pit,,,,,,,,
Team Stats,210,3752,844.0,4.4,48,16,206,150.0,384,2037,12,32,4.9,97.0,432,1715,13,4.0,84.0,82.0,835.0,25.0,1970,pit,,,,,,,,
Team Stats,246,3882,867.0,4.5,42,16,226,214.0,414,2124,15,26,4.7,111.0,416,1758,10,4.2,98.0,88.0,898.0,17.0,1971,pit,,,,,,,,
Team Stats,343,4231,853.0,5.0,26,14,228,156.0,324,1711,12,12,4.8,79.0,497,2520,22,5.1,131.0,81.0,728.0,18.0,1972,pit,,,,,,,,
