Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,319,4708,938.0,5.0,46,18,254,235.0,463,2652,18,28,5.4,138.0,444,2056,23,4.6,98.0,71.0,718.0,18.0,1960,rai,,,,,,,,
Team Stats,237,3285,818.0,4.0,44,16,200,209.0,423,2051,17,28,4.4,116.0,350,1234,10,3.5,65.0,53.0,456.0,19.0,1961,rai,,,,,,,,
Team Stats,213,3687,857.0,4.3,49,20,187,175.0,446,2295,11,29,4.7,100.0,367,1392,14,3.8,72.0,69.0,695.0,15.0,1962,rai,,,,,,,,
Team Stats,363,4513,857.0,5.3,38,15,244,191.0,442,2900,31,23,5.8,142.0,357,1613,11,4.5,85.0,93.0,857.0,17.0,1963,rai,,,,,,,,
Team Stats,303,4902,908.0,5.4,51,18,270,253.0,521,3422,28,33,5.9,186.0,331,1480,9,4.5,63.0,74.0,752.0,21.0,1964,rai,,,,,,,,
Team Stats,298,3998,854.0,4.7,26,9,225,195.0,431,2460,22,17,5.3,134.0,390,1538,8,3.9,72.0,69.0,661.0,19.0,1965,rai,,,,,,,,
Team Stats,315,4571,847.0,5.4,38,12,226,212.0,450,3144,26,26,6.5,144.0,363,1427,13,3.9,70.0,80.0,752.0,12.0,1966,rai,,,,,,,,
Team Stats,468,5116,962.0,5.3,36,13,250,236.0,464,3188,33,23,6.3,154.0,458,1928,19,4.2,79.0,71.0,768.0,17.0,1967,rai,,,,,,,,
Team Stats,453,5696,968.0,5.9,39,21,287,237.0,468,3528,31,18,7.1,162.0,471,2168,16,4.6,97.0,81.0,958.0,28.0,1968,rai,,,,,,,,
Team Stats,377,5036,910.0,5.5,33,7,261,227.0,439,3271,36,26,7.3,153.0,459,1765,4,3.8,84.0,100.0,1274.0,24.0,1969,rai,,,,,,,,
