Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,265,3271,678.0,4.8,31,9,194,177.0,335,1822,19,22,5.4,101.0,343,1449,9,4.2,76.0,64.0,625.0,17.0,1960,ram,,,,,,,,
Team Stats,263,4295,801.0,5.4,32,11,236,199.0,386,2337,13,21,6.1,111.0,415,1958,17,4.7,109.0,63.0,599.0,16.0,1961,ram,,,,,,,,
Team Stats,220,3865,748.0,5.2,35,16,201,189.0,372,2176,14,19,5.8,107.0,376,1689,10,4.5,84.0,71.0,704.0,10.0,1962,ram,,,,,,,,
Team Stats,210,3470,848.0,4.1,39,17,209,186.0,384,2077,11,22,4.7,117.0,405,1393,14,3.4,80.0,70.0,788.0,12.0,1963,ram,,,,,,,,
Team Stats,283,3908,833.0,4.7,39,19,208,173.0,368,2279,18,20,5.3,104.0,400,1629,11,4.1,78.0,76.0,803.0,26.0,1964,ram,,,,,,,,
Team Stats,269,4179,868.0,4.8,41,22,251,230.0,445,2715,22,19,5.5,153.0,378,1464,8,3.9,76.0,61.0,560.0,22.0,1965,ram,,,,,,,,
Team Stats,289,4282,952.0,4.5,29,12,255,249.0,450,2540,12,17,5.0,133.0,448,1742,12,3.9,103.0,72.0,651.0,19.0,1966,ram,,,,,,,,
Team Stats,398,4640,905.0,5.1,29,13,262,206.0,390,2734,28,16,6.6,133.0,490,1906,16,3.9,106.0,85.0,854.0,23.0,1967,ram,,,,,,,,
Team Stats,312,4104,915.0,4.5,29,12,245,189.0,384,2172,20,17,5.3,115.0,503,1932,14,3.8,111.0,74.0,760.0,19.0,1968,ram,,,,,,,,
Team Stats,320,3934,815.0,4.8,18,11,209,222.0,416,2521,25,7,5.8,114.0,382,1413,8,3.7,75.0,95.0,994.0,20.0,1969,ram,,,,,,,,
Team Stats,325,4271,879.0,4.9,30,17,224,218.0,426,2508,17,13,5.6,120.0,430,1763,12,4.1,93.0,88.0,959.0,11.0,1970,ram,,,,,,,,
Team Stats,313,4233,856.0,4.9,29,18,234,185.0,370,2094,18,11,5.3,111.0,460,2139,15,4.7,105.0,79.0,642.0,18.0,1971,ram,,,,,,,,
Team Stats,291,4355,859.0,5.1,31,9,238,184.0,371,2146,13,22,5.5,108.0,472,2209,17,4.7,113.0,78.0,648.0,17.0,1972,ram,,,,,,,,
Team Stats,388,4906,947.0,5.2,20,9,294,144.0,271,1981,22,11,6.9,101.0,659,2925,18,4.4,177.0,54.0,606.0,16.0,1973,ram,,,,,,,,
Team Stats,263,4332,925.0,4.7,27,14,265,169.0,338,2207,16,13,6.1,112.0,566,2125,16,3.8,132.0,58.0,550.0,21.0,1974,ram,,,,,,,,
Team Stats,312,4566,949.0,4.8,25,8,273,181.0,334,2195,14,17,6.0,120.0,585,2371,18,4.1,134.0,73.0,746.0,19.0,1975,ram,,,,,,,,
Team Stats,351,4869,960.0,5.1,36,21,265,171.0,315,2341,17,15,6.7,111.0,613,2528,23,4.1,143.0,83.0,764.0,11.0,1976,ram,,,,,,,,
Team Stats,302,4591,985.0,4.7,28,17,270,182.0,339,2016,16,11,5.5,112.0,621,2575,19,4.1,139.0,89.0,869.0,19.0,1977,ram,,,,,,,,
Team Stats,316,5182,1109.0,4.7,44,22,301,236.0,466,2874,13,22,5.7,148.0,609,2308,12,3.8,128.0,133.0,1169.0,25.0,1978,ram,,,,,,,,
Team Stats,323,5133,1087.0,4.7,49,20,299,242.0,456,2673,19,29,5.4,138.0,592,2460,16,4.2,134.0,98.0,743.0,27.0,1979,ram,,,,,,,,
Team Stats,424,6006,1095.0,5.5,36,13,316,261.0,451,3207,31,23,6.7,157.0,615,2799,17,4.6,144.0,118.0,973.0,15.0,1980,ram,,,,,,,,
Team Stats,303,4793,1086.0,4.4,47,15,305,235.0,477,2557,15,32,4.9,134.0,559,2236,17,4.0,142.0,117.0,916.0,29.0,1981,ram,,,,,,,,
Team Stats,200,3024,563.0,5.4,24,10,163,166.0,297,1999,11,14,6.4,90.0,251,1025,13,4.1,61.0,63.0,550.0,12.0,1982,ram,,,,,,,,
Team Stats,361,5474,1023.0,5.4,47,24,316,286.0,489,3221,23,23,6.3,150.0,511,2253,20,4.4,148.0,96.0,748.0,18.0,1983,ram,,,,,,,,
Team Stats,346,5006,931.0,5.4,35,18,258,176.0,358,2142,16,17,5.5,100.0,541,2864,16,5.3,140.0,93.0,830.0,18.0,1984,ram,,,,,,,,
Team Stats,340,4520,963.0,4.7,35,21,258,234.0,403,2463,16,14,5.4,131.0,503,2057,15,4.1,115.0,97.0,730.0,12.0,1985,ram,,,,,,,,
Team Stats,309,4653,1008.0,4.6,37,22,269,194.0,403,2196,15,15,5.1,105.0,578,2457,16,4.3,139.0,84.0,603.0,25.0,1986,ram,,,,,,,,
Team Stats,317,4651,957.0,4.9,33,15,276,220.0,420,2554,16,18,5.7,136.0,512,2097,15,4.1,118.0,91.0,677.0,22.0,1987,ram,,,,,,,,
Team Stats,407,5808,1057.0,5.5,34,16,333,312.0,522,3805,31,18,6.9,203.0,507,2003,16,4.0,114.0,78.0,587.0,16.0,1988,ram,,,,,,,,
Team Stats,426,6042,1027.0,5.9,29,11,321,308.0,523,4133,29,18,7.4,197.0,472,1909,19,4.0,107.0,102.0,823.0,17.0,1989,ram,,,,,,,,
Team Stats,345,5430,1013.0,5.4,31,14,311,310.0,561,3818,24,17,6.5,191.0,422,1612,17,3.8,89.0,87.0,632.0,31.0,1990,ram,,,,,,,,
Team Stats,234,4695,936.0,5.0,40,20,270,289.0,518,3410,13,20,6.2,180.0,388,1285,11,3.3,75.0,108.0,774.0,15.0,1991,ram,,,,,,,,
Team Stats,313,4877,914.0,5.3,37,17,278,289.0,495,3218,23,20,6.2,174.0,393,1659,12,4.2,83.0,79.0,592.0,21.0,1992,ram,,,,,,,,
Team Stats,221,4804,953.0,5.0,30,11,278,247.0,473,2790,16,19,5.5,147.0,449,2014,8,4.5,117.0,71.0,526.0,14.0,1993,ram,,,,,,,,
Team Stats,286,4747,944.0,5.0,31,13,274,291.0,512,3358,23,18,6.1,163.0,397,1389,6,3.5,80.0,112.0,922.0,31.0,1994,ram,,,,,,,,
Team Stats,309,5236,1067.0,4.9,39,16,292,366.0,632,3805,27,23,5.6,199.0,392,1431,5,3.7,77.0,117.0,916.0,16.0,1995,ram,,,,,,,,
Team Stats,303,4372,986.0,4.4,44,21,255,249.0,481,2765,18,23,5.1,141.0,448,1607,10,3.6,93.0,133.0,1015.0,21.0,1996,ram,,,,,,,,
Team Stats,299,4761,1013.0,4.7,30,15,271,271.0,526,3198,14,15,5.6,161.0,443,1563,15,3.5,85.0,142.0,1065.0,25.0,1997,ram,,,,,,,,
Team Stats,285,4472,998.0,4.5,33,15,281,314.0,556,3087,12,18,5.1,164.0,395,1385,17,3.5,81.0,111.0,945.0,36.0,1998,ram,,,,,,,,
Team Stats,526,6412,994.0,6.5,31,16,335,343.0,530,4353,42,15,7.7,207.0,431,2059,13,4.8,102.0,113.0,889.0,26.0,1999,ram,188.0,39.9,15.4,Own 31.5,2:42,5.44,34.1,2.37
Team Stats,540,7075,1014.0,7.0,35,12,380,380.0,587,5232,37,23,8.3,247.0,383,1843,26,4.8,112.0,111.0,942.0,21.0,2000,ram,186.0,46.8,16.7,Own 30.6,2:39,5.6,38.0,2.76
Team Stats,503,6690,1007.0,6.6,44,22,357,379.0,551,4663,37,22,7.9,236.0,416,2027,20,4.9,104.0,107.0,847.0,17.0,2001,ram,182.0,44.0,20.9,Own 32.3,2:49,5.69,36.6,2.57
Team Stats,316,5559,1024.0,5.4,45,18,315,408.0,635,4154,24,27,6.1,219.0,343,1405,11,4.1,76.0,120.0,919.0,20.0,2002,ram,189.0,28.6,23.3,Own 32.0,2:36,5.57,29.4,1.6
Team Stats,447,5457,1054.0,5.2,39,16,335,377.0,600,3961,23,23,6.2,211.0,411,1496,19,3.6,97.0,92.0,667.0,27.0,2003,ram,197.0,41.1,16.8,Own 34.1,2:36,5.56,27.6,2.09
Team Stats,319,5877,1011.0,5.8,39,17,321,372.0,580,4253,23,22,6.8,203.0,381,1624,11,4.3,96.0,127.0,993.0,22.0,2004,ram,175.0,30.3,20.6,Own 26.0,2:54,5.91,33.6,1.69
Team Stats,363,5571,1025.0,5.4,37,13,314,392.0,599,4036,23,24,6.3,209.0,380,1535,13,4.0,82.0,131.0,941.0,23.0,2005,ram,195.0,32.3,18.5,Own 30.6,2:30,5.42,28.5,1.71
Team Stats,367,5767,1065.0,5.4,18,10,332,371.0,592,3962,24,8,6.2,212.0,424,1805,13,4.3,94.0,116.0,960.0,26.0,2006,ram,183.0,37.7,8.7,Own 28.1,2:44,6.02,31.4,1.94
Team Stats,263,4760,1026.0,4.6,37,9,281,333.0,574,3233,19,28,5.2,193.0,404,1527,5,3.8,65.0,94.0,794.0,23.0,2007,ram,193.0,24.9,18.7,Own 28.4,2:30,5.49,24.6,1.24
Team Stats,232,4596,982.0,4.7,31,12,249,292.0,520,2947,11,19,5.2,140.0,417,1649,8,4.0,95.0,97.0,718.0,14.0,2008,ram,190.0,26.3,16.3,Own 27.2,2:29,5.36,24.2,1.19
Team Stats,175,4470,998.0,4.5,33,12,259,312.0,543,2686,12,21,4.6,159.0,411,1784,4,4.3,79.0,100.0,834.0,21.0,2009,ram,181.0,19.3,16.6,Own 28.1,2:35,5.65,24.6,0.93
Team Stats,289,4846,1053.0,4.6,21,6,292,354.0,590,3268,18,15,5.2,179.0,429,1578,9,3.7,84.0,102.0,877.0,29.0,2010,ram,199.0,30.2,9.5,Own 30.9,2:30,5.49,24.3,1.45
Team Stats,193,4537,1013.0,4.5,23,13,267,292.0,549,2870,9,10,4.8,159.0,409,1667,7,4.1,79.0,112.0,899.0,29.0,2011,ram,196.0,18.9,11.2,Own 26.4,2:18,5.31,23.0,0.89
Team Stats,299,5264,1002.0,5.3,22,8,287,332.0,557,3550,22,14,6.0,189.0,410,1714,5,4.2,79.0,130.0,978.0,19.0,2012,ram,182.0,27.5,11.0,Own 24.4,2:37,5.68,28.9,1.42
Team Stats,348,4877,968.0,5.0,21,10,282,301.0,506,3125,22,11,5.8,165.0,426,1752,10,4.1,82.0,123.0,1009.0,35.0,2013,ram,184.0,31.5,11.4,Own 26.3,2:32,5.41,26.5,1.64
Team Stats,324,5035,957.0,5.3,27,11,288,327.0,515,3400,20,16,6.0,189.0,395,1635,11,4.1,79.0,123.0,1139.0,20.0,2014,ram,186.0,29.6,14.0,Own 28.0,2:31,5.31,26.9,1.55
Team Stats,280,4761,920.0,5.2,22,11,241,273.0,473,2805,11,11,5.7,126.0,429,1956,16,4.6,92.0,122.0,1057.0,23.0,2015,ram,196.0,24.5,10.2,Own 27.9,2:18,4.85,24.3,1.29
Team Stats,224,4203,960.0,4.4,29,9,245,312.0,536,2951,14,20,5.0,151.0,375,1252,9,3.3,68.0,126.0,1091.0,26.0,2016,ram,193.0,21.8,14.5,Own 27.4,2:26,5.11,21.7,1.13
Team Stats,478,5784,1000.0,5.8,21,14,311,320.0,518,3831,28,7,7.0,185.0,454,1953,17,4.3,97.0,107.0,922.0,29.0,2017,ram,190.0,45.3,9.5,Own 32.9,2:32,5.51,30.4,2.33
Team Stats,527,6738,1060.0,6.4,19,7,401,368.0,568,4507,32,12,7.5,236.0,459,2231,23,4.9,134.0,96.0,878.0,31.0,2018,ram,183.0,48.6,9.8,Own 30.4,2:41,6.04,36.7,2.66
Team Stats,394,5998,1055.0,5.7,24,7,342,397.0,632,4499,22,17,6.9,222.0,401,1499,20,3.7,92.0,118.0,899.0,28.0,2019,ram,185.0,35.7,13.0,Own 28.3,2:31,5.88,32.3,1.98
Team Stats,372,6032,1088.0,5.5,25,11,352,392.0,590,4014,20,14,6.5,206.0,473,2018,19,4.3,123.0,71.0,655.0,23.0,2020,ram,184.0,34.2,12.5,Own 27.9,2:47,6.08,32.7,1.88
Team Stats,460,6325,1058.0,6.0,23,5,355,406.0,607,4642,41,18,7.3,233.0,420,1683,10,4.0,99.0,76.0,637.0,23.0,2021,ram,181.0,45.9,12.2,Own 28.0,2:44,6.03,34.9,2.5
Team Stats,307,4769,1001.0,4.8,23,8,293,347.0,531,3108,16,15,5.3,181.0,411,1661,15,4.0,89.0,76.0,655.0,23.0,2022,ram,176.0,33.5,13.1,Own 26.6,2:53,5.86,27.0,1.71
Team Stats,404,6108,1094.0,5.6,18,5,351,361.0,583,4063,26,13,6.6,206.0,477,2045,18,4.3,110.0,89.0,720.0,35.0,2023,ram,185.0,41.1,9.2,Own 28.6,2:50,6.15,33.0,2.18
Team Stats,367,5633,1040.0,5.4,14,5,342,367.0,559,3868,22,9,6.6,192.0,450,1765,15,3.9,119.0,91.0,798.0,31.0,2024,ram,169.0,39.1,8.3,Own 29.7,2:58,6.36,33.3,2.05
