Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,371,5723,1024.0,5.6,33,13,338,335.0,570,3978,34,20,6.5,208.0,416,1745,10,4.2,108.0,94.0,818.0,22.0,1996,rav,,,,,,,,
Team Stats,326,5291,1043.0,5.1,33,17,292,338.0,586,3702,25,16,5.9,176.0,420,1589,7,3.8,99.0,101.0,777.0,17.0,1997,rav,,,,,,,,
Team Stats,269,4498,926.0,4.9,30,15,243,272.0,477,2869,16,15,5.5,140.0,408,1629,7,4.0,86.0,113.0,909.0,17.0,1998,rav,,,,,,,,
Team Stats,324,4778,1033.0,4.6,31,11,259,270.0,546,3024,21,20,5.0,148.0,431,1754,9,4.1,87.0,125.0,1010.0,24.0,1999,rav,217.0,26.7,13.8,Own 32.8,2:11,4.91,22.0,1.35
Team Stats,333,5014,1058.0,4.7,26,7,288,287.0,504,2815,20,19,5.1,156.0,511,2199,9,4.3,116.0,95.0,730.0,16.0,2000,rav,195.0,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58
Team Stats,303,5124,1080.0,4.7,36,16,299,320.0,557,3314,18,20,5.6,180.0,483,1810,11,3.7,92.0,89.0,728.0,27.0,2001,rav,202.0,29.2,16.3,Own 33.4,2:21,5.52,25.3,1.45
Team Stats,316,4639,947.0,4.9,32,18,261,262.0,479,2847,20,14,5.5,145.0,427,1792,9,4.2,90.0,101.0,846.0,26.0,2002,rav,185.0,27.6,15.1,Own 30.4,2:24,5.26,24.9,1.48
Team Stats,391,4929,1009.0,4.9,38,19,259,217.0,415,2255,16,19,4.9,121.0,552,2674,18,4.8,115.0,126.0,970.0,23.0,2003,rav,217.0,31.8,16.6,Own 35.0,2:16,4.83,22.7,1.6
Team Stats,317,4375,991.0,4.4,23,12,260,258.0,465,2312,13,11,4.6,135.0,491,2063,11,4.2,103.0,94.0,894.0,22.0,2004,rav,192.0,27.6,10.9,Own 34.2,2:29,5.34,22.8,1.33
Team Stats,265,4693,1056.0,4.4,36,15,286,335.0,562,3088,17,21,5.1,163.0,452,1605,5,3.6,97.0,139.0,1067.0,26.0,2005,rav,191.0,27.2,18.3,Own 30.0,2:34,5.71,24.5,1.28
Team Stats,353,5072,1017.0,5.0,23,9,282,328.0,524,3435,21,14,6.3,179.0,476,1637,11,3.4,86.0,109.0,878.0,17.0,2006,rav,192.0,31.3,11.5,Own 33.5,2:44,5.45,26.2,1.6
Team Stats,275,4832,1042.0,4.6,40,26,291,341.0,557,3035,13,14,5.1,175.0,446,1797,11,4.0,96.0,107.0,873.0,20.0,2007,rav,186.0,27.4,18.3,Own 29.5,2:41,5.78,25.9,1.34
Team Stats,385,5184,1058.0,4.9,21,9,300,261.0,433,2808,16,12,6.0,147.0,592,2376,20,4.0,132.0,103.0,785.0,21.0,2008,rav,194.0,33.0,10.8,Own 32.3,2:45,5.63,26.6,1.73
Team Stats,391,5619,1014.0,5.5,22,9,320,321.0,510,3419,21,13,6.3,187.0,468,2200,22,4.7,115.0,115.0,1094.0,18.0,2009,rav,183.0,35.0,10.9,Own 31.8,2:35,5.7,30.7,1.99
Team Stats,357,5166,1018.0,5.1,20,10,303,308.0,491,3335,25,10,6.3,175.0,487,1831,11,3.8,97.0,90.0,673.0,31.0,2010,rav,189.0,32.8,9.5,Own 29.8,2:39,5.54,27.2,1.75
Team Stats,378,5419,1036.0,5.2,24,12,312,314.0,544,3423,21,12,5.9,181.0,459,1996,15,4.3,98.0,92.0,742.0,33.0,2011,rav,186.0,35.5,11.8,Own 28.9,2:38,5.78,29.1,1.84
Team Stats,398,5640,1042.0,5.4,16,5,314,334.0,560,3739,22,11,6.3,182.0,444,1901,17,4.3,98.0,121.0,1127.0,34.0,2012,rav,193.0,35.8,7.8,Own 27.0,2:22,5.57,29.2,1.88
Team Stats,320,4918,1090.0,4.5,29,6,295,363.0,619,3590,19,23,5.4,189.0,423,1328,7,3.1,68.0,112.0,942.0,38.0,2013,rav,207.0,30.9,13.5,Own 29.1,2:21,5.46,23.7,1.43
Team Stats,409,5838,1021.0,5.7,20,8,345,344.0,554,3819,27,12,6.7,194.0,448,2019,16,4.5,113.0,111.0,870.0,38.0,2014,rav,182.0,39.6,9.9,Own 28.7,2:36,5.8,32.0,2.13
