Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,373,4713,878.0,5.4,45,16,263,229.0,441,2813,21,29,5.8,141.0,397,1900,23,4.8,96.0,70.0,648.0,26.0,1960,sdg,,,,,,,,
Team Stats,396,4313,842.0,5.1,44,19,208,190.0,423,2847,17,25,6.3,110.0,391,1466,24,3.7,81.0,88.0,682.0,17.0,1961,sdg,,,,,,,,
Team Stats,314,4081,854.0,4.8,48,14,217,168.0,416,2434,23,34,5.5,113.0,410,1647,13,4.0,82.0,88.0,768.0,22.0,1962,sdg,,,,,,,,
Team Stats,399,5145,773.0,6.7,36,12,250,202.0,357,2944,28,24,7.8,124.0,395,2201,20,5.6,112.0,77.0,773.0,14.0,1963,sdg,,,,,,,,
Team Stats,341,4664,859.0,5.4,46,16,254,224.0,445,3142,28,30,6.7,156.0,392,1522,14,3.9,85.0,88.0,709.0,13.0,1964,sdg,,,,,,,,
Team Stats,340,5101,914.0,5.6,39,13,268,203.0,401,3103,23,26,7.3,127.0,486,1998,12,4.1,127.0,84.0,929.0,14.0,1965,sdg,,,,,,,,
Team Stats,335,4553,827.0,5.5,22,7,230,224.0,434,3016,29,15,6.5,137.0,361,1537,9,4.3,77.0,68.0,667.0,16.0,1966,sdg,,,,,,,,
Team Stats,360,5125,891.0,5.8,34,10,259,230.0,463,3410,26,24,7.2,150.0,417,1715,14,4.1,88.0,72.0,817.0,21.0,1967,sdg,,,,,,,,
Team Stats,382,5388,918.0,5.9,45,12,270,225.0,472,3623,29,33,7.4,164.0,428,1765,12,4.1,93.0,72.0,654.0,13.0,1968,sdg,,,,,,,,
Team Stats,288,4611,932.0,4.9,34,13,275,208.0,444,2626,13,21,5.5,131.0,455,1985,18,4.4,119.0,63.0,731.0,25.0,1969,sdg,,,,,,,,
Team Stats,282,3953,839.0,4.7,25,6,231,192.0,387,2503,24,19,5.6,119.0,395,1450,9,3.7,83.0,79.0,852.0,29.0,1970,sdg,,,,,,,,
Team Stats,311,4738,859.0,5.5,43,15,264,244.0,450,3134,23,28,6.7,147.0,390,1604,11,4.1,86.0,81.0,895.0,31.0,1971,sdg,,,,,,,,
Team Stats,264,4299,904.0,4.8,48,20,262,192.0,377,2304,15,28,5.8,116.0,504,1995,12,4.0,123.0,87.0,789.0,23.0,1972,sdg,,,,,,,,
Team Stats,188,3622,831.0,4.4,51,21,198,161.0,363,1808,9,30,4.5,93.0,431,1814,9,4.2,88.0,74.0,628.0,17.0,1973,sdg,,,,,,,,
Team Stats,212,4415,880.0,5.0,33,11,245,165.0,349,2304,12,22,6.2,117.0,508,2111,15,4.2,113.0,74.0,609.0,15.0,1974,sdg,,,,,,,,
Team Stats,189,3411,821.0,4.2,29,12,198,165.0,337,1610,7,17,4.2,89.0,434,1801,14,4.1,98.0,84.0,705.0,11.0,1975,sdg,,,,,,,,
Team Stats,248,4456,907.0,4.9,31,13,256,223.0,388,2416,17,18,5.6,127.0,473,2040,13,4.3,111.0,78.0,579.0,18.0,1976,sdg,,,,,,,,
Team Stats,222,4005,881.0,4.5,31,11,235,206.0,369,2244,11,20,5.7,121.0,488,1761,10,3.6,93.0,97.0,813.0,21.0,1977,sdg,,,,,,,,
Team Stats,355,5471,1099.0,5.0,51,21,315,271.0,477,3375,26,30,6.6,171.0,590,2096,16,3.6,116.0,98.0,748.0,28.0,1978,sdg,,,,,,,,
Team Stats,411,5583,1053.0,5.3,35,10,330,338.0,541,3915,24,25,6.8,192.0,481,1668,25,3.5,114.0,108.0,908.0,24.0,1979,sdg,,,,,,,,
