Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,229,4065,882.0,4.6,48,18,239,229.0,480,2649,13,30,5.2,141.0,374,1416,14,3.8,75.0,80.0,684.0,23.0,1976,sea,,,,,,,,
Team Stats,282,4292,869.0,4.9,46,14,251,175.0,387,2328,23,32,5.7,116.0,461,1964,12,4.3,116.0,76.0,656.0,19.0,1977,sea,,,,,,,,
Team Stats,345,5511,1072.0,5.1,41,19,345,261.0,467,3117,15,22,6.1,156.0,561,2394,28,4.3,150.0,94.0,789.0,39.0,1978,sea,,,,,,,,
Team Stats,378,5557,1046.0,5.3,36,18,315,292.0,523,3590,20,18,6.6,171.0,500,1967,24,3.9,121.0,104.0,903.0,23.0,1979,sea,,,,,,,,
Team Stats,291,4879,1024.0,4.8,38,15,302,287.0,517,3096,18,23,5.5,166.0,456,1783,13,3.9,114.0,109.0,901.0,22.0,1980,sea,,,,,,,,
Team Stats,322,5021,1001.0,5.0,38,23,295,307.0,524,3427,21,15,6.1,166.0,440,1594,14,3.6,103.0,106.0,823.0,26.0,1981,sea,,,,,,,,
Team Stats,127,2594,589.0,4.4,24,11,159,176.0,326,1799,9,13,5.0,89.0,227,795,4,3.5,51.0,59.0,523.0,19.0,1982,sea,,,,,,,,
Team Stats,403,5092,1042.0,4.9,38,20,300,251.0,449,2973,25,18,6.0,153.0,546,2119,19,3.9,131.0,102.0,890.0,16.0,1983,sea,,,,,,,,
Team Stats,418,5068,1034.0,4.9,39,13,287,283.0,497,3423,32,26,6.4,171.0,495,1645,10,3.3,94.0,128.0,1179.0,22.0,1984,sea,,,,,,,,
Team Stats,349,5007,1090.0,4.6,41,18,299,304.0,575,3363,28,23,5.4,179.0,462,1644,9,3.6,96.0,102.0,827.0,24.0,1985,sea,,,,,,,,
Team Stats,366,5409,1005.0,5.4,27,13,291,268.0,453,3109,24,14,6.3,158.0,513,2300,15,4.5,123.0,98.0,813.0,10.0,1986,sea,,,,,,,,
Team Stats,371,4735,937.0,5.1,36,15,301,237.0,405,2712,31,21,6.1,154.0,496,2023,13,4.1,120.0,79.0,668.0,27.0,1987,sea,,,,,,,,
Team Stats,339,4842,983.0,4.9,34,14,291,245.0,437,2756,22,20,5.9,139.0,517,2086,14,4.0,125.0,89.0,790.0,27.0,1988,sea,,,,,,,,
Team Stats,241,4596,1010.0,4.6,37,14,290,316.0,559,3204,21,23,5.3,180.0,405,1392,5,3.4,86.0,79.0,738.0,24.0,1989,sea,,,,,,,,
Team Stats,306,4583,945.0,4.8,36,16,284,265.0,448,2834,15,20,5.8,154.0,457,1749,18,3.8,112.0,89.0,746.0,18.0,1990,sea,,,,,,,,
Team Stats,276,4534,924.0,4.9,43,17,253,290.0,488,3108,15,26,5.9,159.0,394,1426,11,3.6,80.0,85.0,682.0,14.0,1991,sea,,,,,,,,
Team Stats,140,3374,945.0,3.6,41,18,208,230.0,476,1778,9,23,3.3,114.0,402,1596,4,4.0,77.0,111.0,918.0,17.0,1992,sea,,,,,,,,
Team Stats,280,4669,1019.0,4.6,31,13,279,280.0,498,2654,13,18,4.9,144.0,473,2015,13,4.3,114.0,99.0,745.0,21.0,1993,sea,,,,,,,,
Team Stats,287,4652,1018.0,4.6,28,19,285,253.0,498,2568,13,9,4.8,143.0,480,2084,16,4.3,114.0,114.0,898.0,28.0,1994,sea,,,,,,,,
Team Stats,363,5270,1033.0,5.1,32,9,311,273.0,511,3092,19,23,5.6,171.0,477,2178,20,4.6,121.0,100.0,852.0,19.0,1995,sea,,,,,,,,
