Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,208,3260,749.0,4.4,16,4,201,174.0,336,1579,11,12,4.7,96.0,413,1681,9,4.1,90.0,63.0,604.0,15.0,1960,sfo,,,,,,,,
Team Stats,346,4904,794.0,6.2,36,17,258,187.0,346,2804,15,19,8.1,132.0,448,2100,27,4.7,116.0,65.0,635.0,10.0,1961,sfo,,,,,,,,
Team Stats,282,3941,783.0,5.0,33,14,239,185.0,323,2068,19,19,6.4,112.0,460,1873,15,4.1,112.0,63.0,636.0,15.0,1962,sfo,,,,,,,,
Team Stats,198,3281,790.0,4.2,30,8,183,156.0,349,1827,13,22,4.8,87.0,406,1454,8,3.6,87.0,51.0,439.0,9.0,1963,sfo,,,,,,,,
Team Stats,236,4073,871.0,4.7,46,24,233,225.0,461,2741,18,22,5.6,136.0,383,1332,11,3.5,76.0,79.0,741.0,21.0,1964,sfo,,,,,,,,
Team Stats,421,5270,901.0,5.8,40,19,292,272.0,454,3487,35,21,7.4,172.0,428,1783,13,4.2,97.0,79.0,785.0,23.0,1965,sfo,,,,,,,,
Team Stats,320,4782,952.0,5.0,38,12,282,261.0,500,2992,21,26,5.6,153.0,422,1790,12,4.2,101.0,86.0,819.0,28.0,1966,sfo,,,,,,,,
Team Stats,273,4418,929.0,4.8,36,10,242,228.0,469,2654,16,26,5.4,121.0,434,1764,16,4.1,101.0,89.0,931.0,20.0,1967,sfo,,,,,,,,
Team Stats,303,4709,887.0,5.3,37,14,260,239.0,417,2925,24,23,6.6,141.0,443,1784,11,4.0,98.0,90.0,794.0,21.0,1968,sfo,,,,,,,,
Team Stats,277,4694,914.0,5.1,38,12,253,278.0,496,3158,22,26,6.0,153.0,391,1536,13,3.9,84.0,85.0,845.0,16.0,1969,sfo,,,,,,,,
Team Stats,352,4503,862.0,5.2,25,15,237,226.0,383,2923,25,10,7.5,125.0,471,1580,13,3.4,86.0,88.0,997.0,26.0,1970,sfo,,,,,,,,
Team Stats,300,4706,900.0,5.2,42,18,257,209.0,391,2577,18,24,6.4,122.0,498,2129,12,4.3,113.0,88.0,961.0,22.0,1971,sfo,,,,,,,,
Team Stats,353,4351,847.0,5.1,37,13,234,217.0,380,2735,27,24,6.8,129.0,445,1616,11,3.6,87.0,73.0,664.0,18.0,1972,sfo,,,,,,,,
Team Stats,262,4224,915.0,4.6,39,14,251,233.0,466,2481,9,25,5.0,127.0,422,1743,15,4.1,97.0,93.0,903.0,27.0,1973,sfo,,,,,,,,
Team Stats,226,3988,873.0,4.6,42,14,227,170.0,361,2007,15,28,5.1,104.0,477,1981,10,4.2,101.0,63.0,606.0,22.0,1974,sfo,,,,,,,,
Team Stats,255,4158,905.0,4.6,44,25,240,234.0,450,2560,15,19,5.3,133.0,422,1598,12,3.8,86.0,89.0,693.0,21.0,1975,sfo,,,,,,,,
Team Stats,270,4085,916.0,4.5,33,12,242,155.0,306,1638,15,21,4.8,91.0,576,2447,14,4.2,131.0,102.0,848.0,20.0,1976,sfo,,,,,,,,
Team Stats,220,3594,877.0,4.1,25,8,219,136.0,277,1508,9,17,4.8,81.0,564,2086,16,3.7,126.0,99.0,830.0,12.0,1977,sfo,,,,,,,,
Team Stats,219,4047,1062.0,3.8,63,27,257,190.0,435,1956,9,36,4.1,106.0,585,2091,14,3.6,117.0,115.0,930.0,34.0,1978,sfo,,,,,,,,
Team Stats,308,5573,1099.0,5.1,39,18,336,361.0,602,3641,18,21,5.9,200.0,480,1932,17,4.0,120.0,95.0,853.0,16.0,1979,sfo,,,,,,,,
Team Stats,320,5320,1042.0,5.1,40,14,298,363.0,597,3577,27,26,5.7,171.0,415,1743,10,4.2,105.0,109.0,933.0,22.0,1980,sfo,,,,,,,,
Team Stats,357,5484,1106.0,5.0,25,12,317,328.0,517,3543,20,13,6.5,183.0,560,1941,17,3.5,110.0,92.0,752.0,24.0,1981,sfo,,,,,,,,
Team Stats,209,3242,587.0,5.5,21,10,183,215.0,348,2502,17,11,6.8,121.0,219,740,6,3.4,49.0,45.0,451.0,13.0,1982,sfo,,,,,,,,
Team Stats,432,6054,1072.0,5.6,31,19,344,339.0,528,3797,27,12,6.8,199.0,511,2257,17,4.4,129.0,89.0,695.0,16.0,1983,sfo,,,,,,,,
Team Stats,475,6366,1057.0,6.0,22,12,356,312.0,496,3901,32,10,7.5,204.0,534,2465,21,4.6,138.0,100.0,884.0,14.0,1984,sfo,,,,,,,,
Team Stats,411,5920,1069.0,5.5,34,20,340,331.0,550,3688,28,14,6.2,179.0,477,2232,20,4.7,137.0,105.0,868.0,24.0,1985,sfo,,,,,,,,
Team Stats,374,6082,1118.0,5.4,29,9,346,353.0,582,4096,21,20,6.7,213.0,510,1986,16,3.9,114.0,95.0,691.0,19.0,1986,sfo,,,,,,,,
Team Stats,459,5987,1054.0,5.7,26,12,357,322.0,501,3750,44,14,7.1,202.0,524,2237,11,4.3,134.0,88.0,792.0,21.0,1987,sfo,,,,,,,,
Team Stats,369,5900,1076.0,5.5,26,12,326,293.0,502,3377,21,14,6.2,167.0,527,2523,18,4.8,141.0,115.0,986.0,18.0,1988,sfo,,,,,,,,
Team Stats,442,6268,1021.0,6.1,25,14,350,339.0,483,4302,35,11,8.1,209.0,493,1966,14,4.0,124.0,109.0,922.0,17.0,1989,sfo,,,,,,,,
Team Stats,353,5895,1074.0,5.5,30,14,324,360.0,583,4177,28,16,6.7,201.0,454,1718,12,3.8,107.0,104.0,828.0,16.0,1990,sfo,,,,,,,,
Team Stats,393,5858,986.0,5.9,31,19,336,325.0,522,3997,29,12,7.3,197.0,440,1861,19,4.2,112.0,114.0,902.0,27.0,1991,sfo,,,,,,,,
Team Stats,431,6195,994.0,6.2,22,13,344,319.0,480,3880,29,9,7.6,192.0,482,2315,22,4.8,135.0,80.0,636.0,17.0,1992,sfo,,,,,,,,
Team Stats,473,6435,1022.0,6.3,30,13,372,354.0,524,4302,29,17,7.7,212.0,463,2133,26,4.6,134.0,95.0,800.0,26.0,1993,sfo,,,,,,,,
Team Stats,505,6060,1037.0,5.8,24,13,362,359.0,511,4163,37,11,7.6,210.0,491,1897,23,3.9,122.0,109.0,890.0,30.0,1994,sfo,,,,,,,,
Team Stats,457,6087,1092.0,5.6,28,12,355,432.0,644,4608,29,16,6.8,231.0,415,1479,19,3.6,109.0,88.0,711.0,15.0,1995,sfo,,,,,,,,
Team Stats,398,5506,1046.0,5.3,24,8,315,358.0,550,3659,24,16,6.2,188.0,454,1847,17,4.1,108.0,119.0,925.0,19.0,1996,sfo,,,,,,,,
Team Stats,375,5112,999.0,5.1,20,9,294,278.0,432,3143,20,11,6.6,167.0,523,1969,16,3.8,106.0,115.0,979.0,21.0,1997,sfo,,,,,,,,
Team Stats,479,6800,1100.0,6.2,30,15,381,347.0,556,4256,41,15,7.0,223.0,491,2544,19,5.2,129.0,133.0,1156.0,29.0,1998,sfo,,,,,,,,
Team Stats,295,5380,1012.0,5.3,32,13,300,324.0,560,3285,14,19,5.5,172.0,418,2095,14,5.0,102.0,120.0,1045.0,26.0,1999,sfo,182.0,26.9,15.9,Own 28.5,2:40,5.69,29.5,1.42
Team Stats,388,6040,1024.0,5.9,19,9,334,366.0,583,4239,32,10,7.0,211.0,416,1801,15,4.3,98.0,134.0,1135.0,25.0,2000,sfo,181.0,34.3,10.5,Own 30.6,2:39,5.78,33.3,2.07
Team Stats,409,5689,1041.0,5.5,19,7,328,318.0,506,3445,32,12,6.5,184.0,509,2244,16,4.4,121.0,82.0,669.0,23.0,2001,sfo,182.0,36.3,10.4,Own 30.7,2:51,5.86,31.2,2.14
Team Stats,367,5701,1082.0,5.3,17,7,342,354.0,571,3457,23,10,5.8,182.0,489,2244,16,4.6,141.0,87.0,725.0,19.0,2002,sfo,173.0,37.6,9.2,Own 31.2,3:01,6.46,32.9,2.03
Team Stats,384,5687,1038.0,5.5,25,10,313,299.0,511,3408,25,15,6.3,172.0,499,2279,16,4.6,118.0,104.0,807.0,23.0,2003,sfo,194.0,35.1,12.4,Own 34.0,2:34,5.55,29.3,1.92
Team Stats,259,4585,1026.0,4.5,40,19,280,325.0,561,3136,16,21,5.1,172.0,413,1449,10,3.5,83.0,103.0,859.0,25.0,2004,sfo,200.0,22.0,20.0,Own 28.7,2:21,5.25,22.8,1.18
