Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,125,3006,859.0,3.5,37,17,191,181.0,376,1503,9,20,3.5,93.0,433,1503,5,3.5,71.0,109.0,875.0,27.0,1976,tam,,,,,,,,
Team Stats,103,2693,834.0,3.2,46,16,168,131.0,321,1269,3,30,3.4,69.0,465,1424,4,3.1,84.0,88.0,717.0,15.0,1977,tam,,,,,,,,
Team Stats,241,3801,962.0,4.0,38,20,238,151.0,361,1703,12,18,4.1,101.0,549,2098,16,3.8,111.0,100.0,860.0,26.0,1978,tam,,,,,,,,
Team Stats,273,5049,1055.0,4.8,41,15,267,183.0,434,2612,19,26,5.9,137.0,609,2437,13,4.0,107.0,102.0,905.0,23.0,1979,tam,,,,,,,,
Team Stats,271,5059,1031.0,4.9,38,21,281,256.0,530,3220,20,17,5.8,154.0,477,1839,9,3.9,102.0,90.0,840.0,25.0,1980,tam,,,,,,,,
Team Stats,315,5160,950.0,5.4,28,14,269,239.0,473,3429,20,14,7.0,159.0,458,1731,13,3.8,95.0,89.0,779.0,15.0,1981,tam,,,,,,,,
Team Stats,158,2895,587.0,4.9,23,12,163,164.0,308,1943,9,11,6.1,105.0,268,952,6,3.6,52.0,38.0,297.0,6.0,1982,tam,,,,,,,,
Team Stats,241,4477,1005.0,4.5,37,13,249,300.0,528,3124,18,24,5.4,157.0,428,1353,9,3.2,72.0,94.0,832.0,20.0,1983,tam,,,,,,,,
Team Stats,335,5321,1091.0,4.9,43,20,344,334.0,563,3545,22,23,5.8,209.0,483,1776,17,3.7,114.0,118.0,875.0,21.0,1984,tam,,,,,,,,
Team Stats,294,4766,982.0,4.9,48,22,291,269.0,508,3122,22,26,5.7,162.0,434,1644,11,3.8,95.0,103.0,751.0,34.0,1985,tam,,,,,,,,
Team Stats,239,4361,970.0,4.5,42,17,273,245.0,459,2498,13,25,4.9,142.0,455,1863,12,4.1,100.0,83.0,661.0,31.0,1986,tam,,,,,,,,
Team Stats,286,4381,954.0,4.6,31,14,263,264.0,517,3016,22,17,5.4,168.0,394,1365,7,3.5,62.0,115.0,894.0,33.0,1987,tam,,,,,,,,
Team Stats,261,5061,998.0,5.1,52,16,295,253.0,512,3308,16,36,6.1,173.0,452,1753,11,3.9,91.0,102.0,816.0,31.0,1988,tam,,,,,,,,
Team Stats,320,4842,1025.0,4.7,37,9,288,302.0,570,3335,23,28,5.4,174.0,412,1507,10,3.7,84.0,104.0,881.0,30.0,1989,tam,,,,,,,,
Team Stats,264,4475,911.0,4.9,43,19,238,245.0,448,2849,18,24,5.7,142.0,410,1626,7,4.0,83.0,77.0,651.0,13.0,1990,tam,,,,,,,,
Team Stats,199,4001,922.0,4.3,47,18,249,250.0,495,2572,13,29,4.7,147.0,371,1429,9,3.9,79.0,88.0,780.0,23.0,1991,tam,,,,,,,,
Team Stats,267,4771,994.0,4.8,29,9,281,299.0,511,3065,17,20,5.5,165.0,438,1706,12,3.9,100.0,91.0,754.0,16.0,1992,tam,,,,,,,,
Team Stats,237,4311,949.0,4.5,36,11,241,262.0,508,3021,19,25,5.5,141.0,402,1290,6,3.2,80.0,89.0,765.0,20.0,1993,tam,,,,,,,,
Team Stats,251,4754,951.0,5.0,23,7,276,271.0,491,3265,17,16,6.3,149.0,430,1489,8,3.5,104.0,93.0,805.0,23.0,1994,tam,,,,,,,,
Team Stats,238,4542,961.0,4.7,34,14,283,267.0,507,2955,5,20,5.2,159.0,398,1587,19,4.0,101.0,113.0,882.0,23.0,1995,tam,,,,,,,,
Team Stats,221,4316,996.0,4.3,34,14,260,274.0,494,2727,12,20,5.2,152.0,472,1589,8,3.4,90.0,95.0,787.0,18.0,1996,tam,,,,,,,,
Team Stats,299,4376,915.0,4.8,23,11,249,224.0,404,2442,21,12,5.6,134.0,479,1934,15,4.0,88.0,77.0,660.0,27.0,1997,tam,,,,,,,,
Team Stats,314,4754,1000.0,4.8,31,13,262,234.0,449,2606,21,18,5.5,139.0,523,2148,12,4.1,111.0,99.0,840.0,12.0,1998,tam,,,,,,,,
Team Stats,270,4254,991.0,4.3,35,19,245,268.0,447,2478,18,16,5.1,132.0,502,1776,7,3.5,97.0,75.0,583.0,16.0,1999,tam,206.0,25.2,16.0,Own 32.2,2:30,4.97,20.5,1.24
Team Stats,388,4649,961.0,4.8,24,11,275,237.0,433,2583,18,13,5.5,144.0,490,2066,18,4.2,111.0,82.0,702.0,20.0,2000,tam,196.0,32.7,10.2,Own 31.8,2:27,5.09,23.7,1.71
Team Stats,324,4694,1046.0,4.5,22,10,298,362.0,592,3323,13,12,5.2,189.0,407,1371,17,3.4,84.0,77.0,672.0,25.0,2001,tam,184.0,31.5,10.3,Own 34.1,2:46,5.88,25.5,1.6
Team Stats,346,5002,1022.0,4.9,21,11,287,348.0,567,3445,23,10,5.7,172.0,414,1557,6,3.8,90.0,103.0,789.0,25.0,2002,tam,187.0,32.6,10.7,Own 32.4,2:45,5.67,26.7,1.6
Team Stats,301,5453,1036.0,5.3,31,9,307,369.0,592,3805,27,22,6.2,190.0,421,1648,5,3.9,86.0,117.0,1104.0,31.0,2003,tam,188.0,25.5,16.0,Own 29.8,2:45,5.65,29.0,1.45
