Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
Team Stats,178,2744,689.0,4.0,38,15,166,147.0,274,1431,9,23,5.2,71.0,415,1313,9,3.2,83.0,69.0,713.0,12.0,1960,was,,,,,,,,
Team Stats,174,3247,781.0,4.2,40,12,193,189.0,420,2175,12,28,5.2,124.0,361,1072,9,3.0,55.0,70.0,651.0,14.0,1961,was,,,,,,,,
Team Stats,305,4311,799.0,5.4,44,17,241,223.0,428,3223,27,27,7.5,156.0,371,1088,10,2.9,59.0,62.0,663.0,26.0,1962,was,,,,,,,,
Team Stats,279,4423,817.0,5.4,53,19,244,204.0,430,3134,17,34,6.6,140.0,344,1289,15,3.7,81.0,74.0,736.0,23.0,1963,was,,,,,,,,
Team Stats,307,3958,825.0,4.8,33,17,193,214.0,415,2721,25,16,5.9,116.0,366,1237,11,3.4,70.0,87.0,825.0,7.0,1964,was,,,,,,,,
Team Stats,257,3608,820.0,4.4,41,21,210,220.0,427,2571,20,20,5.5,125.0,354,1037,7,2.9,69.0,81.0,692.0,16.0,1965,was,,,,,,,,
Team Stats,351,4391,826.0,5.3,35,15,225,255.0,443,3014,28,20,6.4,130.0,356,1377,9,3.9,78.0,64.0,591.0,17.0,1966,was,,,,,,,,
Team Stats,347,4977,891.0,5.6,31,14,280,301.0,527,3730,31,17,6.8,177.0,345,1247,13,3.6,82.0,67.0,588.0,21.0,1967,was,,,,,,,,
Team Stats,249,3648,805.0,4.5,37,19,223,227.0,408,2484,23,18,5.6,132.0,360,1164,6,3.2,67.0,65.0,643.0,24.0,1968,was,,,,,,,,
Team Stats,307,4316,861.0,5.0,26,10,256,275.0,444,2784,22,16,5.8,149.0,377,1532,11,4.1,84.0,74.0,756.0,23.0,1969,was,,,,,,,,
Team Stats,297,4129,815.0,5.1,24,14,249,203.0,342,2108,23,10,5.7,100.0,444,2021,11,4.6,122.0,65.0,613.0,27.0,1970,was,,,,,,,,
Team Stats,276,4030,828.0,4.9,35,20,212,182.0,334,2273,13,15,6.5,112.0,477,1757,8,3.7,77.0,80.0,801.0,23.0,1971,was,,,,,,,,
Team Stats,336,4275,808.0,5.3,26,11,235,159.0,284,2193,21,15,7.4,106.0,513,2082,17,4.1,110.0,78.0,721.0,19.0,1972,was,,,,,,,,
Team Stats,325,3797,862.0,4.4,32,18,232,209.0,372,2358,20,14,5.9,131.0,459,1439,9,3.1,76.0,81.0,771.0,25.0,1973,was,,,,,,,,
Team Stats,320,4245,908.0,4.7,20,9,249,254.0,413,2802,22,11,6.4,156.0,470,1443,11,3.1,77.0,78.0,621.0,16.0,1974,was,,,,,,,,
Team Stats,325,4669,919.0,5.1,46,17,272,229.0,448,2917,28,29,6.1,150.0,444,1752,9,3.9,97.0,78.0,723.0,25.0,1975,was,,,,,,,,
Team Stats,291,4096,956.0,4.3,43,23,255,187.0,370,1985,20,20,4.9,122.0,548,2111,10,3.9,114.0,90.0,868.0,19.0,1976,was,,,,,,,,
Team Stats,196,3615,937.0,3.9,30,14,227,183.0,383,1863,15,16,4.3,124.0,502,1752,4,3.5,79.0,94.0,802.0,24.0,1977,was,,,,,,,,
Team Stats,273,4647,1021.0,4.6,37,16,261,212.0,438,2565,17,21,5.3,134.0,537,2082,10,3.9,99.0,116.0,978.0,28.0,1978,was,,,,,,,,
Team Stats,348,4904,1044.0,4.7,25,10,298,235.0,401,2576,20,15,5.9,144.0,609,2328,17,3.8,126.0,86.0,749.0,28.0,1979,was,,,,,,,,
Team Stats,261,4854,1039.0,4.7,36,18,279,284.0,486,2838,17,18,5.4,148.0,517,2016,12,3.9,109.0,114.0,1008.0,22.0,1980,was,,,,,,,,
Team Stats,347,5623,1087.0,5.2,41,19,334,307.0,525,3466,19,22,6.2,173.0,532,2157,19,4.1,136.0,98.0,940.0,25.0,1981,was,,,,,,,,
Team Stats,190,2985,598.0,5.0,16,7,165,162.0,253,1845,13,9,6.5,87.0,315,1140,5,3.6,66.0,46.0,404.0,12.0,1982,was,,,,,,,,
Team Stats,541,6139,1127.0,5.4,18,7,353,278.0,463,3514,29,11,7.1,173.0,629,2625,30,4.2,165.0,90.0,776.0,15.0,1983,was,,,,,,,,
Team Stats,426,5350,1121.0,4.8,28,15,339,286.0,485,3076,24,13,5.8,164.0,588,2274,20,3.9,154.0,80.0,723.0,21.0,1984,was,,,,,,,,
Team Stats,297,5338,1135.0,4.7,40,19,319,280.0,512,2815,13,21,5.0,157.0,571,2523,20,4.4,147.0,74.0,596.0,15.0,1985,was,,,,,,,,
Team Stats,368,5601,1044.0,5.4,32,10,312,276.0,542,3869,22,22,6.8,177.0,474,1732,23,3.7,112.0,94.0,860.0,23.0,1986,was,,,,,,,,
Team Stats,379,5597,1005.0,5.6,37,19,301,247.0,478,3495,27,18,6.9,153.0,500,2102,18,4.2,119.0,82.0,691.0,29.0,1987,was,,,,,,,,
Team Stats,345,5679,1053.0,5.4,46,21,307,327.0,592,4136,33,25,6.7,202.0,437,1543,8,3.5,88.0,96.0,817.0,17.0,1988,was,,,,,,,,
Team Stats,386,6253,1116.0,5.6,37,20,338,337.0,581,4349,24,17,7.2,217.0,514,1904,14,3.7,101.0,105.0,881.0,20.0,1989,was,,,,,,,,
Team Stats,381,5562,1073.0,5.2,28,6,327,301.0,536,3479,22,22,6.2,193.0,515,2083,16,4.0,117.0,102.0,824.0,17.0,1990,was,,,,,,,,
Team Stats,485,5741,996.0,5.8,23,12,302,261.0,447,3692,30,11,8.1,179.0,540,2049,21,3.8,107.0,90.0,798.0,16.0,1991,was,,,,,,,,
Team Stats,300,4890,991.0,4.9,24,7,276,272.0,485,3163,15,17,6.2,160.0,483,1727,10,3.6,104.0,84.0,741.0,12.0,1992,was,,,,,,,,
